Interval=	0.001 s
ExcelDateTime=	4.5345665594038044e+004	2/23/2024 15:58:27.324887
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.1179554	0.04214787	3.156273	-0.5276351	0.2586411	0.1233224	0.0260812	-0.06186719
0.001	0.1179554	0.04214787	3.156273	-0.5276351	0.2586411	0.1233224	0.0260812	-0.06186719
0.002	0.1038929	0.07378849	5.430882	-0.4995101	0.2621567	0.098713	0.008503075	-3.324367
0.003	0.08983038	0.1019135	8.967601	-0.4889633	0.2727036	0.08113487	0.001471825	-7.778664
0.004	0.08631475	0.1124604	12.59573	-0.4959945	0.2762192	0.07761925	-0.00907505	-11.80757
0.005	0.08279913	0.1230072	16.15705	-0.4889633	0.2727036	0.07410362	-0.03368442	-15.31265
0.006	0.08279913	0.1300385	19.42659	-0.4749008	0.2656724	0.07410362	-0.03720005	-18.10405
0.007	0.093346	0.1194916	21.51135	-0.4784164	0.2656724	0.098713	0.008503075	-19.26421
0.008	0.1074085	0.09488224	21.92268	-0.5030258	0.269188	0.1198068	0.0401437	-18.39234
0.009	0.1249866	0.05621037	21.00862	-0.5346664	0.269188	0.1303536	0.03662808	-16.0896
0.01	0.1390491	0.02456974	18.8219	-0.5838851	0.2727036	0.1514474	0.07178432	-12.63374
0.011	0.1566251	-0.003553874	15.36635	-0.6401323	0.2832511	0.1760525	0.1385738	-8.159179
0.012	0.167172	-0.01761637	11.36205	-0.6541948	0.2797355	0.1971463	0.1526363	-3.560742
0.013	0.1706876	-0.02816325	7.61791	-0.6436479	0.265673	0.2006619	0.1385738	0.2396487
0.014	0.1742033	-0.02464762	4.425722	-0.6120073	0.2586417	0.1971463	0.145605	3.006446
0.015	0.167172	-0.01410075	2.235488	-0.5698198	0.265673	0.190115	0.1315425	4.366992
0.016	0.1531095	0.003477376	1.490175	-0.5627886	0.2691886	0.1514432	0.09287066	3.909961
0.017	0.1355314	0.02808675	2.02455	-0.5627886	0.2762198	0.1162869	0.06826128	2.025586
0.018	0.1179533	0.06675863	3.690956	-0.5627886	0.293798	0.1092557	0.07177691	-0.8923825
0.019	0.0968595	0.1019149	6.559706	-0.5838823	0.3008292	0.1092557	0.07177691	-4.819336
0.02	0.082797	0.1230086	10.16674	-0.6014604	0.2762198	0.09870879	0.01904253	-9.140039
0.021	0.07928138	0.1300399	13.81947	-0.5838823	0.2586417	0.08816191	-0.03720747	-13.01426
0.022	0.07928138	0.1441024	17.35619	-0.5627886	0.2551261	0.08113066	-0.04072309	-16.31191
0.023	0.08631263	0.1441024	20.33041	-0.5803667	0.2586417	0.08816191	-0.01962934	-18.6498
0.024	0.0968595	0.1265243	21.8351	-0.5803667	0.2621573	0.1198025	0.004980032	-19.10683
0.025	0.1074064	0.09839925	21.75424	-0.5416948	0.2621573	0.1479275	0.02255816	-17.71113
0.026	0.1214689	0.06675863	20.42885	-0.5206011	0.2586417	0.1584744	0.05068316	-15.0498
0.027	0.1425626	0.03160238	17.7851	-0.5311479	0.2621573	0.1690213	0.08935503	-11.21074
0.028	0.1601408	-3.824914e-005	14.04799	-0.5487261	0.2586417	0.1795682	0.1209957	-6.577148
0.029	0.167172	-0.01410075	10.08236	-0.5557573	0.2551261	0.1830838	0.1315425	-2.189648
0.03	0.1706876	-0.01761637	6.478847	-0.5663042	0.2586417	0.1830838	0.1280269	1.311914
0.031	0.167172	-0.01761637	3.494081	-0.5592729	0.2621573	0.1830838	0.1315425	3.737696
0.032	0.1601408	-0.003553874	1.718691	-0.5276323	0.2621573	0.1725369	0.1069332	4.546289
0.033	0.1495939	0.0210555	1.416347	-0.4854448	0.2551261	0.1514432	0.06123003	3.593555
0.034	0.139047	0.0491805	2.302285	-0.4784136	0.2516105	0.1303494	0.03310503	1.406836
0.035	0.1249845	0.08433675	4.348378	-0.4995073	0.2586417	0.09519316	0.01904253	-1.848633
0.036	0.1074064	0.1159774	7.515956	-0.5065386	0.265673	0.04949004	0.004980032	-6.021679
0.037	0.0968595	0.1405868	11.15111	-0.5030229	0.2691886	0.01784941	0.001464407	-10.26855
0.038	0.08982825	0.1546493	14.71947	-0.5030229	0.265673	0.01784941	-0.005566843	-13.96348
0.039	0.08631263	0.1616805	18.11557	-0.5241167	0.265673	0.03894316	-0.02314497	-17.05723
0.04	0.0968595	0.1511336	20.64682	-0.5873979	0.2621573	0.07409941	-0.02666059	-18.84316
0.041	0.1074064	0.1265243	21.53978	-0.6331011	0.2586417	0.1092557	-0.009082468	-18.59707
0.042	0.1179533	0.09839925	20.97025	-0.6366167	0.2551261	0.133865	0.01904253	-16.7373
0.043	0.1355314	0.06675863	19.18783	-0.6331011	0.2586417	0.1584744	0.05419878	-13.6998
0.044	0.1531095	0.035118	16.10111	-0.6260698	0.2621573	0.1795682	0.09990191	-9.516211
0.045	0.167172	0.01050863	12.16713	-0.6120073	0.265673	0.1830838	0.1209957	-4.843945
0.046	0.1706876	-0.003553874	8.261269	-0.6155229	0.2621573	0.1865994	0.07880816	-0.7130857
0.047	0.1742033	-0.01058512	4.80541	-0.6647417	0.265673	0.190115	0.04716753	2.454492
0.048	0.1706876	-0.003553874	2.147597	-0.6788042	0.2797355	0.1795682	0.08583941	4.381055
0.049	0.1566251	0.0210555	0.8749409	-0.5873979	0.2832511	0.1690213	0.1315425	4.556836
0.05	0.1460783	0.04566488	0.9909565	-0.4995073	0.265673	0.1549588	0.1280269	3.122461
0.051	0.1285001	0.07378988	2.228456	-0.4924761	0.2621573	0.133865	0.08232378	0.5806643
0.052	0.1074064	0.1054305	4.657753	-0.5065386	0.265673	0.1198025	0.02607378	-3.019336
0.053	0.0968595	0.1300399	8.06791	-0.4889604	0.265673	0.10574	-0.01962934	-7.325976
0.054	0.09334388	0.147618	11.7101	-0.4432573	0.2551261	0.08816191	-0.03720747	-11.41113
0.055	0.082797	0.1616805	15.2433	-0.4116167	0.2551261	0.07409941	-0.01611372	-14.8916
0.056	0.082797	0.1687118	18.47416	-0.4397417	0.265673	0.08113066	0.001464407	-17.64433
0.057	0.09334388	0.1546493	20.52377	-0.4854448	0.2727042	0.1092557	0.01552691	-18.79746
0.058	0.1074064	0.1265243	20.91049	-0.5241167	0.265673	0.1408963	0.02607378	-17.95723
0.059	0.1285001	0.09488363	19.9683	-0.5452104	0.2586417	0.1584744	0.03310503	-15.69316
0.06	0.1495939	0.05621175	17.76049	-0.5346636	0.2551261	0.1655057	0.05419878	-12.2584
0.061	0.1601408	0.0210555	14.29057	-0.5206011	0.2516105	0.1514432	0.08935503	-7.786523
0.062	0.1636564	0.003477376	10.25814	-0.5100542	0.2551261	0.1373807	0.1209957	-3.166992
0.063	0.167172	-3.824914e-005	6.482363	-0.4995073	0.2586417	0.1444119	0.1350582	0.6755862
0.064	0.1636564	-0.003553874	3.226894	-0.5030229	0.2551261	0.1514432	0.1245113	3.495117
0.065	0.1566251	-3.824914e-005	0.9593159	-0.5206011	0.2516105	0.1549588	0.09638628	4.894336
0.066	0.1460783	0.02457113	0.1718159	-0.5241167	0.2480948	0.1408963	0.06826128	4.486524
0.067	0.1285001	0.05269613	0.695644	-0.5276323	0.2551261	0.1233182	0.04365191	2.658399
0.068	0.110922	0.08433675	2.337441	-0.5241167	0.265673	0.10574	0.004980032	-0.2349607
0.069	0.08982825	0.119493	5.167519	-0.4959917	0.2727042	0.09167754	-0.02314497	-4.179492
0.07	0.07576575	0.1441024	8.753456	-0.4538042	0.2762198	0.09519316	-0.02666059	-8.545898
0.071	0.07225013	0.1546493	12.40268	-0.4362261	0.2621573	0.09519316	-0.03017622	-12.46934
0.072	0.06521888	0.1616805	15.93939	-0.4573198	0.2480948	0.08113066	-0.02666059	-15.79863
0.073	0.06521888	0.1581649	18.93471	-0.4784136	0.2480948	0.08464629	-0.02314497	-18.18574
0.074	0.07928138	0.1335555	20.47455	-0.4959917	0.2551261	0.09870879	-0.009082468	-18.69902
0.075	0.0968595	0.1089461	20.42533	-0.5487261	0.2586417	0.09870879	0.01552691	-17.34551
0.076	0.1074064	0.0773055	19.14564	-0.5909136	0.2586417	0.1127713	0.04013628	-14.72637
0.077	0.1249845	0.04214925	16.55111	-0.6084917	0.2551261	0.1549588	0.07177691	-10.93301
0.078	0.1425626	0.006993001	12.85619	-0.6225542	0.2480948	0.1795682	0.09638628	-6.33457
0.079	0.1460783	-0.007069499	8.932753	-0.6577104	0.2445792	0.1795682	0.1034175	-1.954101
0.08	0.1495939	-0.01058512	5.385488	-0.7069292	0.2480948	0.1760525	0.11748	1.529883
0.081	0.1495939	-0.003553874	2.435878	-0.7315386	0.2516105	0.1725369	0.1139644	3.927539
0.082	0.139047	0.003477376	0.6780659	-0.6823198	0.2516105	0.1549588	0.08232378	4.722071
0.083	0.1249845	0.02457113	0.414394	-0.6014604	0.2551261	0.133865	0.04716753	3.762305
0.084	0.1074064	0.05621175	1.353066	-0.5276323	0.2586417	0.1162869	0.03310503	1.550977
0.085	0.08631263	0.08785238	3.448378	-0.4538042	0.2551261	0.09167754	0.01904253	-1.711523
0.086	0.0687345	0.119493	6.647597	-0.4327104	0.2586417	0.07058379	-0.002051218	-5.891601
