Interval=	0.001 s
ExcelDateTime=	4.5345513317788660e+004	2/23/2024 12:19:10.65694
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-45.44375	-6.342295	4.728936	97.67728	-33.85932	108.7196	67.9632	-21.81535
0.001	-45.4543	-6.34581	4.728936	97.69486	-33.86283	108.7372	67.97726	-21.81887
0.002	-51.21641	-14.45636	3.677764	99.56869	-34.78744	108.7372	59.85968	-18.1134
0.003	-58.2582	-22.91495	2.436748	102.0824	-36.06361	108.7372	48.89444	-13.91574
0.004	-63.86563	-26.86651	1.476983	104.3921	-37.42416	108.7372	38.69913	-11.18762
0.005	-67.37774	-26.00167	0.9074513	106.157	-38.71088	108.7372	30.64132	-10.14699
0.006	-68.52735	-21.60362	0.7773732	107.166	-39.63549	108.7372	25.70538	-10.49856
0.007	-67.25117	-13.93253	1.051592	107.3488	-40.15229	108.7372	24.35538	-12.04192
0.008	-63.38399	-3.062217	1.747686	106.5402	-40.2226	108.7372	27.2171	-14.93879
0.009	-57.60078	8.644815	2.763701	104.8492	-39.7726	108.7372	33.8546	-18.83762
0.01	-51.0125	18.84364	3.920342	102.6413	-38.86908	108.7372	42.84405	-23.03176
0.011	-44.26116	27.08665	5.098233	100.2392	-37.66929	108.7372	53.0266	-27.11332
0.012	-38.18616	32.04368	6.138858	97.95054	-36.28414	108.7407	63.08129	-30.53754
0.013	-33.96389	32.3636	6.831437	96.16109	-34.93414	108.7372	71.21293	-32.59418
0.014	-31.97757	29.17844	7.123233	95.06773	-33.89703	108.7407	76.5391	-33.16722
0.015	-32.22014	23.23704	7.010733	94.70562	-33.25718	108.7407	78.82075	-32.31644
0.016	-34.98342	14.17024	6.434171	95.17672	-33.06031	108.7372	77.48129	-29.90824
0.017	-39.96507	3.451103	5.463858	96.45289	-33.39429	108.7372	72.46098	-26.25199
0.018	-46.12796	-6.568429	4.303702	98.28453	-34.19937	108.7407	64.7266	-22.08949
0.019	-52.83225	-15.58249	3.08378	100.5029	-35.2857	108.7372	55.10082	-17.85316
0.02	-59.42405	-22.63132	1.920108	102.9357	-36.55836	108.7372	44.45551	-14.1266
0.021	-64.476	-25.03249	1.055265	105.1048	-37.91187	108.7407	34.81215	-11.89418
0.022	-67.16897	-22.80007	0.6439367	106.613	-39.06851	108.7372	27.86528	-11.36683
0.023	-67.5592	-17.36491	0.6474523	107.3443	-39.84195	108.7407	24.14926	-12.10511
0.024	-65.43577	-8.540694	1.069327	107.1826	-40.19703	108.7372	24.25121	-14.08793
0.025	-60.81623	2.878056	1.895499	106.0365	-40.0564	108.7372	28.55434	-17.36097
0.026	-54.64983	14.16673	2.97128	104.1345	-39.41304	108.7372	36.18676	-21.40394
0.027	-47.93499	23.69407	4.12089	101.8459	-38.37945	108.7372	45.72114	-25.58402
0.028	-41.26585	30.96438	5.24589	99.44117	-37.07867	108.7372	56.06059	-29.518
0.029	-35.67952	34.33235	6.170499	97.28961	-35.65836	108.7372	65.65121	-32.5309
0.03	-32.19202	33.22493	6.722452	95.74625	-34.38218	108.7372	72.87231	-34.06019
0.031	-30.94046	29.00969	6.880655	94.92008	-33.45406	108.7372	77.18598	-34.14808
0.032	-32.02678	22.28782	6.609952	94.8357	-33.00054	108.7372	78.37778	-32.77347
0.033	-35.65139	12.84837	5.885733	95.56695	-33.04625	108.7372	75.95903	-29.85902
0.034	-41.12874	1.665165	4.838077	97.05758	-33.48218	108.7372	69.88754	-25.94613
0.035	-47.4885	-8.730538	3.64628	99.07906	-34.30484	108.7372	61.19692	-21.71683
0.036	-54.28069	-17.51257	2.426358	101.4521	-35.45445	108.7372	50.89965	-17.5473
0.037	-60.54553	-23.33093	1.34003	103.8884	-36.77984	108.7372	40.23325	-14.24261
