Interval=	0.001 s
ExcelDateTime=	4.5340496291330164e+004	2/18/2024 11:54:39.570926
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	2.116307	0.2802544	1.382398	31.16214	-6.484663	4.215255	-9.790604	1.669212
0.001	2.119822	0.2802544	1.385913	31.17971	-6.49521	4.232833	-9.804666	1.669212
0.002	5.08701	-1.076777	-0.0871336	-12.90974	5.830571	-1.328886	13.11018	-5.597585
0.003	7.25615	-1.857246	-3.81018	-72.68943	25.74659	-18.65037	42.84533	-12.95227
0.004	7.741307	-2.194746	-9.115259	NaN	47.38526	-44.81014	70.35862	-17.82493
0.005	7.129588	-2.314277	-15.75276	NaN	71.0876	-77.36834	97.50627	-21.02766
0.006	4.74951	-1.361543	-22.16174	NaN	91.65049	-110.925	NaN	-20.87297
0.007	1.388572	-0.05724564	-26.7637	NaN	103.8567	NaN	NaN	-17.61047
0.008	-1.77549	0.9341606	-29.56917	NaN	108.9122	NaN	NaN	-12.98391
0.009	-4.577443	1.922051	-30.91917	NaN	108.5396	NaN	112.4688	-7.503054
0.01	-6.80635	2.952129	-30.76096	NaN	102.5946	NaN	97.59416	-1.357741
0.011	-8.098239	3.693361	-29.11987	-89.39717	91.62232	NaN	78.2835	4.552362
0.012	-8.692379	4.403518	-26.10697	-45.23741	76.64576	NaN	56.27217	9.780096
0.013	-9.268942	5.472268	-21.16401	7.859077	55.71373	-114.4813	28.2667	14.87775
0.014	-9.202145	5.841408	-14.43158	43.40556	29.74381	-80.75946	-2.255953	18.45666
0.015	-7.419723	4.804299	-7.709707	46.81923	7.120761	-45.73329	-22.854	18.04885
0.016	-4.378708	3.282033	-2.467912	46.22158	-6.270255	-17.63641	-28.90791	13.96369
0.017	-0.8314423	1.707033	0.7734941	46.00361	-10.27455	-0.2973518	-22.83642	7.695331
0.018	2.947855	-0.1035137	1.311386	21.01455	-3.914786	3.935461	-4.319625	-0.2394352
0.019	6.073245	-1.48867	-1.086271	-34.89092	12.36256	-5.971571	23.73858	-8.427326
0.02	7.549808	-1.998436	-5.512443	-93.1378	33.30865	-27.08993	52.9042	-14.79764
0.021	7.686917	-2.314842	-11.43275	NaN	56.12857	-56.12548	80.99756	-19.21678
0.022	6.428323	-2.012498	-18.18979	NaN	79.3106	-89.84384	105.6702	-21.23826
0.023	3.556058	-0.8242169	-24.01869	NaN	96.83951	NaN	NaN	-19.78631
0.024	0.2267608	0.31133	-27.96322	NaN	106.2192	NaN	NaN	-15.97537
0.025	-2.803708	1.257033	-30.25893	NaN	109.4149	NaN	NaN	-11.10623
0.026	-5.443942	2.308205	-31.07104	NaN	107.1122	NaN	108.1065	-5.323029
