Interval=	0.001 s
ExcelDateTime=	4.5338592445751448e+004	2/16/2024 14:13:07.312925
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.3506261	-3.387649	7.508174	5.398551	14.59223	-1.774014	2.117709	-2.356983
0.001	-0.3506261	-3.384133	7.51169	5.388004	14.58872	-1.770498	2.117709	-2.356983
0.002	-2.825626	-0.7825707	-4.680498	-39.15848	-15.77573	8.632236	-2.181901	4.273486
0.003	-3.644767	0.7467261	-20.8594	-54.16317	-42.28706	14.84435	-5.588541	9.673486
0.004	-2.242032	0.4232886	-34.68987	-49.87411	-51.76519	13.33263	-6.411198	11.20278
0.005	0.5212489	-1.14468	-44.89573	-52.14871	-48.85777	7.792002	-5.532291	10.00747
0.006	4.697811	-4.136477	-49.20237	-38.06161	-31.60659	-1.86542	-2.670573	5.67622
0.007	9.225936	-7.666164	-47.01565	9.262223	-4.965187	-13.24198	1.256381	-0.7257328
0.008	13.00875	-10.72124	-40.26214	70.49738	21.52856	-22.94511	4.803646	-7.306983
0.009	16.2607	-13.56187	-29.57464	NaN	49.35825	-32.63417	8.48099	-14.14487
0.01	18.31383	-15.62905	-15.92347	NaN	74.76919	-40.46347	11.71537	-20.32183
0.011	18.46149	-16.15768	-2.825866	NaN	87.86521	-42.65721	13.23945	-23.82386
0.012	17.50875	-15.80964	7.713977	NaN	91.7113	-41.49353	13.72461	-25.0473
0.013	15.86344	-14.97292	14.95968	NaN	90.99411	-38.90603	13.53828	-24.78011
0.014	13.31461	-13.47878	18.47531	NaN	84.99646	-34.35682	12.45899	-22.7762
0.015	10.06266	-11.42214	19.13273	NaN	73.93981	-28.15877	10.7293	-19.11644
0.016	6.66305	-9.115887	18.02531	NaN	59.79997	-21.29627	8.693751	-14.48988
0.017	2.911878	-6.226044	13.98585	62.37022	38.4531	-11.86033	5.540235	-8.481672
0.018	-0.9974968	-2.703387	4.173743	-8.831731	5.458959	1.259981	0.6535166	-0.6594063
0.019	-3.289684	-0.07721543	-10.64462	-49.57079	-27.71448	11.86311	-3.944921	6.449187
0.02	-3.166637	0.7138002	-26.14852	-51.86298	-47.77464	14.90061	-6.324999	10.35153
0.021	-1.359606	0.06340957	-39.1704	-50.56572	-53.64924	12.02482	-6.623827	11.11091
0.022	1.906409	-1.972137	-47.70633	-50.87509	-46.08714	5.039278	-5.076952	8.917156
0.023	6.357191	-5.255731	-49.99501	-28.29072	-25.35901	-5.342363	-1.793358	3.805437
0.024	10.64977	-8.577996	-46.67274	21.2585	0.1081776	-15.58689	1.806642	-2.515656
0.025	14.30602	-11.52057	-39.33212	82.02257	25.66677	-24.81893	5.216798	-8.987922
0.026	17.53688	-14.42097	-27.59696	NaN	55.09606	-35.13025	9.189454	-16.08245
