Interval=	0.001 s
ExcelDateTime=	4.5345582477290904e+004	2/23/2024 13:58:46.037934
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	7.505228	-68.98791	0.1360236	-0.5001951	38.18439	-0.6815369	-23.3253	6.271648
0.001	7.505228	-69.00197	0.132508	-0.5001951	38.19142	-0.6815369	-23.32882	6.275163
0.002	7.301321	-69.15666	0.1500861	-0.5458982	38.5254	-1.001459	-23.371	5.772429
0.003	9.410696	-70.85119	0.6809455	-0.6654294	39.97033	-1.17724	-23.57491	3.852898
0.004	14.05835	-74.09611	1.742664	-0.8482419	42.42072	-1.078802	-23.91944	0.6853194
0.005	20.02437	-78.07931	3.092664	-1.055664	45.30001	-0.8045837	-24.33077	-3.009602
0.006	26.46499	-82.19259	4.551649	-1.249023	48.24611	-0.4038025	-24.75616	-6.757259
0.007	32.7439	-86.05275	5.993055	-1.417773	51.0129	0.07080688	-25.15342	-10.22718
0.008	37.75015	-89.00236	7.170789	-1.54082	53.04845	0.5559631	-25.45225	-12.76898
0.009	40.68921	-90.61252	7.887977	-1.611133	54.01525	0.9497131	-25.62803	-13.96781
0.01	41.5646	-90.93595	8.123524	-1.646289	53.99415	1.220416	-25.69132	-13.88695
0.011	40.17261	-89.82058	7.809067	-1.646094	52.90814	1.346521	-25.63111	-12.44144
0.012	36.41792	-87.22605	6.937192	-1.589844	50.74603	1.28324	-25.43775	-9.632457
0.013	31.10933	-83.70691	5.675083	-1.494922	47.95463	1.030115	-25.16002	-5.997301
0.014	25.00972	-79.72722	4.22313	-1.36836	44.95228	0.6223027	-24.81549	-2.073863
0.015	18.39682	-75.43113	2.707896	-1.203125	41.94642	0.05628701	-24.41822	1.870668
0.016	12.34643	-71.5991	1.350864	-1.03086	39.44681	-0.6046504	-24.05963	5.119105
0.017	8.215574	-69.15222	0.4508643	-0.9324222	37.99838	-1.205822	-23.8522	6.926137
0.018	6.310106	-68.20652	0.07117682	-0.9218753	37.61166	-1.6734	-23.82759	7.302308
0.019	6.728465	-68.78308	0.2153174	-0.9710941	38.28666	-1.968713	-23.94361	6.317933
0.02	9.787059	-71.04714	0.9289893	-1.101172	40.12533	-2.024963	-24.21783	3.881605
0.021	14.99722	-74.62605	2.103208	-1.305078	42.81127	-1.842151	-24.63267	0.4081678
0.022	21.20581	-78.71824	3.502427	-1.526563	45.77494	-1.490588	-25.10377	-3.374645
0.023	27.67807	-82.80339	4.961411	-1.716407	48.72806	-1.030041	-25.55377	-7.101207
0.024	33.66519	-86.43855	6.325474	-1.864063	51.33666	-0.5132442	-25.95103	-10.36722
0.025	38.02104	-88.98035	7.345005	-1.966016	53.04525	-0.017541	-26.24986	-12.49066
0.026	40.28511	-90.16863	7.893442	-2.011719	53.68509	0.3832402	-26.42564	-13.27816
0.027	40.4855	-90.03855	7.960239	-2.008203	53.34759	0.6433964	-26.47838	-12.80355
0.028	38.33042	-88.42136	7.478599	-1.9625	51.91673	0.7348027	-26.37994	-10.92621
0.029	33.97808	-85.45769	6.480161	-1.881641	49.51556	0.6223027	-26.15142	-7.811363
0.03	28.34604	-81.7487	5.154771	-1.783203	46.65033	0.3269901	-25.86314	-4.088317
0.031	21.99331	-77.6073	3.671177	-1.635547	43.64447	-0.130041	-25.51158	-0.1578478
