Interval=	0.001 s
ExcelDateTime=	4.5345646717209820e+004	2/23/2024 15:31:16.366929
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-55.80402	-0.5433413	-2.04956	-2.278675	-44.55208	-2.828884	-15.91012	2.280584
0.001	-55.81456	-0.5433413	-2.04956	-2.278675	-44.5556	-2.8324	-15.91012	2.280584
0.002	-51.20206	5.682831	-2.344872	-3.073206	-51.41458	-3.166384	-18.08629	-2.560432
0.003	-44.80363	11.23049	-2.640185	-4.159535	-60.08411	-3.31404	-22.45973	-8.491291
0.004	-38.32081	14.43322	-2.83706	-5.252894	-68.18411	-3.198025	-28.25348	-13.84207
0.005	-32.17902	15.37892	-2.946044	-6.290003	-75.39817	-2.92029	-34.93317	-18.45809
0.006	-27.66847	12.85822	-2.942528	-7.084535	-80.01419	-2.47029	-41.41246	-21.21434
0.007	-25.32003	8.105097	-2.900341	-7.566175	-81.6138	-1.886697	-46.76676	-21.84715
0.008	-25.10206	2.149627	-2.861669	-7.717347	-80.47825	-1.243337	-50.51442	-20.54989
0.009	-27.28527	-5.226154	-2.826513	-7.474769	-76.32278	-0.5296653	-52.11403	-17.16785
0.01	-31.69386	-12.77068	-2.851122	-6.86305	-69.56575	0.1945535	-51.22457	-12.02449
0.011	-37.38704	-18.59764	-2.946058	-6.018391	-61.67853	0.7881872	-48.18395	-6.16434
0.012	-43.68001	-22.75662	-3.055042	-5.009406	-53.52228	1.146781	-43.43786	-0.2405122
0.013	-50.08899	-25.03826	-3.174573	-3.923078	-45.71408	1.160843	-37.37341	5.194644
0.014	-55.41868	-23.81834	-3.37848	-3.03011	-40.07853	0.7319372	-31.00661	8.857925
0.015	-58.71633	-19.55037	-3.656214	-2.530891	-37.7758	-0.04853157	-25.51872	10.04269
0.016	-59.88704	-13.88318	-3.937464	-2.393781	-38.44025	-0.9555628	-21.49684	9.093472
0.017	-58.66008	-6.764044	-4.246839	-2.646906	-42.07189	-1.781735	-19.48942	6.143863
0.018	-54.8386	1.219941	-4.61598	-3.31136	-48.60392	-2.379391	-20.06598	1.369644
0.019	-49.22063	7.867988	-4.964026	-4.250031	-56.72501	-2.664157	-23.08942	-4.279965
0.02	-42.85032	12.3715	-5.248792	-5.297688	-65.1133	-2.660641	-27.91989	-9.915512
0.021	-36.31126	15.07853	-5.470276	-6.369953	-73.19572	-2.449704	-34.05465	-15.16786
0.022	-30.55969	14.89572	-5.57223	-7.322688	-79.72423	-2.062985	-40.75192	-19.25653
0.023	-26.73469	11.4258	-5.554651	-7.994172	-83.30314	-1.535641	-46.89372	-21.29207
