Interval=	0.001 s
ExcelDateTime=	4.5345495229293352e+004	2/23/2024 11:53:07.810946
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.1495297	0.1041315	4.058912	0.262866	-2.868942	-5.821933	-14.72585	4.020198
0.001	0.1495297	0.1006159	4.055396	0.262866	-2.872458	-5.821933	-14.71882	4.020198
0.002	0.1460141	1.014678	-4.174682	0.2593504	4.267776	4.77416	16.97454	-3.633317
0.003	0.1565609	4.39671	-10.95984	0.01677228	14.83223	14.94135	42.92688	-12.55246
0.004	0.1741391	8.499444	-12.55945	-0.3136965	25.41778	19.74721	49.62766	-18.80676
0.005	0.1846859	12.89398	-10.50632	-0.6687746	34.69903	20.24643	42.75462	-22.20636
0.006	0.1987484	19.13773	-4.962182	-1.041431	40.7459	15.96439	21.47806	-22.06222
0.007	0.1987484	26.43968	2.448756	-1.224243	42.6795	8.363614	-7.902023	-18.7048
0.008	0.1917172	32.31429	9.697974	-1.29104	41.05879	-0.07037086	-36.67038	-13.49816
0.009	0.1987484	35.59436	17.66087	-1.424634	36.11934	-9.977402	-68.23718	-6.653239
0.01	0.1952328	36.47679	25.25462	-1.322681	28.13184	-20.29928	-97.74382	1.429183
0.011	0.1811627	34.89478	29.04398	-1.027078	18.98475	-26.95177	-111.4253	8.3662
0.012	0.1776471	30.91509	29.77171	-0.8372341	10.26951	-30.09474	-113.3413	13.12284
0.013	0.1741315	25.46236	29.08617	-0.6895779	2.49998	-31.34279	-110.6589	16.16737
0.014	0.1706159	18.77564	26.68499	-0.4927029	-3.715645	-30.31974	-101.7714	17.39433
0.015	0.1741315	11.32955	22.58929	-0.3169216	-7.691817	-26.87442	-86.30266	16.59276
0.016	0.1741315	5.106892	17.58656	-0.1833279	-9.098067	-21.81544	-67.32532	14.07206
0.017	0.1635846	1.359235	10.99476	0.06276584	-7.526582	-14.43966	-42.01282	9.670497
0.018	0.1495221	0.1955635	1.717024	0.305344	-2.091426	-3.323253	-6.132352	2.470497
0.019	0.1460065	2.009626	-7.19157	0.2174533	6.880449	8.499794	28.00085	-6.508409
