Interval=	0.001 s
ExcelDateTime=	4.5345552741978529e+004	2/23/2024 13:15:56.906945
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.8860997	-0.8777512	0.4648115	0.0466832	0.4725308	-0.01437321	1.349518	1.289782
0.001	-0.8860997	-0.8777512	0.4612959	0.05019883	0.4725308	-0.01437321	1.353033	1.289782
0.002	4.236166	2.173811	0.9956709	-0.5369105	-0.9759067	-0.1655451	-4.141889	-2.334828
0.003	10.87015	5.351937	1.733952	-1.320895	-2.6845	-0.1725763	-12.17861	-6.571156
0.004	17.20882	7.637093	2.496843	-2.097848	-4.164579	-0.007341957	-20.81298	-10.1817
0.005	22.64398	8.751546	3.199968	-2.800973	-5.254423	0.2914862	-29.13798	-12.86413
0.006	26.07874	8.29803	3.713249	-3.303707	-5.69036	0.6852362	-35.54697	-14.0067
0.007	27.43226	6.754671	3.983952	-3.609567	-5.567313	1.128205	-39.45986	-13.73248
0.008	26.58499	4.276155	3.976921	-3.669332	-4.920438	1.613361	-40.5497	-12.05202
0.009	23.32601	0.8800613	3.660514	-3.402145	-3.704032	2.119611	-38.47197	-8.916078
0.01	18.24242	-2.772673	3.115593	-2.850192	-2.136063	2.552033	-33.58173	-4.869593
0.011	12.27269	-6.045299	2.447105	-2.111346	-0.4937945	2.818725	-26.68437	-0.607465
0.012	5.839101	-8.868346	1.705308	-1.246502	1.172612	2.864428	-18.26445	3.590191
0.013	-0.24293	-10.62967	0.974058	-0.3711113	2.557768	2.625366	-9.405076	7.007379
0.014	-4.623399	-10.59452	0.3939799	0.2933418	3.222221	2.098022	-1.955467	8.723004
0.015	-6.859336	-9.139049	0.03538617	0.6589669	3.173002	1.415991	3.107033	8.708941
0.016	-6.898008	-6.797642	-0.05602008	0.732795	2.592924	0.7550533	5.406252	7.253473
0.017	-4.373789	-3.605455	0.1549174	0.4726387	1.478471	0.2066158	4.344533	4.398785
0.018	0.4742575	0.05431055	0.6330424	-0.07228307	-0.06488822	-0.1519779	-0.08515434	0.517535
0.019	6.566836	3.422279	1.286949	-0.7824394	-1.73481	-0.2644779	-6.901951	-3.623871
0.02	13.07777	6.224233	2.032261	-1.559393	-3.362544	-0.1906498	-15.15664	-7.578949
0.021	19.33207	8.238685	2.784605	-2.339861	-4.782857	0.01677207	-23.97734	-10.97856
0.022	24.15902	8.801185	3.413902	-2.993768	-5.651216	0.3613033	-31.81719	-13.1477
0.023	26.89066	7.918763	3.835777	-3.436736	-5.872701	0.7831783	-37.42812	-13.79106
0.024	27.54809	6.076576	4.029136	-3.668768	-5.573872	1.229663	-40.46211	-13.05981
0.025	25.87816	3.257045	3.930699	-3.644158	-4.719576	1.711303	-40.51836	-10.86957
0.026	21.89144	-0.3359238	3.526402	-3.303143	-3.334419	2.189428	-37.42812	-7.343402
0.027	16.44574	-3.890221	2.914683	-2.705486	-1.710201	2.551538	-31.83125	-3.180902
0.028	10.2723	-7.005064	2.201011	-1.932049	-0.04731009	2.73435	-24.40273	1.073004
0.029	3.778945	-9.578502	1.424058	-1.042596	1.590971	2.695678	-15.64883	5.108941
0.03	-1.877696	-10.78436	0.7139018	-0.2164237	2.793315	2.347632	-7.077732	8.005816
0.031	-5.551524	-10.20428	0.1900737	0.339045	3.232768	1.742944	-0.42617	9.074566
0.032	-7.087852	-8.460534	-0.07711383	0.6027168	3.021831	1.053881	3.722268	8.550738
0.033	-6.293321	-5.862486	-0.07008258	0.5710763	2.273002	0.4210689	4.935158	6.606598
0.034	-2.890196	-2.455846	0.2392924	0.2230293	0.9933149	-0.05002481	2.66758	3.298394
0.035	2.516836	1.175795	0.805308	-0.3781425	-0.620357	-0.3172123	-2.700779	-0.7902775
0.036	8.806289	4.360951	1.497886	-1.09533	-2.283248	-0.3840092	-10.0625	-4.896527
0.037	15.33129	6.951967	2.25023	-1.847674	-3.879341	-0.2855717	-18.60547	-8.714496
0.038	21.24105	8.530482	2.970933	-2.568377	-5.162544	-0.03947793	-27.26094	-11.78364
0.039	25.39301	8.544545	3.536949	-3.141424	-5.812935	0.3331783	-34.4082	-13.42895
