Interval=	0.001 s
ExcelDateTime=	4.5345666470091099e+004	2/23/2024 15:59:43.015871
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.1478535	0.04789487	-0.03144751	0.1138623	0.3829967	0.1910668	0.1337012	0.1159349
0.001	0.1478535	0.04789487	-0.03496313	0.1138623	0.3829967	0.1910668	0.1337012	0.1159349
0.002	0.1443379	0.04437924	-2.643557	0.1103467	0.3794811	0.1840356	0.1301855	0.03507557
0.003	0.1373067	0.05844174	-4.788088	0.1419873	0.3724498	0.1629418	0.1372168	-0.3410963
0.004	0.1267598	0.08305112	-5.33301	0.1947217	0.3689342	0.1629418	0.1407324	-0.9246901
0.005	0.1162129	0.1076605	-4.77051	0.2333935	0.3724498	0.1594262	0.1337012	-1.515315
0.006	0.09863478	0.1428167	-3.044338	0.2720654	0.3689342	0.1348168	0.1301855	-2.151643
0.007	0.08105665	0.177973	-0.1509788	0.3142529	0.3689342	0.1207543	0.1301855	-2.823128
0.008	0.07050978	0.2025824	3.340037	0.3212842	0.3689342	0.1137231	0.1196387	-3.283674
0.009	0.0599629	0.2201605	6.859177	0.303706	0.3724498	0.09614494	0.116123	-3.51219
0.01	0.05293165	0.2271917	10.31504	0.303706	0.3689342	0.08559806	0.1126074	-3.631721
0.011	0.05997925	0.2166112	13.07305	0.3036645	0.3689343	0.09968882	0.11964	-3.430596
0.012	0.07404175	0.1884862	14.28946	0.2860863	0.3724499	0.1207826	0.1372181	-2.83294
0.013	0.09161987	0.1568455	14.03633	0.2544457	0.3724499	0.1383607	0.147765	-2.154424
0.014	0.109198	0.1252049	12.58086	0.2087426	0.3689343	0.1559388	0.1442494	-1.48294
0.015	0.1267761	0.09356429	9.866802	0.1595238	0.361903	0.1805482	0.1337025	-0.7587208
0.016	0.1408386	0.07247054	6.245708	0.1313988	0.361903	0.201642	0.11964	-0.1891895
0.017	0.1478699	0.05840804	2.519145	0.1313988	0.3689343	0.2157045	0.1231556	0.07448237
0.018	0.1513855	0.05489241	-0.8804641	0.148977	0.3724499	0.2227357	0.1337025	0.1272167
0.019	0.1478699	0.05840804	-3.643745	0.177102	0.3689343	0.2192201	0.1337025	-0.03098638
0.02	0.137323	0.07598616	-5.197652	0.2122582	0.3654186	0.201642	0.1231556	-0.4985645
0.021	0.1232605	0.1005955	-5.426167	0.2438988	0.3689343	0.173517	0.11964	-1.092705
0.022	0.1127136	0.1252049	-4.54023	0.2790551	0.3654186	0.1418763	0.1126088	-1.679815
