Interval=	0.001 s
ExcelDateTime=	4.5345514178332349e+004	2/23/2024 12:20:25.007915
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.9201857	0.7335949	-0.3961897	0.5670533	-0.321739	0.4926919	-2.687687	1.355645
0.001	-0.91667	0.7371105	-0.3961897	0.5635377	-0.321739	0.4926919	-2.684171	1.355645
0.002	1.737627	-1.519921	0.05381026	-0.5403686	0.7962297	0.6192544	2.898641	0.6138482
0.003	2.922392	-6.853124	0.243654	-1.236462	1.801699	0.7458169	6.727157	0.9513482
0.004	1.403642	-15.33281	-0.05517411	-1.036072	2.31498	0.8583169	6.389657	2.825176
0.005	-2.565498	-26.65312	-0.8215804	0.001037693	2.381777	0.9813637	2.121688	6.073614
0.006	-8.317061	-38.09297	-1.911424	1.737756	1.879042	1.07277	-5.48964	10.1201
0.007	-14.90183	-48.07383	-3.120799	3.868225	0.9474016	1.093864	-15.05566	14.30369
0.008	-21.88034	-56.68711	-4.354783	6.234241	-0.237364	1.030582	-25.86972	18.34314
0.009	-28.15925	-61.5457	-5.423533	8.473694	-1.640098	0.8969888	-36.41308	21.49314
0.01	-32.34636	-60.82148	-6.091502	10.08737	-3.05338	0.707145	-44.41464	22.96619
0.011	-34.15429	-56.21458	-6.322411	10.91167	-4.160259	0.5067008	-49.00489	22.84245
0.012	-33.57773	-48.52943	-6.125536	10.94331	-4.863384	0.3344352	-49.99278	21.33425
0.013	-30.29062	-37.51849	-5.475146	10.08199	-5.109478	0.2254508	-46.78653	18.38112
0.014	-24.74999	-25.18216	-4.473193	8.44019	-4.81065	0.1832633	-39.66739	14.44362
0.015	-18.1582	-13.80208	-3.337646	6.316752	-4.072368	0.1902946	-29.99591	10.33034
0.016	-11.28867	-4.661458	-2.159911	4.021049	-2.982524	0.2359977	-19.13615	6.456124
0.017	-4.855071	0.1865891	-1.031396	1.869487	-1.495415	0.3203727	-8.677162	3.207687
0.018	-0.1160088	0.1901047	-0.2017083	0.1925337	0.0373975	0.4434196	-0.2888803	1.22839
0.019	2.348444	-3.223567	0.2025885	-0.8480913	1.23271	0.5770133	5.213073	0.7291712
0.02	2.562897	-9.544661	0.2025885	-1.196138	2.034273	0.7070915	7.470104	1.597531
0.021	0.242585	-19.24427	-0.2509271	-0.7109819	2.435054	0.8195915	5.821276	3.949484
0.022	-4.471868	-30.98294	-1.133349	0.6179243	2.308491	0.9004508	0.1646353	7.570577
