Interval=	0.001 s
ExcelDateTime=	4.5340492269744296e+004	2/18/2024 11:48:52.105907
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.6016465	0.456709	1.28695	8.546869	-3.42437	4.837157	-2.831712	-0.7523832
0.001	-0.5981309	0.4531933	1.28695	8.525775	-3.417339	4.823094	-2.821165	-0.7558989
0.002	-1.564928	1.936787	-1.258363	13.01523	0.8189896	-11.4437	-6.712962	7.199961
0.003	-2.92899	3.666475	-3.230628	26.50468	2.288521	-19.06909	-15.51609	16.40738
0.004	-4.475865	5.533271	-3.603285	52.46757	-0.9106979	-15.32847	-29.20945	24.38785
0.005	-6.050865	7.252412	-2.608363	86.23163	-8.12476	-2.749562	-46.78406	31.03941
0.006	-7.48524	8.535615	-0.5306285	NaN	-18.27085	19.38833	-65.19187	35.24058
0.007	-9.475084	10.45866	2.791637	NaN	-32.44234	50.60708	-86.6407	37.55738
0.008	-12.11532	12.30788	7.804918	NaN	-52.03843	92.80161	-112.1887	37.4484
0.009	-13.86962	11.8403	13.52836	NaN	-71.3146	NaN	NaN	32.48433
0.01	-13.95047	9.657099	18.41859	NaN	-83.68609	NaN	NaN	23.06246
0.011	-12.81944	7.211882	21.84302	NaN	-88.68047	NaN	NaN	12.12089
0.012	-10.53428	4.139227	23.34419	NaN	-86.30741	NaN	-111.7099	1.271669
0.013	-7.296392	0.8872735	22.38443	NaN	-75.67265	NaN	-86.48879	-8.160753
0.014	-4.353814	-0.8881172	19.41021	111.7328	-60.28125	NaN	-60.0302	-13.80333
0.015	-2.124908	-1.868977	15.11763	65.3195	-43.5539	NaN	-36.83059	-15.32208
0.016	-0.4092828	-2.427961	9.742241	24.98825	-25.50469	71.54938	-16.0216	-13.4131
0.017	-0.05420465	-1.179914	4.468803	7.694893	-10.27851	29.23883	-4.040353	-7.397862
0.018	-0.9190484	0.8661797	0.5242719	9.19958	-1.601947	-1.069375	-3.618478	1.394716
0.019	-2.10733	2.504461	-2.077291	16.37146	2.043752	-15.82445	-9.48254	10.49667
0.02	-3.531158	4.248211	-3.458931	34.17458	1.737893	-18.55609	-19.89934	19.13104
0.021	-5.179986	6.171258	-3.374556	63.98708	-2.913276	-12.16469	-35.32942	26.883
0.022	-6.712798	7.661882	-1.964791	97.99724	-11.23125	3.894688	-53.28723	32.67323
0.023	-8.252642	9.05407	0.4539594	NaN	-22.42148	28.92594	-72.13449	36.13612
0.024	-10.57999	11.18805	4.345756	NaN	-38.59335	63.81148	-95.45012	37.8412
