Interval=	0.001 s
ExcelDateTime=	4.5338568089929337e+004	2/16/2024 13:38:02.969895
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-1.022168	0.04811366	0.4117474	2.460235	0.1992635	0.6723574	0.00983043	0.2838043
0.001	-1.018652	0.04811366	0.4117474	2.467267	0.2027791	0.6723574	0.00983043	0.2838043
0.002	13.25479	0.04108241	0.7738568	24.93914	0.1465291	1.544232	1.454752	-3.456821
0.003	22.19854	0.02701991	0.1797162	37.1243	0.02699786	2.454779	2.646549	-6.121664
0.004	23.92119	0.01998866	-0.7413776	37.05047	-0.03979902	3.108685	3.29694	-6.817758
0.005	24.11104	0.01998866	-1.465596	35.71102	-0.07495527	3.688764	3.725846	-6.722836
0.006	21.34072	0.01295741	-2.295284	31.00008	-0.1347209	4.187982	3.659049	-5.566196
0.007	15.53643	0.009441781	-3.181221	21.46219	-0.180424	4.525482	3.100065	-3.323227
0.008	8.10791	0.009441781	-3.937081	8.598517	-0.2120646	4.68017	2.291471	-0.4474457
0.009	-3.602637	0.002410531	-5.016378	-11.14523	-0.2964396	4.581732	1.061002	3.296695
0.01	-23.22334	-0.01516759	-6.580831	-42.94054	-0.3948771	3.973529	-0.9288415	8.429507
0.011	-43.55005	-0.01867047	-7.433854	-75.35685	-0.3631403	2.805717	-3.038052	13.378
0.012	-56.04458	-0.008123596	-7.040105	-94.5627	-0.2471246	1.406498	-4.430239	16.24323
0.013	-60.52701	0.002423279	-6.002995	-100.1033	-0.1346246	0.1479047	-5.027896	16.94636
0.014	-56.8356	0.01648578	-4.491277	-92.4006	-0.00103088	-0.688814	-4.813443	15.62097
0.015	-44.4395	0.0340639	-2.635027	-71.12403	0.1185004	-0.8927203	-3.762271	12.253
0.016	-29.21685	0.04109515	-1.27448	-45.27715	0.1431097	-0.5587359	-2.429849	8.037766
0.017	-14.4231	0.05164203	-0.3885422	-20.00684	0.1571722	0.06352973	-1.122036	3.861204
0.018	3.351904	0.05867328	0.5852859	9.267768	0.1958441	0.9459516	0.5267919	-0.7583274
0.019	17.66401	0.05164203	0.7013015	31.31074	0.1044379	1.91978	2.045542	-4.579812
0.02	22.92339	0.0340639	-0.1600266	37.24511	-0.01509338	2.693217	2.938511	-6.305984
0.021	24.12222	0.03054828	-0.9932297	36.68613	-0.06782776	3.304936	3.529136	-6.710281
0.022	23.39448	0.02703265	-1.727995	34.45722	-0.1100153	3.860405	3.817417	-6.263796
0.023	19.48511	0.0200014	-2.585808	28.06933	-0.1662653	4.299858	3.567807	-4.716921
0.024	13.07261	0.01648578	-3.415495	17.27988	-0.1979059	4.570561	2.910386	-2.23489
0.025	4.933935	0.009454529	-4.188933	3.115424	-0.2330621	4.654936	2.020932	0.8061257
0.026	-9.343018	-0.004607971	-5.486198	-20.55528	-0.3385309	4.401811	0.5408544	5.010813
0.027	-30.48599	-0.01867047	-6.976823	-54.5795	-0.4053278	3.572123	-1.628286	10.37214
0.028	-48.85513	-0.01867047	-7.405729	-83.6713	-0.3350153	2.267827	-3.579458	14.78073
0.029	-58.60044	-0.008123596	-6.734245	-98.15919	-0.2225153	0.858061	-4.697427	16.89714
0.03	-60.51997	0.002423279	-5.545964	-99.44239	-0.1064996	-0.3196734	-5.038443	16.94284
0.031	-53.68208	0.01648578	-3.86198	-86.83888	0.03412537	-0.970064	-4.542739	14.89675
0.032	-39.38755	0.0340639	-2.076042	-62.61974	0.1290472	-0.970064	-3.329849	11.06823
0.033	-24.49888	0.04109515	-0.9651047	-37.26504	0.1290472	-0.520064	-2.036099	6.888157
0.034	-8.910596	0.05164203	-0.05455785	-10.8627	0.1642035	0.1971235	-0.665005	2.595579
0.035	8.892529	0.05867328	0.771614	18.04277	0.1712347	1.153373	1.008432	-1.999343
0.036	20.09331	0.0481264	0.4657547	34.58378	0.04818787	2.085014	2.295151	-5.15989
0.037	23.38042	0.03757953	-0.4588547	37.16425	-0.03970276	2.802202	3.029917	-6.355202
0.038	24.06948	0.03054828	-1.225261	36.16933	-0.07485901	3.392827	3.532651	-6.506374
0.039	22.36089	0.02351703	-2.002214	32.82597	-0.1240778	3.916655	3.641636	-5.732937
0.04	17.45659	0.01648578	-2.88112	24.82792	-0.1803278	4.31392	3.240854	-3.859109
0.041	10.573	0.01297015	-3.665105	13.02597	-0.2119684	4.528373	2.520151	-1.208327
0.042	0.9437007	0.005938904	-4.56862	-3.483404	-0.2682184	4.524858	1.50062	2.09636
0.043	-16.22661	-0.01163922	-6.05573	-31.54864	-0.3807184	4.099467	-0.24313	6.800266
0.044	-37.577	-0.02570172	-7.289714	-65.75919	-0.3982965	3.097514	-2.429849	12.10534
