Interval=	0.001 s
ExcelDateTime=	4.5345578020809284e+004	2/23/2024 13:52:20.997922
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	2.453268	1.995352	0.2204196	0.2824435	1.777255	0.206924	-0.002002752	-0.2276462
0.001	2.453268	1.998868	0.2204196	0.2824435	1.777255	0.206924	-0.002002752	-0.2241305
0.002	-0.6334511	3.78129	-0.4334866	0.3422091	0.8913174	-0.2641697	0.1562004	0.8446195
0.003	-2.268217	4.56879	-0.7252835	0.3457248	0.7612392	-0.6965916	0.2194816	0.9079007
0.004	-1.016654	3.507071	-0.373721	0.2718966	1.815927	-0.8864354	0.131591	-0.5616305
0.005	2.882174	0.7578524	0.5333103	0.127756	3.928817	-0.8372166	-0.09692463	-3.370615
0.006	8.798971	-3.214804	1.85167	-0.05154087	6.737802	-0.552451	-0.4203621	-7.040927
0.007	15.57006	-7.609335	3.34581	-0.2238065	9.73663	-0.09541975	-0.7754403	-10.9046
0.008	22.49585	-11.93707	4.878623	-0.350369	12.67569	0.4530178	-1.11294	-14.65577
0.009	28.60952	-15.62848	6.256748	-0.4277127	15.12257	1.019033	-1.404737	-17.76007
0.01	32.79663	-18.04019	7.227061	-0.4699003	16.58858	1.521768	-1.608643	-19.60929
0.011	34.76671	-19.04188	7.6863	-0.480308	17.01818	1.901219	-1.70676	-20.13295
0.012	34.45734	-18.62	7.615988	-0.4556986	16.41701	2.140281	-1.678635	-19.33139
0.013	31.57453	-16.595	6.951535	-0.3818705	14.68733	2.1895	-1.5134	-17.06029
0.014	26.56124	-13.29735	5.770285	-0.2728861	12.09983	2.034812	-1.23215	-13.68529
0.015	20.39835	-9.356331	4.304269	-0.1533548	9.164278	1.721922	-0.8911348	-9.860295
0.016	13.55695	-4.965316	2.718722	-0.005698594	6.130294	1.250828	-0.5149629	-5.884123
0.017	6.722572	-0.5989094	1.175363	0.1735983	3.349434	0.6391093	-0.1317598	-2.248967
0.018	1.392884	2.667106	-0.009402752	0.3177389	1.468575	0.02035931	0.1635527	0.145174
0.019	-1.612975	4.322966	-0.6316684	0.391567	0.7232626	-0.4823751	0.3217559	1.013533
0.02	-2.252819	4.442497	-0.7019809	0.391567	1.018575	-0.8022969	0.339334	0.5354084
0.021	-0.1821156	2.835856	-0.1886996	0.3107077	2.435372	-0.9007345	0.2092558	-1.380607
0.022	4.514759	-0.4160969	0.8695035	0.1595358	4.847091	-0.7601094	-0.05090039	-4.562248
0.023	10.77257	-4.596175	2.265207	-0.01624547	7.743966	-0.4050313	-0.3813691	-8.330998
0.024	17.5964	-9.004769	3.798019	-0.1744486	10.73225	0.08012493	-0.7329317	-12.15248
0.025	24.3464	-13.20946	5.3238	-0.3080423	13.56584	0.6250468	-1.049338	-15.75248
0.026	29.88703	-16.53524	6.596457	-0.3924173	15.72443	1.191062	-1.305979	-18.49467
