Interval=	0.001 s
ExcelDateTime=	4.5345647533077950e+004	2/23/2024 15:32:26.857935
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	1.905614	2.058731	-0.3597739	0.2725839	-0.3616064	-0.1857803	-0.0125948	-1.977472
0.001	1.905614	2.058731	-0.3597739	0.2725839	-0.365122	-0.1857803	-0.01611042	-1.980988
0.002	-2.299074	-3.42916	-0.08907078	0.8983651	6.170425	0.3732041	2.033499	2.765106
0.003	-8.208839	-8.509238	0.1992105	1.879225	14.64308	0.8935166	6.17139	8.783856
0.004	-14.42447	-11.81744	0.4312417	3.035865	22.94347	1.100938	11.91592	14.47917
0.005	-20.60845	-13.15338	0.5929605	4.273365	30.6462	0.9181259	18.85576	19.47487
0.006	-25.37564	-11.02994	0.5859292	5.268287	35.64894	0.2853134	25.7042	22.33659
0.007	-28.08267	-6.621348	0.4488199	5.844849	37.31535	-0.6146866	31.29405	22.74792
0.008	-28.67681	-1.158066	0.2308511	6.010084	36.08839	-1.542812	35.10499	21.14479
0.009	-26.79947	5.507559	-0.06797703	5.735865	31.84152	-2.358437	36.5253	17.61862
0.01	-22.47876	12.41576	-0.405477	5.029224	24.91925	-2.924452	35.13311	12.54206
0.011	-16.68374	17.77508	-0.697257	4.05446	16.76157	-3.173514	31.31529	6.90367
0.012	-10.32397	21.37508	-0.9187413	2.9611	8.461184	-3.159452	25.75005	1.401716
0.013	-3.985301	23.20672	-1.059366	1.874772	0.691652	-2.944999	18.98599	-3.555315
0.014	1.235402	22.11336	-1.059366	0.9431314	-5.045848	-2.544217	12.0356	-7.035784
0.015	4.448684	18.43953	-0.9468663	0.299772	-7.745847	-1.988749	6.083647	-8.413909
0.016	5.591262	13.55281	-0.781632	-0.04827483	-7.668504	-1.352421	1.85435	-7.854924
0.017	4.48384	7.37586	-0.5425695	-0.03421233	-4.648582	-0.6598424	-0.08979092	-5.309612
0.018	0.9998554	0.4184379	-0.2507726	0.4157877	1.373684	0.03625134	0.5324747	-0.8025805
0.019	-4.14702	-5.47375	0.01289923	1.210319	9.122121	0.6374232	3.401225	4.787263
0.02	-10.10952	-9.720624	0.2414149	2.240397	17.37329	1.048751	8.07349	10.58804
0.021	-16.47632	-12.62805	0.4593836	3.442741	25.69126	1.15422	14.3313	16.21304
0.022	-22.32632	-12.82492	0.5789149	4.613444	32.65923	0.8167201	21.40122	20.61461
0.023	-26.43608	-9.717109	0.5296961	5.453679	36.50884	0.06789197	27.91568	22.63961
0.024	-28.45757	-4.925312	0.3644617	5.8861	37.16978	-0.8672643	32.97114	22.35484
0.025	-28.27124	0.9457817	0.1148524	5.900163	34.95845	-1.781327	36.04732	20.09781
0.026	-25.5185	7.917266	-0.1945226	5.453679	29.71314	-2.53367	36.51138	15.94234
0.027	-20.57554	14.46688	-0.5214758	4.631022	22.1897	-3.001249	34.21919	10.54234
0.028	-14.50405	19.18836	-0.7921789	3.615007	13.89634	-3.159452	29.75786	4.903279
0.029	-8.045848	22.27508	-0.9855382	2.521647	5.648683	-3.082108	23.72154	-0.4826586
0.03	-1.932176	23.23133	-1.066398	1.463444	-1.639207	-2.81492	16.74654	-5.049455
0.031	2.669777	21.10086	-1.013663	0.609147	-6.381785	-2.368436	9.996537	-7.819768
0.032	5.179934	16.92781	-0.8800695	0.06422517	-8.104442	-1.798905	4.55435	-8.505315
0.033	5.619387	11.66492	-0.6902258	-0.1642905	-7.095457	-1.155546	1.028178	-7.302971
0.034	3.703371	5.090704	-0.4230383	-0.006087327	-3.027879	-0.4629674	-0.06518154	-4.051018
0.035	-0.4556133	-1.722578	-0.1136633	0.5669595	3.767824	0.2050013	1.376225	0.955232
0.036	-5.961082	-7.04875	0.1429774	1.445866	11.80454	0.7499232	4.884818	6.696248
0.037	-12.11343	-10.88078	0.371493	2.549772	20.17876	1.062814	10.10201	12.51461
0.038	-18.431	-13.06398	0.5613367	3.80485	28.28579	1.017111	16.74654	17.89
0.039	-23.75718	-12.04797	0.6035242	4.905241	34.31509	0.5108607	23.75318	21.54273
0.04	-27.12514	-8.177265	0.483993	5.601335	37.01509	-0.3504674	29.81411	22.70289
0.041	-28.42241	-3.072578	0.2906336	5.893132	36.72329	-1.313749	34.26138	21.73609
0.042	-27.38179	3.209844	0.01993048	5.770085	33.49595	-2.178592	36.5395	18.83922
0.043	-23.77475	10.27625	-0.3175695	5.17946	27.30845	-2.825467	36.06138	14.1775
0.044	-18.3185	16.28445	-0.6339758	4.247819	19.35962	-3.169999	32.94654	8.608748
0.045	-12.06069	20.41531	-0.8730383	3.175553	11.03462	-3.243827	27.86646	3.015388
0.046	-5.602488	22.92547	-1.038273	2.082194	2.962746	-3.110233	21.37662	-2.201799
0.047	0.131496	22.85516	-1.073429	1.083756	-3.625535	-2.779764	14.31021	-6.25883
0.048	4.040871	19.8282	-0.978507	0.3525064	-7.323972	-2.273514	7.890678	-8.297893
0.049	5.858449	15.2825	-0.8132726	-0.06936858	-8.125535	-1.65828	3.021537	-8.347112
0.05	5.531496	9.576641	-0.5882726	-0.1713217	-6.12866	-0.9797643	0.2688028	-6.476799
0.051	2.803371	2.717657	-0.2824133	0.1204752	-1.038035	-0.269608	0.06138096	-2.556877
0.052	-1.900535	-3.698359	0.02696173	0.7989908	6.327199	0.3632045	2.251615	2.804451
0.053	-7.641551	-8.451484	0.2836024	1.758756	14.49751	0.8448451	6.343803	8.598201
0.054	-13.91343	-11.86867	0.5191492	2.922428	22.89634	1.073361	12.09537	14.37086
0.055	-20.06577	-13.13078	0.6914149	4.149382	30.53931	0.8729701	19.01412	19.33844
0.056	-24.79429	-10.96164	0.6843836	5.116179	35.48579	0.2050013	25.8274	22.17203
0.057	-27.4521	-6.531953	0.5296961	5.664616	37.09595	-0.7407018	31.40318	22.56226
0.058	-28.00757	-1.06164	0.2976649	5.808757	35.82681	-1.703983	35.17896	20.95562
0.059	-26.10913	5.603985	0.01289923	5.513444	31.55181	-2.519608	36.5395	17.42945
0.06	-21.77085	12.50516	-0.2964758	4.792741	24.5979	-3.075077	35.10161	12.35289
0.061	-15.956	17.86297	-0.5706945	3.797819	16.42056	-3.324686	31.26607	6.720857
0.062	-9.561082	21.45594	-0.7781164	2.700944	8.113136	-3.328202	25.67974	1.208357
0.063	-3.19077	23.26297	-0.9011632	1.607585	0.3471216	-3.138358	18.87349	-3.75219
0.064	2.022902	22.12391	-0.8906164	0.6689127	-5.376317	-2.755155	11.8774	-7.201018
0.065	5.201027	18.42195	-0.7640539	0.0255533	-8.037645	-2.224295	5.914897	-8.536955
0.066	6.311965	13.5282	-0.5917883	-0.3119467	-7.921628	-1.619608	1.720756	-7.94633
0.067	5.193996	7.361798	-0.3632726	-0.2978842	-4.884129	-0.9410924	-0.1776815	-5.379924
0.068	1.710012	0.407891	-0.06796015	0.131022	1.145168	-0.2344518	0.4797403	-0.8588305
0.069	-3.433348	-5.477265	0.2168055	0.9114908	8.904153	0.3702357	3.352006	4.74156
0.07	-9.392332	-9.727655	0.4664149	1.938053	17.16939	0.7850795	7.996147	10.55289
0.071	-15.74858	-12.61398	0.6773524	3.150944	25.49439	0.8940638	14.21529	16.18492
0.072	-21.58452	-12.78976	0.765243	4.346257	32.43774	0.574142	21.25005	20.57242
0.073	-25.67319	-9.657343	0.6738367	5.207585	36.24868	-0.1606237	27.73638	22.56226
0.074	-27.66655	-4.833906	0.483993	5.640007	36.88149	-1.106327	32.76021	22.23179
0.075	-27.43804	1.054766	0.2273524	5.664616	34.64204	-2.037967	35.80825	19.95367
0.076	-24.65014	8.01922	-0.09256952	5.232194	29.34399	-2.78328	36.24419	15.80172
0.077	-19.6896	14.54422	-0.4230383	4.416569	21.78189	-3.236795	33.91333	10.40172
0.078	-13.60757	19.25164	-0.6937414	3.404069	13.48853	-3.387967	29.41685	4.762654
0.079	-7.138816	22.33836	-0.8976476	2.31071	5.268996	-3.314139	23.35943	-0.619768
0.08	-1.011082	23.28055	-1.010148	1.248991	-2.004832	-3.053983	16.36685	-5.193596
0.081	3.580324	21.12547	-0.9714757	0.4157877	-6.743894	-2.611014	9.613334	-7.963909
0.082	6.072902	16.9243	-0.8238195	-0.09397795	-8.452489	-2.048514	4.185209	-8.624846
0.083	6.473684	11.64031	-0.6199133	-0.3049155	-7.411864	-1.426249	0.708256	-7.38383
0.084	4.526027	5.045	-0.3562414	-0.1431967	-3.312644	-0.7442174	-0.3288534	-4.096721
0.085	0.3459492	-1.775312	-0.06796015	0.4439127	3.500636	-0.06570178	1.147709	0.927107
0.086	-5.170066	-7.090937	0.1816492	1.347428	11.51275	0.4827357	4.680912	6.664607
0.087	-11.32241	-10.90539	0.4101649	2.475944	19.84126	0.799142	9.8981	12.4689
0.088	-17.62241	-13.06047	0.5929774	3.738054	27.91665	0.7639857	16.53208	17.82672
0.089	-22.94155	-12.03039	0.6281336	4.838444	33.92485	0.2893763	23.52818	21.46539
0.09	-26.31304	-8.152655	0.512118	5.5486	36.60728	-0.5403112	29.57505	22.61851
0.091	-27.61733	-3.016328	0.3187586	5.861491	36.30142	-1.496561	33.99068	21.63765
0.092	-26.57671	3.304766	0.04453985	5.745475	33.04595	-2.36492	36.20904	18.70914
0.093	-22.97319	10.38524	-0.2859289	5.158366	26.82681	-3.004764	35.65357	14.01226
0.094	-17.53452	16.3618	-0.5953039	4.233757	18.8604	-3.335233	32.47544	8.436482
0.095	-11.29429	20.46102	-0.8203039	3.172038	10.5354	-3.37742	27.36724	2.857185
0.096	-4.85366	22.95711	-0.9644445	2.068131	2.474075	-3.222733	20.86333	-2.352971
0.097	0.8697773	22.8657	-0.9855382	1.055631	-4.100145	-2.899295	13.78638	-6.424065
0.098	4.754543	19.82117	-0.8835851	0.3173502	-7.781004	-2.407108	7.384428	-8.473674
0.099	6.536965	15.25086	-0.7183508	-0.1010092	-8.557957	-1.812967	2.575053	-8.498284
0.1	6.178371	9.527423	-0.4968664	-0.1994467	-6.532957	-1.166092	-0.1038534	-6.589299
0.101	3.418605	2.657891	-0.2121008	0.1064127	-1.414207	-0.4699987	-0.2515097	-2.648284
0.102	-1.302879	-3.758125	0.06914923	0.7919595	5.968606	0.1874232	1.980912	2.709529
0.103	-7.04741	-8.504218	0.3082117	1.741178	14.14595	0.6725795	6.094193	8.513826
0.104	-13.33335	-11.90383	0.5332117	2.911881	22.53423	0.8870326	11.84576	14.30406
0.105	-19.49624	-13.12726	0.6843836	4.156413	30.15259	0.7042201	18.74693	19.26461
0.106	-24.23179	-10.94758	0.6773524	5.151335	35.08853	0.08547009	25.53208	22.07711
0.107	-26.90014	-6.531953	0.5367274	5.727897	36.70923	-0.8074987	31.07271	22.46383
0.108	-27.45913	-1.058125	0.3117274	5.893132	35.43306	-1.742655	34.82739	20.84664
0.109	-25.53257	5.639141	0.002352354	5.60485	31.12642	-2.544217	36.15982	17.29586
0.11	-21.17671	12.55789	-0.331632	4.884147	24.14439	-3.099686	34.68677	12.18414
0.111	-15.36186	17.90867	-0.6023351	3.892741	15.96353	-3.352811	30.80552	6.531013
0.112	-8.970457	21.48406	-0.7921789	2.785319	7.659621	-3.34578	25.18052	1.032576
0.113	-2.610691	23.26297	-0.9117101	1.681413	-0.08530111	-3.148905	18.36021	-3.892815
0.114	2.585402	22.08524	-0.922257	0.7427408	-5.770066	-2.765702	11.35708	-7.313518
0.115	5.742434	18.35867	-0.8167883	0.1099283	-8.406785	-2.238358	5.412162	-8.628362
0.116	6.835793	13.44734	-0.6445226	-0.2275717	-8.273192	-1.637186	1.277787	-8.006096
0.117	5.69673	7.270391	-0.4054601	-0.2275717	-5.20405	-0.9832799	-0.5468222	-5.386955
0.118	2.184621	0.323516	-0.1206945	0.187272	0.8498551	-0.3012487	0.1703653	-0.8342211
0.119	-2.979832	-5.554609	0.1324305	0.9712564	8.622902	0.2964076	3.084818	4.776716
0.12	-8.966941	-9.801484	0.3574305	2.018913	16.90572	0.7007045	7.750053	10.61265
0.121	-15.33725	-12.67023	0.568368	3.259928	25.23774	0.7815638	13.97974	16.26226
0.122	-21.14507	-12.78625	0.6562586	4.462272	32.16001	0.4194545	21.00747	20.63922
0.123	-25.19858	-9.622187	0.5613367	5.3236	35.96392	-0.3399205	27.46568	22.60797
0.124	-27.19897	-4.816328	0.3574305	5.763054	36.60728	-1.278592	32.45786	22.28453
0.125	-27.00561	1.068829	0.09024298	5.787663	34.36079	-2.192655	35.47427	20.01344
0.126	-24.23179	8.043829	-0.2331945	5.351725	29.07329	-2.934452	35.88208	15.85094
0.127	-19.27475	14.56531	-0.556632	4.515007	21.53579	-3.384452	33.53364	10.45094
0.128	-13.21382	19.25516	-0.8167883	3.481413	13.26353	-3.535624	29.01607	4.825935
0.129	-6.76616	22.32781	-1.013663	2.384538	5.043997	-3.475858	22.93404	-0.5424242
0.13	-0.6524883	23.24188	-1.119132	1.312272	-2.21577	-3.229764	15.93443	-5.095159
0.131	3.924855	21.05516	-1.087491	0.4544595	-6.926707	-2.786795	9.187943	-7.837346
0.132	6.392824	16.84695	-0.9574132	-0.08343108	-8.610691	-2.206717	3.802006	-8.487737
0.133	6.751418	11.54188	-0.7710851	-0.3013998	-7.541942	-1.559842	0.3953653	-7.236174
0.134	4.754543	4.928985	-0.5179601	-0.1467123	-3.39702	-0.8672643	-0.5608847	-3.938518
0.135	0.5498554	-1.870234	-0.2331945	0.412272	3.447903	-0.1887487	0.9648966	1.088826
0.136	-4.962645	-7.147187	0.01993048	1.280631	11.47759	0.3667201	4.508647	6.833357
0.137	-11.12202	-10.94758	0.2449305	2.384538	19.82368	0.686642	9.743412	12.6482
0.138	-17.46421	-13.09914	0.4171961	3.629069	27.89556	0.6479701	16.38443	17.99898
0.139	-22.80796	-12.04445	0.4382899	4.722429	33.88267	0.152267	23.36997	21.60953
0.14	-26.18647	-8.135077	0.3046961	5.415007	36.55103	-0.691483	29.4063	22.74508
0.141	-27.48725	-2.981171	0.08321173	5.696257	36.20298	-1.637186	33.80435	21.75719
0.142	-26.43257	3.353985	-0.2015539	5.545085	32.89126	-2.50203	35.99458	18.82164
0.143	-22.81499	10.41688	-0.5320226	4.943913	26.66157	-3.148905	35.42505	14.10719
0.144	-17.38686	16.37586	-0.837882	4.022819	18.72329	-3.486405	32.24693	8.517341
0.145	-11.1853	20.46102	-1.094523	2.957585	10.40884	-3.549686	27.13872	2.938045
0.146	-4.776316	22.92195	-1.273819	1.857194	2.36509	-3.40203	20.64537	-2.258049
0.147	0.9225117	22.80594	-1.319523	0.8552408	-4.184519	-3.078592	13.58599	-6.301018
0.148	4.779152	19.77547	-1.224601	0.1134439	-7.847801	-2.58992	7.205131	-8.326018
0.149	6.529934	15.20164	-1.059366	-0.3295248	-8.610692	-1.992264	2.423881	-8.329534
0.15	6.136184	9.443048	-0.8308508	-0.4420248	-6.55405	-1.324296	-0.2093222	-6.402971
0.151	3.341262	2.552422	-0.5320226	-0.1467123	-1.386082	-0.6106237	-0.2972128	-2.43383
0.152	-1.411863	-3.849531	-0.2402258	0.5423502	6.003761	0.03625134	1.980912	2.96617
0.153	-7.188035	-8.571015	0.002352354	1.512663	14.16001	0.5038295	6.122318	8.788045
0.154	-13.481	-11.95656	0.230868	2.693913	22.53423	0.7182826	11.88794	14.55719
0.155	-19.6228	-13.15891	0.3855555	3.952507	30.13149	0.546017	18.80669	19.47554
0.156	-24.33725	-10.93703	0.3609461	4.950944	35.02173	-0.07273303	25.60591	22.24234
0.157	-27.00561	-6.500312	0.2062586	5.523991	36.60024	-0.972733	31.15005	22.60445
0.158	-27.55757	-1.00539	-0.001163271	5.678679	35.30298	-1.918436	34.89419	20.9732
0.159	-25.60288	5.712969	-0.275382	5.386882	30.98579	-2.730545	36.23013	17.39781
0.16	-21.21889	12.63875	-0.584757	4.67321	23.9897	-3.271952	34.75357	12.27906
0.161	-15.40757	17.98602	-0.8484289	3.695866	15.79126	-3.511014	30.85474	6.643513
0.162	-9.04077	21.55086	-1.041788	2.606022	7.476809	-3.518045	25.20865	1.162654
0.163	-2.702098	23.29461	-1.161319	1.4986	-0.264598	-3.342264	18.39537	-3.755705
0.164	2.465871	22.07117	-1.140226	0.5564127	-5.921239	-2.973124	11.42037	-7.172893
0.165	5.612355	18.32	-1.006632	-0.07991545	-8.5228	-2.452811	5.493022	-8.47719
0.166	6.688137	13.39461	-0.8203039	-0.4209311	-8.354051	-1.85867	1.369193	-7.844377
0.167	5.503371	7.189532	-0.5742101	-0.4138998	-5.25327	-1.197733	-0.4378378	-5.211174
0.168	1.95259	0.2250785	-0.275382	0.0114908	0.8357935	-0.5051549	0.3039591	-0.647893
0.169	-3.225926	-5.635468	0.002352354	0.7849283	8.615871	0.08898572	3.239506	4.96656
0.17	-9.20952	-9.86828	0.2519617	1.815006	16.88462	0.4862513	7.932865	10.78492
0.171	-15.59038	-12.73	0.4734461	3.04196	25.20611	0.5846888	14.19068	16.41344
0.172	-21.40522	-12.80383	0.5753992	4.230241	32.10376	0.2507045	21.23599	20.75523
0.173	-25.44116	-9.583515	0.4945399	5.070475	35.85142	-0.4875768	27.68716	22.68883
