Interval=	0.001 s
ExcelDateTime=	4.5345483527614691e+004	2/23/2024 11:36:16.785909
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.5974623	0.492433	-5.881605	-4.508462	-0.08627832	32.73941	32.52417	-0.2552663
0.001	0.6009779	0.4889174	-5.881605	-4.508462	-0.08627832	32.7359	32.52066	-0.2587819
0.002	0.9455091	-0.3724108	1.163708	-0.8029937	-0.4308096	-8.632463	-12.46176	0.06817121
0.003	-3.487694	0.9389174	7.931286	2.529819	-1.003856	-46.27778	-46.23989	0.2755931
0.004	-9.657616	3.888527	10.41683	3.524741	-1.49956	-59.15903	-51.40083	0.2931712
0.005	-14.43183	6.813527	9.791052	2.913022	-1.815966	-57.12699	-47.89223	0.2474681
0.006	-18.07754	9.386964	7.024255	1.127084	-1.960106	-43.86606	-33.09848	0.1947337
0.007	-19.9373	11.16587	2.991833	-1.411197	-1.960106	-22.10434	-5.891061	0.2087962
0.008	-22.2541	12.8815	-1.926526	-4.515494	-1.89331	6.642928	28.90659	0.2404368
0.009	-27.51348	15.90493	-9.217933	-8.892447	-1.728075	51.05933	81.99605	0.1103587
0.01	-29.1623	17.84907	-18.78746	-14.18698	-1.239403	106.7433	NaN	-0.07948504
0.011	-23.83818	16.42911	-26.70114	-18.17834	-0.5326361	NaN	NaN	-0.2587934
0.012	-17.24639	13.367	-30.49098	-19.61975	-0.008807918	NaN	NaN	-0.5962934
0.013	-11.0167	9.81973	-30.42418	-18.77951	0.2724421	NaN	NaN	-0.9830121
0.014	-4.069822	5.636137	-26.57458	-16.01272	0.4025202	NaN	NaN	-1.049809
0.015	-0.185057	2.433402	-19.74723	-12.06115	0.2935358	113.1724	NaN	-0.7755902
0.016	0.1770533	1.030668	-12.29059	-8.011154	-0.001776668	70.93921	75.85508	-0.4345746
0.017	1.941897	-0.4669885	-4.317152	-3.690451	-0.3216985	23.57319	22.01328	-0.04082464
0.018	0.2227555	-0.4986291	3.810973	0.5599397	-0.7857611	-23.53969	-28	0.2580035
0.019	-6.05615	2.039652	8.820738	3.03494	-1.302558	-51.11274	-49.54727	0.2826129
0.02	-10.02177	4.41973	10.37816	3.692362	-1.608417	-59.8104	-50.34532	0.2580035
0.021	-12.43701	6.177543	10.23754	3.418143	-1.780683	-60.63305	-49.99375	0.2896441
0.022	-15.7874	8.248246	8.65902	2.268533	-1.917792	-54.14673	-44.64297	0.2826129
0.023	-18.86006	10.3295	5.470348	0.1450959	-1.981074	-37.45806	-24.61797	0.272066
0.024	-20.48779	11.80254	1.223473	-2.625217	-1.93537	-13.30571	4.987106	0.328316
0.025	-23.97881	13.89786	-4.30309	-6.137326	-1.836933	20.08218	44.89297	0.328316
0.026	-29.04834	16.95293	-12.68434	-11.07326	-1.576777	71.03413	104.3809	0.159566
0.027	-28.0042	17.74043	-22.21872	-16.23772	-0.9650579	NaN	NaN	-0.01269964
0.028	-21.51084	15.44473	-28.79645	-19.41936	-0.2865423	NaN	NaN	-0.2236371
0.029	-15.23896	12.21036	-31.19059	-20.03459	0.142364	NaN	NaN	-0.6068402
0.03	-8.703416	8.416996	-29.85817	-18.50881	0.3743952	NaN	NaN	-0.9267621
0.031	-2.09404	4.25098	-24.77458	-15.21819	0.4552546	NaN	NaN	-0.8669965
0.032	0.1805689	1.733793	-17.4234	-11.126	0.2794733	100.713	109.1656	-0.5400434
0.033	0.5918962	0.5209022	-9.868324	-7.047873	-0.03341729	56.95054	58.88164	-0.1814496
0.034	1.970022	-0.7728478	-1.65934	-2.635763	-0.3849798	8.318896	4.3332	0.1982379
0.035	-1.823337	0.2115272	5.691832	1.136502	-0.8982611	-33.67173	-37.97032	0.3951129
0.036	-7.831541	2.971293	9.393785	2.89783	-1.358808	-54.1186	-50.59844	0.3634722
0.037	-10.84795	5.041996	10.30785	3.186112	-1.611933	-59.94399	-50.13789	0.3458941
0.038	-13.46709	6.845512	9.773473	2.651737	-1.773652	-58.87524	-49.31524	0.3705035
0.039	-16.85615	8.961918	7.706285	1.199783	-1.896699	-49.24243	-39.44336	0.356441
0.04	-19.34873	10.81817	4.151988	-1.145138	-1.931855	-29.95571	-15.56875	0.3705035
0.041	-21.24365	12.32989	-0.3585586	-4.07717	-1.882636	-3.764307	16.1457	0.4302691
0.042	-26.02139	15.01934	-6.77809	-8.07092	-1.770136	35.55796	63.25508	0.356441
0.043	-29.70225	17.71934	-16.03473	-13.36545	-1.393964	90.91851	NaN	0.159566
0.044	-26.1374	17.30801	-25.00661	-18.06233	-0.7119329	NaN	NaN	-0.002152768
0.045	-19.32764	14.47793	-30.18161	-20.33694	-0.1072454	NaN	NaN	-0.2693403
0.046	-13.18232	11.09239	-31.27848	-20.15061	0.2302546	NaN	NaN	-0.684184
0.047	-6.235447	7.017777	-28.61715	-17.93225	0.4130671	NaN	NaN	-0.8986371
0.048	-0.550682	3.104887	-22.39801	-14.1635	0.4025202	NaN	NaN	-0.7052777
0.049	0.3071314	1.255668	-14.75153	-10.001	0.1318171	86.02124	91.9707	-0.3607465
0.05	1.108694	0.06035528	-7.048793	-5.85256	-0.1845892	40.8103	40.44218	0.004878482
0.051	1.214162	-0.6708947	1.163707	-1.507248	-0.5713079	-7.325632	-12.48555	0.3494097
0.052	-4.094431	1.199418	7.382848	1.607596	-1.084589	-42.37642	-44.90313	0.4443316
0.053	-9.086619	3.815043	9.949254	2.788846	-1.460761	-56.73423	-50.69336	0.4021441
0.054	-11.57568	5.65723	10.3641	2.816971	-1.675214	-60.18305	-50.07461	0.412691
0.055	-14.55342	7.576762	9.362145	1.99783	-1.836933	-56.67095	-47.57852	0.4197222
0.056	-17.83701	9.679105	6.781676	0.2224397	-1.931855	-43.71235	-32.79883	0.4056597
0.057	-19.8831	11.33496	2.903941	-2.326388	-1.928339	-22.0104	-5.865628	0.4373004
0.058	-22.54795	13.12793	-2.063637	-5.525607	-1.865058	7.559521	29.61406	0.468941
0.059	-27.86006	16.17598	-9.537855	-10.03967	-1.685761	53.40679	84.11679	0.3458941
0.06	-29.196	17.98301	-19.18473	-15.39748	-1.179511	109.4423	NaN	0.1841754
0.061	-23.79599	16.48536	-27.05622	-19.37365	-0.4834173	NaN	NaN	0.01894098
0.062	-17.27802	13.42676	-30.79684	-20.78342	0.02283271	NaN	NaN	-0.346684
0.063	-11.06592	9.883012	-30.69137	-19.91155	0.2935358	NaN	NaN	-0.7650434
0.064	-3.964353	5.639652	-26.782	-17.10959	0.4165827	NaN	NaN	-0.8459027
0.065	0.2086939	2.289262	-19.76833	-13.05256	0.3040827	114.54	NaN	-0.5646527
