Interval=	0.001 s
ExcelDateTime=	4.5345553597441205e+004	2/23/2024 13:17:10.81892
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-3.417235	-0.7087991	-0.04574679	0.4788859	0.5529738	-0.4002137	-1.317709	0.5775602
0.001	-3.417235	-0.7087991	-0.04574679	0.4824015	0.5529738	-0.4037293	-1.314193	0.5775602
0.002	1.979249	1.748623	0.5413626	-0.1679891	-0.8989794	-0.4810731	-8.18724	-2.899393
0.003	8.697608	4.251748	1.286675	-1.022286	-2.575933	-0.4177918	-17.65482	-6.840408
0.004	14.62144	5.781044	1.9898	-1.820333	-3.866167	-0.2033387	-27.08372	-9.867362
0.005	19.0687	6.051748	2.576909	-2.488302	-4.548198	0.1376769	-35.19075	-11.65682
0.006	21.39956	5.134169	2.935503	-2.962911	-4.576323	0.5700988	-40.49935	-11.96971
0.007	21.67026	3.425576	3.051519	-3.247677	-4.105229	1.023614	-42.77747	-10.9783
0.008	19.59956	0.8591697	2.886284	-3.240645	-3.043511	1.505255	-41.93372	-8.563065
0.009	15.33159	-2.283799	2.4398	-2.860958	-1.49312	1.979864	-38.0138	-4.959549
0.01	9.797999	-5.282627	1.810503	-2.196505	0.1908644	2.345489	-31.62591	-0.8990023
0.011	3.621926	-7.890353	1.08592	-1.355726	1.881973	2.527773	-23.309	3.175911
0.012	-2.780027	-9.982149	0.3370923	-0.4029915	3.464004	2.471523	-13.73596	6.898957
0.013	-8.109714	-10.81184	-0.3203296	0.4583366	4.476504	2.109414	-4.714863	9.328254
0.014	-11.36167	-10.18606	-0.7632983	1.052477	4.715566	1.508242	2.045683	9.968098
0.015	-12.49018	-8.628634	-0.9496264	1.340759	4.364004	0.8508203	6.046465	9.127864
0.016	-11.24565	-6.283712	-0.8652514	1.312634	3.467519	0.2601953	6.770683	6.923567
0.017	-7.445261	-3.225118	-0.4996264	0.9434929	2.029629	-0.1792578	3.690996	3.478254
0.018	-1.848387	-0.07511795	0.0839673	0.3177116	0.3315821	-0.4077734	-2.609004	-0.5365895
0.019	4.472707	2.617851	0.7624829	-0.4522102	-1.341855	-0.4394141	-10.91643	-4.463543
0.02	10.89575	4.769413	1.493733	-1.278382	-2.885215	-0.3128516	-20.37697	-8.045964
0.021	16.49966	5.964726	2.189827	-2.044788	-4.013731	-0.0632422	-29.65822	-10.76354
0.022	20.23325	5.79246	2.696077	-2.64596	-4.446152	0.2988672	-36.8969	-12.0362
0.023	21.90318	4.600663	2.970295	-3.06432	-4.291465	0.7242578	-41.2176	-11.90964
0.024	21.43911	2.621366	3.005452	-3.26471	-3.619981	1.184805	-42.5008	-10.44362
0.025	18.58091	-0.1876179	2.745295	-3.141663	-2.375449	1.666445	-40.6094	-7.553777
0.026	13.77857	-3.344649	2.221467	-2.652991	-0.7582617	2.116445	-35.75783	-3.704168
0.027	7.977786	-6.213399	1.549983	-1.911195	0.9151758	2.429336	-28.65979	0.3669261
0.028	1.639113	-8.695431	0.8222486	-1.011195	2.588613	2.53832	-19.80041	4.378254
0.029	-4.551902	-10.43918	0.08748293	-0.06197587	4.019473	2.373086	-10.13244	7.770832
0.03	-9.227683	-10.74504	-0.5136889	0.7184929	4.768301	1.909023	-1.698457	9.598957
0.031	-11.76948	-9.757149	-0.8757983	1.224743	4.803457	1.265664	4.183183	9.700911
0.032	-12.16675	-7.950118	-0.9812671	1.432165	4.293691	0.6047266	7.17498	8.417707
0.033	-10.06089	-5.334493	-0.8054858	1.298571	3.210879	0.04222655	6.658183	5.780989
0.034	-5.52573	-2.159884	-0.3519702	0.8239616	1.660488	-0.3304297	2.404277	2.050911
0.035	0.3945821	0.8600383	0.2773267	0.1243523	-0.01646479	-0.4710547	-4.644551	-2.002605
0.036	6.785988	3.380741	0.9839673	-0.6631477	-1.612559	-0.4358984	-13.38439	-5.859246
0.037	13.07193	5.293241	1.711702	-1.471741	-3.036387	-0.2671484	-22.95393	-9.255339
0.038	18.14849	6.020976	2.34803	-2.185413	-3.936387	0.02464843	-31.73244	-11.5405
0.039	21.17896	5.426835	2.783967	-2.709241	-4.136777	0.4183984	-38.07815	-12.32448
0.04	22.15982	3.971366	2.973811	-3.046741	-3.795762	0.8613672	-41.46018	-11.76901
0.041	20.90122	1.700273	2.882405	-3.145179	-2.91334	1.339492	-41.73088	-9.835418
0.042	17.28365	-1.319649	2.509749	-2.909632	-1.489512	1.824648	-38.79885	-6.565886
0.043	12.05591	-4.423946	1.922639	-2.347132	0.1839258	2.239492	-33.12463	-2.607293
0.044	6.058254	-7.155587	1.215999	-1.570179	1.881973	2.485586	-25.36916	1.467317
0.045	-0.3507304	-9.475899	0.4742017	-0.6455696	3.548379	2.496133	-16.02463	5.390754
0.046	-6.179637	-10.79426	-0.2324389	0.2614616	4.821035	2.207852	-6.535957	8.372004
0.047	-10.13823	-10.59387	-0.7527514	0.9399773	5.313223	1.659414	1.12459	9.620051
0.048	-11.95229	-9.28254	-1.019939	1.316149	5.133926	1.001992	6.13084	9.250911
0.049	-11.53745	-7.20129	-1.019939	1.393493	4.416738	0.3621484	8.067949	7.514192
0.05	-8.542136	-4.336056	-0.7281421	1.129821	3.144082	-0.1476172	6.285527	4.445051
0.051	-3.409324	-1.150899	-0.1902514	0.5638054	1.523379	-0.4534766	0.9874804	0.5356761
0.052	2.732473	1.675663	0.4742017	-0.1674446	-0.1149023	-0.5378516	-6.676582	-3.454558
0.053	9.166067	4.003007	1.19842	-0.9690071	-1.654746	-0.4464453	-15.78557	-7.191668
0.054	15.19185	5.585038	1.926155	-1.760023	-2.920371	-0.2144141	-25.29533	-10.29596
0.055	19.62505	5.838163	2.51678	-2.406898	-3.556699	0.1406641	-33.36369	-12.07839
0.056	21.9524	4.895976	2.882405	-2.860413	-3.53209	0.5801172	-38.72502	-12.37721
0.057	22.20904	3.162773	3.012483	-3.117054	-2.994199	1.054727	-41.11213	-11.36471
0.058	20.12779	0.5963664	2.864827	-3.081898	-1.90084	1.55043	-40.31057	-8.94948
0.059	15.84224	-2.543087	2.432405	-2.695179	-0.3363867	2.046133	-36.30276	-5.352996
0.06	10.29458	-5.552462	1.796077	-2.034241	1.365176	2.439883	-29.78479	-1.310027
0.061	4.12466	-8.171603	1.075374	-1.179945	3.077285	2.629727	-21.38596	2.732942
0.062	-2.249168	-10.25285	0.3370923	-0.2272102	4.68041	2.566445	-11.73557	6.417317
0.063	-7.564792	-11.06848	-0.3238452	0.6200554	5.699941	2.197305	-2.626582	8.804426
0.064	-10.81323	-10.41457	-0.7527514	1.186071	5.91791	1.58207	4.232402	9.423176
0.065	-11.92065	-8.83254	-0.9215014	1.449743	5.52416	0.9105859	8.32459	8.582942
0.066	-10.65503	-6.47004	-0.8090014	1.397009	4.592519	0.2953516	9.126152	6.389192
0.067	-6.826512	-3.40793	-0.4152514	1.01029	3.144082	-0.1687109	6.116777	2.954426
0.068	-1.21909	-0.2860554	0.1859204	0.3669304	1.463613	-0.4077734	-0.09884777	-1.035808
0.069	5.098488	2.382304	0.8820142	-0.3994759	-0.1570898	-0.4394141	-8.290254	-4.945183
0.07	11.5145	4.523319	1.61678	-1.218616	-1.640684	-0.3128516	-17.62424	-8.517058
0.071	17.1149	5.701054	2.305842	-1.985023	-2.741074	-0.05972657	-26.8176	-11.22409
0.072	20.82036	5.507694	2.812092	-2.575648	-3.162949	0.2953516	-34.09494	-12.48971
0.073	22.45865	4.291288	3.086311	-2.958851	-2.983652	0.7137109	-38.59846	-12.34909
0.074	21.98404	2.301445	3.107405	-3.099476	-2.301621	1.177773	-40.08557	-10.88659
0.075	19.1188	-0.5075398	2.843733	-2.916663	-1.046543	1.666445	-38.25744	-8.017839
0.076	14.30943	-3.664571	2.333967	-2.413929	0.5882227	2.116445	-33.32151	-4.182293
0.077	8.501614	-6.543868	1.665999	-1.682679	2.289785	2.439883	-26.06525	-0.1041676
0.078	2.159426	-9.036446	0.9312329	-0.7967415	3.980801	2.531289	-17.04064	3.907161
0.079	-4.028074	-10.77317	0.1999829	0.145446	5.425723	2.330898	-7.291817	7.285676
0.08	-8.686277	-11.03332	-0.4011889	0.9188835	6.149941	1.842227	1.177324	9.103254
0.081	-11.21753	-9.971603	-0.7668139	1.389977	6.111269	1.195352	7.108183	9.205207
0.082	-11.61128	-8.108321	-0.8582202	1.558727	5.499551	0.5238672	10.14568	7.904426
0.083	-9.505417	-5.475118	-0.6648608	1.397009	4.34291	-0.0491797	9.653496	5.239582
0.084	-4.973777	-2.314571	-0.1867358	0.8942741	2.760879	-0.4394141	5.424199	1.509504
0.085	0.9570821	0.6807414	0.4671704	0.173571	1.08041	-0.5976172	-1.582442	-2.519402
0.086	7.348489	3.183866	1.170295	-0.6350227	-0.5227148	-0.5589453	-10.24846	-6.36198
0.087	13.63443	5.071757	1.894514	-1.450648	-1.943027	-0.3901953	-19.71252	-9.740496
0.088	18.71802	5.806522	2.537874	-2.160804	-2.821934	-0.09488282	-28.42072	-12.01511
0.089	21.74497	5.215897	2.984358	-2.67057	-3.004746	0.3094141	-34.84026	-12.778
0.09	22.68716	3.742851	3.198811	-2.972913	-2.667246	0.7699609	-38.44729	-12.19089
0.091	21.39693	1.450663	3.124983	-3.004554	-1.805918	1.258633	-38.91135	-10.24675
0.092	17.77583	-1.579805	2.755842	-2.695179	-0.4031835	1.757852	-35.99338	-6.984246
0.093	12.54107	-4.694649	2.175764	-2.101038	1.256191	2.183242	-30.20666	-3.008074
0.094	6.515285	-7.447384	1.469124	-1.32057	2.950723	2.432852	-22.3176	1.073567
0.095	0.07817588	-9.771212	0.7097486	-0.3994759	4.610098	2.457461	-12.8676	4.979426
0.096	-5.75073	-11.05442	-0.007438946	0.4934929	5.837051	2.172695	-3.305098	7.929036
0.097	-9.709324	-10.79426	-0.5488452	1.150915	6.248379	1.610195	4.38709	9.141926
0.098	-11.53393	-9.430196	-0.8476733	1.495446	5.984707	0.9351953	9.386308	8.744661
0.099	-11.13315	-7.320821	-0.8757983	1.530602	5.204238	0.2812891	11.33045	6.990364
0.1	-8.158933	-4.462618	-0.6050952	1.245837	3.889394	-0.2460547	9.597246	3.924739
0.101	-3.029637	-1.29504	-0.08829832	0.6727898	2.230019	-0.5448828	4.351933	0.01536369
0.102	3.133254	1.538554	0.5620923	-0.07603837	0.5425196	-0.6116797	-3.234785	-3.981902
0.103	9.591458	3.865897	1.272249	-0.8846321	-1.025449	-0.5202734	-12.22424	-7.719011
0.104	15.61372	5.430351	1.978889	-1.675648	-2.301621	-0.3058203	-21.60393	-10.7987
0.105	20.03638	5.686991	2.551936	-2.322523	-2.952012	0.0492578	-29.6758	-12.57057
0.106	22.37075	4.758866	2.907014	-2.754945	-2.959043	0.4922266	-35.24455	-12.87995
0.107	22.62388	3.029179	3.019514	-2.969398	-2.449277	0.9668359	-37.93401	-11.86393
0.108	20.51802	0.4522258	2.836702	-2.892054	-1.373496	1.466055	-37.3258	-9.420574
0.109	16.2149	-2.694259	2.376155	-2.484241	0.1593165	1.951211	-33.36018	-5.785418
0.11	10.64966	-5.700118	1.732795	-1.819788	1.825723	2.323867	-26.80705	-1.714324
0.111	4.451613	-8.319259	1.001545	-0.9865852	3.513223	2.499648	-18.36955	2.349739
0.112	-1.946824	-10.38293	0.2492017	-0.051429	5.077676	2.42582	-8.712129	6.058723
0.113	-7.26948	-11.14934	-0.3976733	0.7817741	6.040957	2.035586	0.3863085	8.480989
0.114	-10.51089	-10.4216	-0.8300952	1.337243	6.188613	1.409805	7.196074	9.099739
0.115	-11.62534	-8.779806	-1.012908	1.593884	5.724551	0.7242578	11.21795	8.227864
0.116	-10.37378	-6.399728	-0.9215014	1.530602	4.743691	0.1055078	11.97029	6.016536
0.117	-6.552293	-3.362227	-0.5488452	1.136852	3.277676	-0.3480078	8.932793	2.578254
0.118	-0.9519022	-0.2614461	0.03123293	0.4794304	1.590176	-0.5835547	2.724199	-1.433074
0.119	5.355129	2.396366	0.7167798	-0.2975227	-0.04107417	-0.6151953	-5.439082	-5.370574
0.12	11.7606	4.530351	1.451545	-1.109632	-1.528184	-0.4921484	-14.74494	-8.963543
0.121	17.3645	5.694022	2.151155	-1.861976	-2.618027	-0.2390234	-23.93127	-11.68464
0.122	21.077	5.486601	2.678499	-2.442054	-3.018809	0.1441797	-31.26487	-12.96081
0.123	22.69419	4.256132	2.970295	-2.800648	-2.832481	0.5976953	-35.92307	-12.83425
0.124	22.18091	2.241679	2.99842	-2.909632	-2.136387	1.079336	-37.56838	-11.37878
0.125	19.277	-0.5919148	2.727717	-2.698695	-0.867246	1.564492	-35.78244	-8.513543
0.126	14.43599	-3.763009	2.203889	-2.167835	0.7745508	2.007461	-30.80432	-4.677996
0.127	8.607083	-6.642306	1.532405	-1.426038	2.490176	2.31332	-23.51291	-0.5963551
0.128	2.257863	-9.124337	0.7906079	-0.5330696	4.198769	2.415273	-14.48127	3.404426
0.129	-3.936668	-10.83645	0.04529543	0.4020866	5.626113	2.239492	-4.707832	6.789973
0.13	-8.601902	-11.04738	-0.5664233	1.143884	6.304629	1.754336	3.79998	8.611067
0.131	-11.1226	-9.929415	-0.9320483	1.586852	6.209707	1.089883	9.744902	8.691926
0.132	-11.49175	-8.023946	-1.019939	1.727477	5.555801	0.4078516	12.75428	7.380598
0.133	-9.357761	-5.376681	-0.8336108	1.544665	4.378066	-0.1722266	12.22693	4.736848
0.134	-4.808543	-2.223165	-0.3730639	1.04193	2.781973	-0.5378516	7.969512	1.027864
0.135	1.118801	0.7651164	0.2632642	0.3247429	1.08041	-0.6714453	0.9312304	-2.979949
0.136	7.513723	3.264726	0.9699048	-0.4768196	-0.5367773	-0.6327734	-7.794551	-6.801433
0.137	13.79615	5.156132	1.70467	-1.306507	-1.964121	-0.4640234	-17.33947	-10.1694
0.138	18.85513	5.876835	2.34803	-2.030726	-2.85709	-0.1687109	-26.11096	-12.42995
0.139	21.86099	5.282694	2.780452	-2.540491	-3.064512	0.2320703	-32.61838	-13.18581
0.14	22.81724	3.802616	2.980842	-2.832288	-2.734043	0.7066797	-36.36955	-12.60221
0.141	21.53755	1.513945	2.921077	-2.863929	-1.851621	1.216445	-36.96369	-10.65104
0.142	17.88482	-1.516524	2.569514	-2.55807	-0.4383398	1.71918	-34.09143	-7.367449
0.143	12.6149	-4.624337	1.989436	-1.960413	1.203457	2.134023	-28.31174	-3.384246
0.144	6.578567	-7.363009	1.289827	-1.176429	2.873379	2.383633	-20.47893	0.6973949
0.145	0.1379415	-9.67629	0.5445142	-0.2553352	4.515176	2.408242	-11.11682	4.613801
0.146	-5.69448	-10.94543	-0.1797046	0.6270866	5.724551	2.137539	-1.614082	7.570442
0.147	-9.656589	-10.64309	-0.7386889	1.273962	6.111269	1.589102	6.067558	8.783332
0.148	-11.47768	-9.233321	-1.037517	1.600915	5.791348	0.9387109	11.05271	8.393098
0.149	-11.05229	-7.102853	-1.058611	1.62904	4.947598	0.3164453	12.93357	6.645832
0.15	-8.042917	-4.241134	-0.7773608	1.340759	3.604629	-0.1827734	11.11248	3.583723
0.151	-2.889012	-1.073555	-0.2570483	0.7501335	1.941738	-0.4710547	5.779277	-0.3151051
0.152	3.270363	1.745976	0.4003736	-0.005725873	0.2683008	-0.5448828	-1.905879	-4.298308
0.153	9.707473	4.066288	1.117561	-0.8178352	-1.296152	-0.4534766	-10.99025	-8.024871
0.154	15.71568	5.627226	1.834749	-1.612366	-2.589902	-0.2179297	-20.47893	-11.10807
0.155	20.11372	5.855741	2.411311	-2.269788	-3.243809	0.1441797	-28.62463	-12.87292
0.156	22.40943	4.89246	2.762874	-2.698695	-3.233262	0.5871484	-34.23205	-13.16471
0.157	22.652	3.134648	2.882405	-2.906116	-2.702402	1.058242	-36.97072	-12.1487
0.158	20.56021	0.5541789	2.727717	-2.818226	-1.626621	1.55043	-36.39065	-9.73698
0.159	16.27115	-2.581759	2.29178	-2.399866	-0.08326167	2.03207	-32.43557	-6.13698
0.16	10.7024	-5.587618	1.662483	-1.735413	1.607754	2.401211	-25.90354	-2.076433
0.161	4.490285	-8.206759	0.9382642	-0.9092415	3.316348	2.587539	-17.47307	1.998176
0.162	-1.89409	-10.27395	0.1964673	0.02943038	4.894863	2.524258	-7.805098	5.707161
0.163	-7.171043	-11.01926	-0.4644702	0.8696648	5.865176	2.141055	1.282793	8.115364
0.164	-10.37378	-10.25988	-0.8968921	1.414587	5.998769	1.508242	8.092558	8.737629
0.165	-11.45659	-8.586446	-1.065642	1.639587	5.506582	0.8156641	12.10037	7.886848
0.166	-10.16987	-6.185274	-0.9742358	1.558727	4.494082	0.2039453	12.7824	5.693098
0.167	-6.330808	-3.133712	-0.6191577	1.157946	2.996426	-0.2425391	9.657012	2.268879
