Interval=	0.001 s
ExcelDateTime=	4.5345667294825733e+004	2/23/2024 16:00:54.272943
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.0572507	0.1755095	0.6584999	0.2050166	0.1833941	0.1441469	0.1867487	-0.0338671
0.001	0.0572507	0.1755095	0.6584999	0.2050166	0.1833941	0.1441469	0.1867487	-0.0338671
0.002	0.06779757	0.1473845	-0.5368126	0.1557978	0.1798784	0.1757875	0.165655	0.5848829
0.003	0.0853757	0.105197	-3.159469	0.07845406	0.1763628	0.2144594	0.1515925	1.400508
0.004	0.1029538	0.0735564	-6.791109	0.01165718	0.1798784	0.2390688	0.1410456	2.068477
0.005	0.1099851	0.05246265	-10.66181	-0.01998344	0.1763628	0.2496157	0.1340143	2.409492
0.006	0.1135007	0.0454314	-14.25127	-0.01998344	0.1798784	0.2531313	0.1269831	2.497383
0.007	0.1170163	0.05246265	-17.2958	-0.005920941	0.1833941	0.2461	0.1340143	2.384883
0.008	0.1064694	0.06652515	-19.17666	0.02923531	0.1833941	0.2285219	0.1515925	1.931367
0.009	0.08889132	0.09113452	-19.61963	0.07845406	0.1869097	0.1968813	0.1586237	1.288008
0.01	0.07834445	0.1192595	-18.85673	0.1382197	0.1798784	0.1652407	0.1551081	0.6446486
0.011	0.06076182	0.1509085	-16.84541	0.2190827	0.1798782	0.1265674	0.1656589	-0.06565332
0.012	0.0431837	0.1860647	-13.62509	0.2893952	0.1833938	0.09492679	0.183237	-0.789872
0.013	0.03263682	0.2106741	-9.870408	0.3140046	0.1833938	0.07383304	0.1937839	-1.253935
0.014	0.02560557	0.2247366	-6.098143	0.3175202	0.1798782	0.05977054	0.1972995	-1.492997
0.015	0.02208995	0.2247366	-2.455954	0.3175202	0.1798782	0.05977054	0.1972995	-1.591435
0.016	0.02560557	0.2106741	0.2616231	0.2893952	0.1833938	0.07734867	0.1762058	-1.285575
0.017	0.03615245	0.1860647	1.277639	0.2436921	0.1833938	0.1160205	0.126987	-0.5859658
0.018	0.05021495	0.1544241	0.8206083	0.1944734	0.1939407	0.1511768	0.1023777	0.1382529
0.019	0.06779307	0.1192678	-0.8915019	0.1347077	0.2044876	0.1898487	0.1340183	0.8589561
0.02	0.08888682	0.08059596	-3.907908	0.07494211	0.1869095	0.2320362	0.1656589	1.64294
0.021	0.1064649	0.05247096	-7.729392	0.05384836	0.1693313	0.2531299	0.1762058	2.215987
0.022	0.1170118	0.04192409	-11.56494	0.04681711	0.172847	0.2566455	0.1586277	2.448018
0.023	0.1170118	0.03840846	-15.05596	0.04681711	0.1798782	0.2496143	0.1375339	2.479659
0.024	0.1099806	0.04895534	-17.79814	0.06791086	0.1833938	0.2320362	0.1410495	2.258175
0.025	0.09240245	0.07356471	-19.16572	0.1206452	0.1869095	0.2003955	0.1656589	1.709737
0.026	0.0853712	0.09817409	-19.14814	0.1663484	0.1763626	0.1757862	0.1726902	1.055831
0.027	0.07482432	0.1262991	-17.97392	0.197989	0.1693313	0.1441455	0.1691745	0.3984092
0.028	0.0572462	0.164971	-15.52705	0.2366609	0.1798782	0.1054737	0.1691745	-0.3398721
0.029	0.03966807	0.2001272	-12.05713	0.2718171	0.1904251	0.07031742	0.1797214	-1.00081
0.03	0.0291212	0.2106741	-8.298923	0.2893952	0.1904251	0.05625492	0.1902683	-1.362919
0.031	0.02560557	0.2141897	-4.554783	0.3140046	0.1869095	0.04922367	0.1902683	-1.552763
0.032	0.02208995	0.2071585	-1.123533	0.3280671	0.1833938	0.06328617	0.1867527	-1.545731
0.033	0.03263682	0.1895803	1.035061	0.2858796	0.1869095	0.09492679	0.1902683	-1.067606
0.034	0.0431837	0.164971	1.478029	0.2085359	0.1833938	0.1371143	0.183237	-0.3222939
0.035	0.0572462	0.1403616	0.5674825	0.1311921	0.1833938	0.1757862	0.1726902	0.3808311
0.036	0.07833995	0.1052053	-1.605173	0.04681711	0.1869095	0.2074268	0.1515964	1.129659
0.037	0.0994337	0.07004909	-4.980174	-0.009432892	0.1833938	0.2355518	0.1375339	1.874972
0.038	0.1170118	0.04895534	-8.871971	-0.03052664	0.1833938	0.2566455	0.126987	2.332003
0.039	0.1205274	0.03840846	-12.58447	-0.01997977	0.1833938	0.270708	0.1164402	2.469112
0.04	0.1205274	0.03137721	-15.85752	0.02220773	0.1869095	0.2777393	0.1164402	2.433956
0.041	0.1099806	0.04543971	-18.18135	0.09252023	0.1904251	0.2636768	0.126987	2.103487
0.042	0.0994337	0.07708034	-19.07783	0.1487702	0.1869095	0.2285205	0.1340183	1.491769
0.043	0.08888682	0.108721	-18.69111	0.1804109	0.1833938	0.1898487	0.1410495	0.8448936
0.044	0.07482432	0.136846	-17.08799	0.2190827	0.1869095	0.1441455	0.1480808	0.1698936
0.045	0.0572462	0.1684866	-14.20166	0.2472077	0.1869095	0.09492679	0.155112	-0.5754189
0.046	0.04669932	0.1895803	-10.54541	0.2647859	0.1798782	0.05977054	0.155112	-1.14495
0.047	0.03966807	0.2036428	-6.794236	0.2683015	0.172847	0.04922367	0.1515964	-1.433231
0.048	0.03615245	0.2071585	-3.088767	0.2718171	0.1693313	0.04922367	0.155112	-1.587919
0.049	0.03615245	0.2036428	0.02959185	0.2647859	0.1763626	0.07383304	0.1656589	-1.433231
0.05	0.04669932	0.1825491	1.601076	0.2401765	0.1798782	0.1230518	0.1726902	-0.8250283
0.051	0.06427745	0.1544241	1.548343	0.2050202	0.1798782	0.1617237	0.1621433	-0.08674707
0.052	0.07833995	0.1192678	0.21592	0.1487702	0.1763626	0.1933643	0.1375339	0.6128623
0.053	0.09591807	0.08411159	-2.424314	0.08900461	0.172847	0.2285205	0.1094089	1.3863
0.054	0.1134962	0.05247096	-6.105173	0.05384836	0.172847	0.2601612	0.09183078	2.075362
0.055	0.1240431	0.03840846	-10.01103	0.05033273	0.172847	0.270708	0.09183078	2.412862
0.056	0.1240431	0.03489284	-13.61103	0.05736398	0.1833938	0.270708	0.1164402	2.483175
0.057	0.1205274	0.04192409	-16.65205	0.06439523	0.1904251	0.2601612	0.1410495	2.360128
0.058	0.1134962	0.05598659	-18.52588	0.07845773	0.1833938	0.2355518	0.1340183	1.906612
0.059	0.1029493	0.08059596	-18.94072	0.1065827	0.1763626	0.2074268	0.1129245	1.256222
0.06	0.09240245	0.1052053	-18.12861	0.1558015	0.172847	0.1722705	0.1058933	0.6093467
0.061	0.0713087	0.1403616	-16.07549	0.2296296	0.1763626	0.130083	0.126987	-0.09729394
0.062	0.05373057	0.1720022	-12.87627	0.2788484	0.1763626	0.101958	0.1586277	-0.8109658
0.063	0.04669932	0.193096	-9.167282	0.2893952	0.1763626	0.08789554	0.1691745	-1.267997
0.064	0.0431837	0.2036428	-5.412596	0.2858796	0.172847	0.08437992	0.1586277	-1.496513
0.065	0.0431837	0.2071585	-1.791502	0.2718171	0.1693313	0.09141117	0.1445652	-1.591435
0.066	0.05021495	0.193096	0.8627958	0.226114	0.1658157	0.1125049	0.1375339	-1.264481
0.067	0.06427745	0.1720022	1.815529	0.1733796	0.172847	0.1476612	0.1480808	-0.5543252
0.068	0.08185557	0.1509085	1.305764	0.1452546	0.1869095	0.1793018	0.1586277	0.1628623
0.069	0.09240245	0.1122366	-0.4590792	0.1030671	0.1869095	0.2109424	0.1410495	0.8800498
0.07	0.1134962	0.07708034	-3.531736	0.05736398	0.1798782	0.242583	0.1164402	1.653487
0.071	0.1310743	0.05598659	-7.402439	0.04681711	0.1763626	0.2566455	0.1023777	2.226534
0.072	0.1345899	0.04192409	-11.24853	0.06087961	0.172847	0.2460987	0.09886203	2.465597
0.073	0.1381056	0.03489284	-14.73252	0.06439523	0.1693313	0.2355518	0.1023777	2.490206
0.074	0.1310743	0.04543971	-17.48174	0.06087961	0.1658157	0.214458	0.1023777	2.265206
0.075	0.1205274	0.06653346	-18.87744	0.07845773	0.1693313	0.1828174	0.1058933	1.716769
0.076	0.1099806	0.08762721	-18.88799	0.09955148	0.1798782	0.1511768	0.1129245	1.062862
0.077	0.0994337	0.1157522	-17.73838	0.1241609	0.1798782	0.1195362	0.1199558	0.4019248
0.078	0.07833995	0.1473928	-15.31611	0.1628327	0.1763626	0.09492679	0.1305027	-0.3363564
0.079	0.06076182	0.1790335	-11.8708	0.2015046	0.172847	0.07734867	0.1480808	-0.9797158
0.08	0.05373057	0.1966116	-8.133689	0.2331452	0.172847	0.06680179	0.155112	-1.33831
0.081	0.05021495	0.2106741	-4.414157	0.2647859	0.1833938	0.06328617	0.1375339	-1.545731
0.082	0.04669932	0.2141897	-1.011033	0.2788484	0.1904251	0.08086429	0.1023777	-1.5387
0.083	0.05373057	0.193096	1.122951	0.2577546	0.1939407	0.1230518	0.09886203	-1.053544
0.084	0.06779307	0.1614553	1.537796	0.2155671	0.1939407	0.1511768	0.1410495	-0.3117471
0.085	0.0853712	0.1333303	0.6131856	0.1663484	0.1763626	0.1722705	0.1797214	0.3843467
0.086	0.1064649	0.1016897	-1.591111	0.1065827	0.1623001	0.2074268	0.1762058	1.140206
