Interval=	0.001 s
ExcelDateTime=	4.5345515040647384e+004	2/23/2024 12:21:39.511934
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-2.27741	7.324995	0.08258868	-0.04882554	0.006660032	0.06854165	11.55943	-10.05611
0.001	-2.27741	7.32148	0.08258868	-0.04882554	0.006660032	0.06854165	11.56295	-10.05611
0.002	-8.542254	-0.9085985	-1.03538	2.085159	-0.9636525	0.04041665	1.842245	-6.470177
0.003	-15.65085	-7.630474	-2.276396	4.563674	-2.359356	-0.04747397	-9.636271	-2.856114
0.004	-20.51647	-7.943364	-3.095536	6.296877	-3.828887	-0.188099	-18.02807	-1.056114
0.005	-23.09343	-3.812505	-3.485771	7.221487	-5.119121	-0.3638802	-22.964	-0.8451767
0.006	-23.23054	3.52812	-3.422489	7.319924	-6.022637	-0.5502083	-24.17338	-2.04752
0.007	-20.63249	14.47578	-2.895146	6.539456	-6.504277	-0.7013802	-21.17807	-4.680723
0.008	-15.46804	27.63828	-1.967021	4.887112	-6.451543	-0.7857552	-13.99213	-8.46002
0.009	-8.879754	39.75664	-0.8103801	2.700393	-5.822246	-0.7998177	-4.127286	-12.58736
0.01	-1.802801	49.625	0.4025106	0.3414088	-4.771074	-0.7611458	6.897714	-16.5319
0.011	5.11947	56.69035	1.580195	-1.968479	-3.441206	-0.6836372	18.02243	-19.9865
0.012	10.62142	58.85949	2.525898	-3.870432	-1.961128	-0.5746528	27.39508	-22.28924
0.013	13.8101	56.17707	3.053242	-5.06926	-0.6181588	-0.4516059	33.53336	-23.06619
0.014	14.68197	50.3341	3.169257	-5.526291	0.3591849	-0.3250434	36.24391	-22.46854
0.015	13.03314	41.11613	2.84582	-5.157151	0.9462943	-0.2125434	35.10133	-20.44002
0.016	8.761658	29.01887	2.047773	-3.884494	1.06231	-0.1246528	29.71891	-17.0369
0.017	2.742908	17.07278	0.93332	-1.961448	0.5947318	-0.06137157	21.18297	-12.92361
0.018	-4.087952	7.19387	-0.3006644	0.2709743	-0.3966745	-0.03676217	11.09664	-8.722442
0.019	-11.28444	-1.145193	-1.555742	2.665115	-1.651753	-0.08246532	0.1103163	-4.725177
0.02	-17.65475	-6.270974	-2.613946	4.911599	-3.001753	-0.1949653	-10.42601	-1.708771
0.021	-21.82428	-5.486989	-3.278399	6.458474	-4.390424	-0.3707465	-18.04789	-0.418536
0.022	-23.56451	-0.1994894	-3.531524	7.129959	-5.554096	-0.5605903	-21.80961	-0.7349424
0.023	-22.82272	8.350511	-3.359258	6.950662	-6.302924	-0.7223091	-21.69359	-2.450567
0.024	-19.29654	20.37395	-2.701836	5.850271	-6.615815	-0.8383246	-17.21117	-5.544317
0.025	-13.5274	33.4802	-1.671758	3.969412	-6.376752	-0.9086371	-8.92484	-9.531036
0.026	-6.724671	44.76184	-0.47293	1.705349	-5.589252	-0.9297309	1.411098	-13.62322
0.027	0.3663451	53.80051	0.7610544	-0.6641819	-4.446674	-0.8945746	12.57321	-17.45174
0.028	6.954626	59.43254	1.914179	-2.882541	-3.047456	-0.8207466	23.33454	-20.62635
0.029	11.73588	59.77004	2.747382	-4.566526	-1.560346	-0.7187934	31.72282	-22.45096
0.03	14.16517	55.87121	3.148164	-5.51926	-0.3052682	-0.6027778	36.71852	-22.76385
0.031	14.24955	48.94192	3.130586	-5.726682	0.5490287	-0.4937934	38.21969	-21.70213
0.032	11.69369	38.53215	2.645429	-5.06926	0.9990287	-0.4094184	35.6568	-19.17791
0.033	6.712048	26.13254	1.727851	-3.557541	0.9287162	-0.3496528	29.04743	-15.43025
0.034	0.3628295	14.68567	0.5712106	-1.493869	0.2853568	-0.3144966	19.82243	-11.2326
0.035	-6.622717	4.680198	-0.6768362	0.8686306	-0.7306588	-0.3004341	9.138441	-7.056036
0.036	-13.68912	-3.166677	-1.900274	3.326052	-1.996284	-0.3461372	-2.153746	-3.269708
0.037	-19.41959	-5.785818	-2.853008	5.365115	-3.472846	-0.4762153	-11.82523	-0.7806456
0.038	-22.75944	-3.019021	-3.373321	6.595584	-4.861518	-0.6590278	-18.03734	-0.04236431
0.039	-23.69459	3.129807	-3.464727	6.996365	-5.891596	-0.8523871	-20.5932	-0.784161
0.04	-22.02115	12.82942	-3.109649	6.535818	-6.517377	-1.017622	-19.12718	-2.949786
0.041	-17.58795	25.5841	-2.304571	5.161209	-6.661518	-1.130122	-13.26312	-6.423224
0.042	-11.31256	38.18762	-1.20418	3.146756	-6.218549	-1.165278	-4.136559	-10.5119
0.043	-4.344592	48.62199	0.001679358	0.8545681	-5.279877	-1.133637	6.522816	-14.53729
0.044	2.70072	56.76418	1.21457	-1.493869	-4.021284	-1.049262	17.72711	-18.22166
0.045	8.814392	60.66301	2.276289	-3.568088	-2.551753	-0.9297309	27.89782	-20.999
0.046	12.81869	59.20402	2.961836	-4.988401	-1.106831	-0.7961372	35.13297	-22.28221
0.047	14.49916	54.23645	3.204414	-5.677463	0.01816928	-0.6695747	38.93688	-22.12049
0.048	13.77142	46.19973	3.004023	-5.596604	0.7353568	-0.5430121	39.13375	-20.58065
0.049	10.33666	34.7177	2.329023	-4.615744	1.009576	-0.4305122	35.07321	-17.57479
0.05	4.743298	22.20559	1.284883	-2.850901	0.7248099	-0.3461372	27.27907	-13.58807
0.051	-1.873108	11.24035	0.08956998	-0.6501194	-0.06972134	-0.2934028	17.41071	-9.376349
0.052	-8.978186	1.702464	-1.151446	1.768631	-1.163081	-0.2934028	6.347035	-5.270099
0.053	-15.79147	-4.84363	-2.311602	4.15574	-2.502534	-0.3742622	-4.765855	-1.803692
0.054	-20.79772	-5.617068	-3.134258	5.976834	-3.982612	-0.5078559	-13.52328	0.1228703
0.055	-23.33248	-1.598708	-3.492852	6.957693	-5.265815	-0.6730903	-18.60687	0.3443544
0.056	-23.45201	5.668089	-3.426055	7.105349	-6.158784	-0.8383247	-19.9639	-0.8544737
0.057	-20.85045	16.47512	-2.909258	6.353006	-6.636909	-0.9719184	-17.11976	-3.466583
0.058	-15.68248	29.4091	-1.981133	4.728787	-6.580659	-1.052778	-10.10609	-7.231817
0.059	-9.076624	41.32356	-0.8315237	2.587771	-5.933784	-1.073872	-0.4135119	-11.35565
0.06	-1.992639	51.04426	0.3883981	0.2780056	-4.858002	-1.038715	10.46383	-15.31424
0.061	4.915564	57.91379	1.583711	-2.000119	-3.486909	-0.9543403	21.45368	-18.79119
0.062	10.42455	59.82277	2.539961	-3.877463	-1.954096	-0.8383247	30.69274	-21.11854
0.063	13.6308	56.91184	3.077851	-5.037619	-0.5689401	-0.722309	36.67985	-21.91307
0.064	14.51674	50.91067	3.18332	-5.459494	0.4294974	-0.5957466	39.24274	-21.32244
0.065	12.88549	41.52395	2.838789	-5.058713	1.048247	-0.4586372	37.95602	-19.29744
0.066	8.638611	29.19113	2.033711	-3.750901	1.206451	-0.3496528	32.39079	-15.90135
0.067	2.616345	17.33645	0.9122263	-1.796213	0.7212943	-0.2723091	23.73883	-11.79158
0.068	-4.21803	7.464573	-0.332305	0.4573025	-0.2876901	-0.2441841	13.59274	-7.593927
0.069	-11.36881	-1.770974	-1.569805	2.932302	-1.426753	-0.2652778	2.272425	-3.593145
0.07	-17.67936	-7.301052	-2.624493	5.245584	-2.727534	-0.3496528	-8.597887	-0.5767393
0.071	-21.83131	-6.285036	-3.288946	6.806521	-4.165424	-0.4902778	-16.33226	0.7205263
0.072	-23.57154	-1.134646	-3.51043	7.499099	-5.332612	-0.666059	-20.26273	0.4357609
0.073	-22.80162	7.155198	-3.288946	7.354959	-6.088471	-0.8242622	-20.37171	-1.258771
0.074	-19.22272	18.97473	-2.599883	6.303787	-6.401362	-0.9332465	-16.08617	-4.366583
0.075	-13.40436	31.88059	-1.559258	4.482693	-6.134174	-0.9719184	-7.975621	-8.363849
0.076	-6.587561	42.94777	-0.3744925	2.274881	-5.311518	-0.9508246	2.159926	-12.449
0.077	0.5069701	51.76145	0.848945	-0.03488503	-4.130268	-0.8840278	13.09352	-16.28807
0.078	7.112829	57.20363	2.005586	-2.221604	-2.713471	-0.7680121	23.66149	-19.4908
0.079	11.92572	57.38996	2.849336	-3.895041	-1.226362	-0.6168403	31.8986	-21.34002
0.08	14.36205	53.31535	3.260664	-4.837229	0.03223178	-0.4586372	36.73258	-21.65994
0.081	14.44642	46.16809	3.243086	-5.002463	0.9181693	-0.3180122	38.03688	-20.60877
0.082	11.90463	35.55793	2.757929	-4.285276	1.389263	-0.1809028	35.25602	-18.11971
0.083	6.926501	22.95793	1.83332	-2.720823	1.318951	-0.06840282	28.42516	-14.42127
0.084	0.5597045	11.27551	0.680195	-0.6219944	0.6791068	-0.008637169	18.96813	-10.24822
0.085	-6.439905	1.048557	-0.5467581	1.772146	-0.3228463	0.01245655	8.052113	-6.085724
0.086	-13.5028	-6.956521	-1.76668	4.257693	-1.567378	-0.0226997	-3.436949	-2.334552
0.087	-19.20162	-9.684646	-2.740508	6.321365	-3.026362	-0.131684	-13.30179	0.1263859
0.088	-22.50631	-7.009255	-3.28543	7.555349	-4.411518	-0.2898872	-19.68617	0.8470888
0.089	-23.41334	-0.96238	-3.380352	7.963162	-5.434565	-0.4516059	-22.40375	0.08068256
0.09	-21.70826	8.571995	-3.018243	7.506131	-6.039252	-0.581684	-21.12757	-2.109552
0.091	-17.25045	21.15793	-2.206133	6.145584	-6.158784	-0.6625434	-15.46742	-5.611114
0.092	-10.95045	33.64895	-1.095196	4.138162	-5.684174	-0.6766059	-6.527184	-9.724396
0.093	-3.964905	43.92863	0.1282419	1.856521	-4.706831	-0.6273871	3.938832	-13.77791
0.094	3.119079	51.85637	1.355195	-0.4743382	-3.413081	-0.5500434	14.9111	-17.49744
0.095	9.274939	55.60402	2.420429	-2.534494	-1.911909	-0.4480903	24.87086	-20.32049
0.096	13.29681	54.06418	3.105976	-3.954807	-0.438862	-0.3144965	31.92321	-21.65994
0.097	14.96674	48.93137	3.359101	-4.633323	0.6931693	-0.1703559	35.52321	-21.55799
0.098	14.239	40.68371	3.186836	-4.520823	1.434966	-0.04027782	35.4775	-20.06736
0.099	10.83236	29.11379	2.546992	-3.501291	1.740826	0.08276908	31.21657	-17.11424
0.1	5.28822	16.59114	1.538008	-1.718869	1.484185	0.1812066	23.30289	-13.17322
0.101	-1.296546	5.50637	0.3567575	0.4819118	0.714263	0.2339409	13.29391	-8.986114
0.102	-8.398108	-4.179177	-0.894805	2.935818	-0.3615182	0.233941	2.040394	-4.890411
0.103	-15.18326	-10.70769	-2.058477	5.333474	-1.708003	0.1601128	-9.216637	-1.455646
0.104	-20.14381	-11.3616	-2.888164	7.115896	-3.205659	0.0194878	-18.03031	0.4216982
0.105	-22.66451	-7.322146	-3.264336	8.047537	-4.495893	-0.1492622	-23.14203	0.6045109
0.106	-22.76295	-0.1326925	-3.194024	8.14949	-5.388862	-0.3039497	-24.55882	-0.6189268
0.107	-20.11217	10.63918	-2.66668	7.347927	-5.852924	-0.4199653	-21.80257	-3.255646
0.108	-14.89498	23.59778	-1.728008	5.695584	-5.779096	-0.4762153	-14.85921	-7.052521
0.109	-8.264514	35.48059	-0.5678519	3.544021	-5.121674	-0.4726997	-5.229918	-11.19744
0.11	-1.173499	45.08879	0.6555856	1.227224	-4.038862	-0.4199653	5.534926	-15.16307
0.111	5.748767	51.94074	1.861445	-1.061448	-2.667768	-0.3144965	16.40524	-18.66463
0.112	11.28236	53.89192	2.835273	-2.942307	-1.149018	-0.1668403	25.54938	-21.01307
0.113	14.51674	50.97043	3.387226	-4.116526	0.2291068	0.001909679	31.45563	-21.81815
0.114	15.45541	44.95168	3.517304	-4.555979	1.224029	0.1601128	33.92711	-21.24861
0.115	13.88392	35.51926	3.204414	-4.172776	1.846294	0.3077691	32.5525	-19.2658
0.116	9.651111	23.28489	2.420429	-2.879026	1.965826	0.4273003	26.96266	-15.90486
