Interval=	0.001 s
ExcelDateTime=	4.5340487344744688e+004	2/18/2024 11:41:46.585941
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-1.42939	-1.7441	0.6851744	-10.33352	-0.5047527	2.833023	-3.615388	1.502138
0.001	-1.42939	-1.754647	0.6851744	-10.3511	-0.5012371	2.833023	-3.608356	1.502138
0.002	2.427251	1.971915	-1.424201	-29.35657	1.291732	-7.010727	16.82094	-5.515049
0.003	5.598344	12.96176	-3.182013	-31.68391	1.956185	-17.89159	31.69907	-10.567
0.004	7.254204	24.65473	-4.117169	-29.63782	1.681966	-25.97752	35.96	-11.86778
0.005	8.027641	35.95746	-4.626935	-30.65383	0.9753254	-31.15252	35.2393	-10.96427
0.006	7.496782	48.81059	-4.521466	-18.01516	-0.6594402	-32.81893	28.4436	-7.43458
0.007	5.774126	60.71449	-3.818341	16.6489	-2.902409	-31.90135	15.57992	-1.770909
0.008	3.091704	70.46684	-2.570294	64.76726	-5.377409	-29.0783	-1.562263	5.182998
0.009	-1.309859	83.56254	-0.3343569	NaN	-8.959831	-23.07362	-25.29273	14.18651
0.01	-7.606343	96.81293	2.956268	NaN	-13.55124	-12.66737	-56.68375	25.36972
0.011	-13.65185	96.94267	6.084654	NaN	-16.65301	-0.1810585	-85.58499	35.08897
0.012	-17.65967	84.38838	8.151842	NaN	-17.31395	11.11464	-102.7623	40.3624
0.013	-19.46318	67.39384	9.206529	NaN	-16.43856	19.78066	-107.8319	41.24482
0.014	-18.69678	46.54267	9.062389	NaN	-13.97059	24.41425	-100.2346	37.59561
0.015	-15.25498	24.74931	7.596373	NaN	-10.1034	23.83769	-79.91077	29.54482
0.016	-10.50888	10.45478	5.38856	97.02673	-6.355746	18.9791	-53.3432	19.51123
0.017	-5.393651	2.463763	2.822154	30.50759	-3.029965	11.00566	-25.55921	9.305371
0.018	-0.1624009	-1.287409	0.03777945	-17.4385	0.1340976	0.381441	2.316179	-0.5489259
0.019	3.898146	5.023138	-2.187611	-32.38342	1.775894	-10.79121	23.38884	-7.748926
0.02	6.359084	17.09579	-3.541127	-30.04553	1.902457	-20.56817	33.55602	-11.16963
0.021	7.779396	28.30009	-4.360268	-30.46741	1.55441	-27.94746	36.31227	-11.83057
0.022	8.099319	40.22158	-4.666127	-28.74827	0.5419101	-31.93067	33.59821	-10.02002
0.023	7.114943	53.21533	-4.332143	-8.382253	-1.367074	-32.6127	24.54899	-5.643067
0.024	5.086427	64.09267	-3.439174	31.67829	-3.662777	-31.05528	10.11032	0.502246
0.025	1.961037	74.43564	-1.895815	84.70798	-6.408481	-27.3709	-8.849446	7.997558
0.026	-3.196385	89.01494	0.80067	NaN	-10.54989	-19.79121	-35.81781	17.9749
0.027	-9.707323	98.94658	4.214342	NaN	-14.92684	-8.172075	-67.99281	29.21436
0.028	-15.15303	93.55009	6.991685	NaN	-17.11707	4.202926	-93.33695	37.54287
0.029	-18.40146	78.58408	8.65106	NaN	-17.13114	14.61621	-105.9405	41.18154
0.03	-19.39287	60.58759	9.336607	NaN	-15.78114	22.01308	-106.7385	40.55225
0.031	-17.65967	38.91376	8.76356	NaN	-12.78934	24.90644	-94.64476	35.321
0.032	-13.62373	19.18759	6.998717	NaN	-8.85184	22.7373	-71.51898	26.321
0.033	-8.824901	8.04306	4.724107	75.46189	-5.406527	16.91191	-44.83538	16.29443
0.034	-3.604198	0.5969662	2.052232	12.73611	-2.024496	7.996286	-16.79124	6.102637
0.035	1.482912	-0.8057682	-0.6829238	-25.7635	0.8969882	-3.20098	10.18415	-3.30166
0.036	5.026661	8.489544	-2.648158	-32.17249	1.937613	-14.1627	27.88884	-9.309863
0.037	7.086818	20.81533	-3.81183	-29.64124	1.811051	-23.3209	35.12399	-11.69697
0.038	8.152053	32.22704	-4.45519	-30.97366	1.241519	-29.63848	35.90798	-11.50713
