Interval=	0.001 s
ExcelDateTime=	4.5345584177452802e+004	2/23/2024 14:01:12.931922
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.2886784	1.521339	-0.5120232	0.3819669	-0.01158628	0.2269278	0.704156	0.3054362
0.001	-0.2886784	1.521339	-0.5120232	0.3819669	-0.01158628	0.2269278	0.704156	0.3054362
0.002	5.378509	-1.990771	0.7887581	0.2483731	2.357945	0.7191153	0.3631404	-2.668783
0.003	10.78906	-5.274364	2.061414	0.1429044	4.446226	1.299193	0.05024976	-5.273861
0.004	13.61562	-6.90913	2.757508	0.1042325	5.261851	1.7281	-0.1009221	-6.293392
0.005	14.42421	-7.264208	2.975477	0.1112638	5.128257	2.033959	-0.1255315	-6.114095
0.006	12.81054	-6.079443	2.630946	0.1639981	3.929429	2.199193	0.001031014	-4.546126
0.007	8.806243	-3.382958	1.706336	0.2659513	1.689976	2.171068	0.2752498	-1.638704
0.008	3.244525	0.2592295	0.3774299	0.4065763	-1.140102	1.942553	0.6443904	2.021061
0.009	-3.136335	4.404151	-1.144836	0.5893888	-4.145961	1.548803	1.076812	5.916374
0.01	-9.953132	8.868995	-2.737414	0.82142	-7.134243	1.007397	1.530328	9.780046
0.011	-16.05137	12.81245	-4.139828	1.03229	-9.544832	0.3919738	1.916926	12.83006
0.012	-20.09785	15.30855	-5.043344	1.137758	-10.85616	-0.1705262	2.141926	14.36639
0.013	-21.82051	16.2437	-5.377328	1.141274	-11.08468	-0.5888855	2.191145	14.48592
0.014	-21.08926	15.5687	-5.148813	1.070961	-10.2585	-0.8209168	2.08216	13.26249
0.015	-17.62989	13.11831	-4.333188	0.9197896	-8.310847	-0.8138855	1.818488	10.62225
0.016	-12.03653	9.339016	-3.064047	0.7018208	-5.593269	-0.574823	1.435285	7.046861
0.017	-5.479886	5.042922	-1.576938	0.4627583	-2.640144	-0.1670105	0.9993476	3.232408
0.018	1.308786	0.7257349	-0.03709399	0.2623677	0.291887	0.3357238	0.5845039	-0.4906391
0.019	7.513864	-3.116843	1.404312	0.1358052	2.8372	0.8771301	0.2329414	-3.686342
0.02	11.97168	-5.785203	2.466031	0.06197705	4.464934	1.390411	-0.01666797	-5.693764
0.021	14.2498	-7.047312	3.028531	0.01627393	5.027434	1.794708	-0.1326836	-6.351186
0.022	14.3166	-6.906687	3.074234	0.01627393	4.573918	2.061896	-0.1115898	-5.732436
0.023	11.86269	-5.184031	2.532828	0.07955518	3.012981	2.163849	0.05364453	-3.686342
