Interval=	0.001 s
ExcelDateTime=	4.5345644015531681e+004	2/23/2024 15:27:22.941938
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	4.666494	-1.745494	0.8323667	0.3649954	-0.3740278	0.3759556	-6.678458	-0.4248447
0.001	4.662978	-1.752525	0.8323667	0.3685111	-0.3705122	0.3759556	-6.674943	-0.4213291
0.002	1.010244	2.336147	0.7339292	1.852105	2.224019	-0.1232632	12.07389	-0.9803135
0.003	-1.570225	9.585365	0.5405698	3.114214	2.730269	-1.054904	30.67506	-3.251407
0.004	-1.672178	18.27599	0.2839292	3.571245	0.3537066	-2.106076	41.79849	-6.819767
0.005	0.6832904	28.61544	-0.02193017	3.275933	-4.554106	-3.076388	45.52857	-11.29164
0.006	5.401259	38.68771	-0.2996645	2.242339	-11.51153	-3.779513	40.33951	-16.0307
0.007	11.40243	46.10568	-0.4859927	0.7271048	-19.07012	-4.141623	27.56373	-20.17914
0.008	17.89579	50.90099	-0.5844302	-1.079926	-26.4459	-4.247091	9.173495	-23.40297
0.009	24.20985	52.66232	-0.5844302	-2.992426	-32.90762	-4.152169	-12.86947	-25.43149
0.01	29.12118	49.8006	-0.4578677	-4.693989	-37.00333	-3.849826	-35.22182	-25.65297
0.011	31.9077	43.46615	-0.2396358	-5.948077	-38.19497	-3.367399	-54.24581	-24.11175
0.012	32.6038	35.59467	0.00294233	-6.714483	-36.92935	-2.766227	-67.43643	-21.31331
0.013	30.97606	25.95131	0.2736455	-6.928936	-33.03052	-2.042009	-72.96651	-17.34065
0.014	27.0245	15.61889	0.5338017	-6.426202	-26.69185	-1.247477	-70.54776	-12.59807
0.015	21.59989	7.353652	0.7201298	-5.202765	-19.31607	-0.5021649	-61.06963	-8.062918
0.016	15.46864	1.609123	0.8537236	-3.444952	-11.89458	0.09900699	-45.38643	-4.244949
0.017	9.073717	-1.888924	0.9416142	-1.356671	-4.771925	0.436507	-24.67237	-1.369168
0.018	3.483873	-0.9713476	0.9029423	0.6823915	0.568309	0.2923664	-1.915727	-0.2933865
0.019	-0.2145638	4.625529	0.7341923	2.243329	2.76909	-0.3756024	18.6788	-1.453543
