Interval=	0.001 s
ExcelDateTime=	4.5345497058262648e+004	2/23/2024 11:55:45.833893
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.16083	0.4651019	-0.9365051	0.06316618	5.614545	3.196806	4.927315	-0.6993227
0.001	0.16083	0.4686175	-0.9329895	0.06316618	5.614545	3.196806	4.927315	-0.7028383
0.002	0.1678613	-0.7020856	6.136932	0.04207243	-23.49483	-8.253584	-23.1344	6.317865
0.003	0.1502831	-1.232945	11.39279	0.2424631	-48.65967	-19.27155	-44.28441	14.21396
0.004	0.1291894	-1.169664	11.93771	0.4498849	-56.45381	-24.53093	-47.59964	19.26943
0.005	0.1186425	-3.250914	10.81974	0.5623849	-57.14991	-27.12194	-45.11761	22.35966
0.006	0.1116113	-7.779039	8.365838	0.6959787	-52.43194	-27.31882	-37.668	23.67099
0.007	0.1080956	-13.83294	4.368573	0.8260568	-40.98506	-24.65046	-24.13987	23.02411
0.008	0.1080956	-20.04505	-0.4232238	0.9139475	-25.00655	-19.85515	-7.366826	20.68974
0.009	0.09754875	-23.97201	-6.19588	1.058088	-4.531549	-12.79226	13.59333	16.75927
0.01	0.076455	-23.37435	-14.2326	1.247932	25.22119	-1.605537	43.93669	10.34326
0.011	0.06240516	-19.80168	-22.39316	1.251246	58.19328	11.65602	75.43915	2.019801
0.012	0.07295204	-16.78176	-26.84394	1.064918	80.84445	22.0482	94.13172	-5.654808
0.013	0.09404579	-15.63566	-26.97753	0.8469494	89.38742	27.67672	98.12196	-10.92825
0.014	0.1116239	-14.85168	-23.73613	0.6008556	85.01046	28.39391	89.43485	-13.2134
0.015	0.129202	-12.16574	-18.06191	0.3828869	68.72609	24.28414	69.76141	-12.30637
0.016	0.1327177	-6.938009	-11.87792	0.2914806	46.7464	17.41461	46.50555	-9.036839
0.017	0.1362333	-1.643477	-5.978704	0.2106213	23.7296	9.360313	23.53798	-4.413793
0.018	0.1502958	-0.04738369	1.277546	0.06999632	-5.095008	-1.576797	-5.167104	2.051442
0.019	0.1538114	-0.6028524	8.287702	0.1262463	-35.26258	-13.78656	-33.11281	9.912379
0.02	0.1327177	-0.2301962	11.32169	0.3512463	-52.49266	-22.09398	-45.82531	16.49011
0.021	0.1186552	-0.9016806	11.15294	0.5059338	-57.2493	-26.21078	-46.69718	20.68074
0.022	0.1151395	-4.069259	9.630671	0.6184338	-56.22274	-27.98266	-42.78078	23.06433
0.023	0.1116239	-9.191524	6.572077	0.7520275	-48.97001	-27.05805	-32.94054	23.6198
0.024	0.1081083	-15.54426	2.145905	0.8645276	-35.29071	-23.3807	-17.67921	22.23113
0.025	0.1045927	-21.47863	-2.818157	0.9489025	-18.14852	-17.91391	-0.1538206	19.33426
0.026	0.09053016	-24.22434	-9.170891	1.121168	4.724133	-9.687343	23.21805	14.6866
0.027	0.06943641	-22.38215	-17.61191	1.27234	36.70226	2.624375	55.32274	7.476051
0.028	0.06592079	-18.60637	-24.85058	1.191481	67.49913	15.44234	83.71141	-0.9438706
0.029	0.07646766	-16.22629	-27.75097	0.9770275	85.33742	24.30875	97.1868	-7.954027
0.03	0.09404579	-15.45988	-26.62245	0.7555432	89.45421	28.33062	96.85282	-12.28528
0.031	0.1116239	-13.69504	-22.82558	0.5481213	82.29288	27.93336	85.91571	-13.74426
0.032	0.1186552	-9.103634	-17.60488	0.3899181	66.59562	23.91852	67.71883	-12.59817
0.033	0.1221708	-2.923165	-12.18027	0.3090588	47.01359	17.86109	47.34579	-9.599339
0.034	0.129202	1.552226	-6.344329	0.1824963	24.48195	9.98961	24.59266	-5.13098
0.035	0.1502958	1.084648	1.66778	0.006715018	-6.859851	-1.868594	-7.118274	1.728004
0.036	0.1538114	-1.741915	9.219343	0.09109007	-38.99618	-14.93617	-37.00812	10.15847
0.037	0.129202	-2.561056	11.93692	0.3582775	-55.05204	-23.05375	-48.31085	16.86629
0.038	0.1151395	-3.34504	11.21973	0.5235119	-57.68524	-26.52016	-47.03117	20.82136
0.039	0.1116239	-6.727071	9.219343	0.6465588	-54.82001	-27.60648	-41.27257	22.85691
0.04	0.1081083	-12.22199	5.724812	0.7836681	-45.70047	-25.95766	-29.71671	22.99051
0.041	0.1045927	-18.49035	1.115827	0.87859	-30.95946	-21.80219	-13.72413	21.26082
0.042	0.09756141	-23.45441	-4.15761	0.9946057	-12.53055	-15.71664	5.175865	17.99832
0.043	0.07295204	-24.35793	-11.43847	1.198512	13.94562	-6.01	32.41141	12.54558
0.044	0.05888954	-21.21848	-20.0166	1.275856	47.34406	7.068125	65.28954	4.667067
0.045	0.06240516	-17.53762	-25.9791	1.121168	74.42492	18.80328	89.13954	-3.485668
0.046	0.07998329	-15.83957	-27.52245	0.906715	87.69992	26.09469	97.94266	-9.676683
0.047	0.09756141	-15.2384	-25.3498	0.6746838	87.76671	28.54508	93.59032	-13.04465
0.048	0.1151395	-13.28723	-20.31191	0.4356213	75.07531	25.95055	77.08797	-13.19231
0.049	0.1256864	-8.783712	-14.05058	0.2985119	54.05187	19.69273	54.0536	-10.55911
0.05	0.1221708	-3.313399	-8.014251	0.2246838	31.07374	11.91617	30.82235	-6.273558
0.051	0.1327177	-0.7821493	-0.9900321	0.0805432	3.398742	1.604844	3.073521	-0.23723
0.052	0.1397489	-1.045821	6.572077	0.07702752	-28.22079	-10.91781	-27.02023	7.588551
0.053	0.1221708	-0.3567587	10.68887	0.287965	-49.31454	-20.43461	-43.8214	14.71824
0.054	0.1116239	-0.04386806	11.15294	0.4602307	-56.62704	-25.4268	-46.94679	19.50301
0.055	0.1081083	-2.469649	10.12286	0.5586681	-57.4743	-27.97563	-44.82335	22.45261
0.056	0.1045927	-7.201681	7.707624	0.6922619	-52.82665	-28.13734	-37.48624	23.71472
0.057	0.101077	-13.44895	3.752546	0.8188244	-41.52743	-25.4725	-24.14445	23.05027
0.058	0.101077	-19.82629	-1.000579	0.9031993	-25.71415	-20.7018	-7.54718	20.71941
0.059	0.09053016	-23.76379	-6.776751	1.04734	-5.218054	-13.6143	13.44813	16.76785
0.06	0.06592079	-23.14504	-14.82402	1.233668	24.6296	-2.381875	43.88993	10.31316
0.061	0.05537391	-19.5802	-22.99433	1.223121	57.7046	10.94586	75.49188	1.938942
0.062	0.06592079	-16.57082	-27.45214	1.029762	80.45773	21.41539	94.27235	-5.795433
0.063	0.08349891	-15.45285	-27.53652	0.8153088	89.03234	27.08258	98.26258	-11.10051
0.064	0.101077	-14.37356	-24.5166	0.6008556	85.61163	28.21109	90.74618	-13.55442
