Interval=	0.001 s
ExcelDateTime=	4.5345554456688718e+004	2/23/2024 13:18:25.057905
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	2.595822	1.565936	0.0823804	-0.1823106	-0.1451822	0.1894027	-0.7335606	-0.9113322
0.001	2.599338	1.565936	0.0823804	-0.1823106	-0.1486978	0.1894027	-0.7370762	-0.9113322
0.002	-1.601834	-1.228985	-0.3254321	0.29933	1.55638	0.5866683	3.977377	2.382808
0.003	-7.525662	-4.340314	-0.9512133	1.121986	3.683333	0.9698714	11.91566	6.503121
0.004	-13.77644	-6.889142	-1.615666	2.106361	5.704818	1.13159	21.68206	10.33867
0.005	-20.05535	-8.81922	-2.301213	3.164564	7.494271	1.005028	32.51371	13.66445
0.006	-24.93504	-9.279767	-2.881292	4.064565	8.450521	0.5479964	42.12191	15.49257
0.007	-27.69832	-8.358673	-3.250432	4.658705	8.468099	-0.1094254	48.97386	15.6121
0.008	-28.31004	-6.600861	-3.373479	4.915346	7.786067	-0.8020036	52.63714	14.36757
0.009	-26.44324	-4.059064	-3.23637	4.792299	6.464193	-1.39966	52.42621	11.82578
0.01	-22.10144	-0.9090635	-2.84262	4.282533	4.614974	-1.818019	48.02816	8.229293
0.011	-16.2537	2.171025	-2.279553	3.511769	2.57853	-2.021527	40.40024	4.304105
0.012	-9.872839	4.779618	-1.63971	2.625832	0.6027484	-2.042621	30.81313	0.5740271
0.013	-3.516589	6.839775	-0.9752566	1.694191	-1.197252	-1.905511	20.15376	-2.709567
0.014	1.73927	7.781962	-0.3740847	0.8469255	-2.420689	-1.627777	10.10962	-4.92441
0.015	4.987708	7.360087	0.03724344	0.2246599	-2.807408	-1.241058	2.582666	-5.68027
0.016	6.175989	6.013603	0.2235716	-0.1620589	-2.512095	-0.7769957	-1.706398	-5.121285
0.017	5.13888	3.8304	0.1743528	-0.2780745	-1.555845	-0.2672301	-2.486867	-3.247457
0.018	1.728724	0.835087	-0.1279909	-0.007371354	0.07540462	0.2390199	0.4135254	-0.08691044
0.019	-3.390026	-2.336007	-0.6447878	0.6148943	2.068764	0.6644105	6.537742	3.783793
0.02	-9.34198	-5.176632	-1.2776	1.472707	4.121889	0.9386293	15.05962	7.738871
0.021	-15.74042	-7.619991	-1.963147	2.495754	6.146889	0.9913637	25.38853	11.53223
0.022	-21.68534	-9.089522	-2.638147	3.522316	7.707827	0.7487855	36.0479	14.45723
0.023	-25.85487	-9.008663	-3.15846	4.316848	8.330092	0.2214418	44.8229	15.69825
0.024	-27.89745	-7.774679	-3.453772	4.784426	8.112124	-0.4535582	50.64478	15.34668
0.025	-27.72518	-5.767257	-3.510022	4.918019	7.229702	-1.121527	53.04243	13.66973
0.026	-24.97596	-2.965304	-3.299085	4.675441	5.700405	-1.669964	51.33384	10.71309
0.027	-19.99784	0.2198526	-2.849085	4.081301	3.731655	-2.007464	45.65259	6.926761
0.028	-13.89471	3.144853	-2.25846	3.265676	1.696108	-2.126996	37.22212	3.052543
0.029	-7.450573	5.595243	-1.601038	2.351613	-0.237486	-2.074261	27.12173	-0.5474573
0.03	-1.357995	7.338993	-0.9401003	1.434035	-1.872252	-1.887933	16.42017	-3.54277
0.031	3.222864	7.785478	-0.3776003	0.6605974	-2.793345	-1.585589	7.065086	-5.275973
0.032	5.711927	7.01204	-0.03306906	0.1086443	-2.93397	-1.184808	0.6209455	-5.553707
0.033	6.154895	5.415946	0.06888406	-0.2112776	-2.445299	-0.7207457	-2.493896	-4.562301
0.034	4.274036	2.926884	-0.06822531	-0.2147932	-1.253502	-0.2039488	-2.029836	-2.220895
0.035	0.1431767	-0.2196005	-0.4479128	0.1648943	0.5535296	0.2987855	2.030711	1.29473
0.036	-5.344714	-3.295772	-1.006897	0.860988	2.567983	0.7030824	8.998682	5.25684
0.037	-11.49354	-6.006319	-1.657288	1.778566	4.600014	0.9386293	18.13579	9.211918
0.038	-17.89198	-8.228194	-2.349866	2.829738	6.523061	0.9351137	28.76352	12.83653
0.039	-23.35526	-9.223116	-2.9651	3.793019	7.80978	0.6187074	39.00454	15.24473
