Interval=	0.001 s
ExcelDateTime=	4.5338555699269826e+004	2/16/2024 13:20:12.416913
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.789529	0.03408701	-0.2244121	-9.536771	0.05482577	0.5305467	2.875807	0.9736067
0.001	0.8000759	0.03408701	-0.2244121	-9.522709	0.05482577	0.5305467	2.879323	0.9700911
0.002	-0.08586159	0.03760264	-1.229881	-11.39302	-0.03658048	1.050859	3.17112	1.339232
0.003	-3.882737	0.04111826	-2.702928	-17.37662	-0.1561117	1.630937	2.94612	2.798216
0.004	-10.4886	0.04111826	-4.2041	-28.14146	-0.2440024	2.073906	2.162136	5.273216
0.005	-18.79953	0.03760264	-5.617381	-42.28833	-0.3283774	2.365703	1.156667	8.296654
0.006	-33.06946	0.02705576	-7.775975	-65.66021	-0.5533774	2.397344	-0.3866926	12.424
0.007	-55.08078	0.01650889	-10.5041	-100.7426	-0.7467368	1.940312	-2.633177	17.88025
0.008	-75.04953	0.02705576	-11.87519	NaN	-0.6553305	0.931328	-4.700364	22.5947
0.009	-85.97258	0.04463389	-11.42168	NaN	-0.4057211	-0.3413283	-5.906224	24.99939
0.01	-88.62336	0.05869638	-9.934568	NaN	-0.1596274	-1.540156	-6.296458	25.28064
0.011	-82.29485	0.07275656	-7.527882	NaN	0.1357582	-2.397592	-5.834145	23.44774
0.012	-68.08821	0.07978781	-4.708351	NaN	0.3748207	-2.713999	-4.652895	19.75634
0.013	-52.44719	0.07627219	-2.588429	-91.09528	0.4345864	-2.55228	-3.334536	15.5411
0.014	-35.52297	0.07627219	-0.6935072	-63.19528	0.5295082	-2.109311	-1.89313	11.12899
0.015	-15.3257	0.07627219	1.271727	-31.36832	0.606852	-1.430795	-0.05445786	6.203603
0.016	-2.001486	0.06220969	1.563524	-11.94801	0.3923989	-0.6538423	1.499448	2.61415
0.017	1.176639	0.05166281	0.4525865	-8.935119	0.1463051	0.03522019	2.431089	1.250087
0.018	1.144999	0.05166281	-0.6478041	-10.09528	0.04083636	0.6363921	3.042808	1.035634
0.019	-0.6057827	0.04814719	-1.825538	-12.95699	-0.06111676	1.227017	3.186948	1.707118
0.02	-5.446798	0.04463156	-3.298585	-20.58942	-0.1841636	1.757876	2.708823	3.528212
0.021	-12.54485	0.04111594	-4.739992	-32.48629	-0.2685386	2.155142	1.84398	6.193056
0.022	-22.24094	0.03408469	-6.297413	-48.84098	-0.3880699	2.387173	0.6978859	9.473134
0.023	-39.68547	0.02002219	-8.807569	-76.98356	-0.6411949	2.28522	-1.144302	14.15595
0.024	-62.4843	0.02002219	-11.30015	-113.205	-0.7536949	1.624283	-3.471645	19.67196
0.025	-79.82336	0.03056906	-12.01733	NaN	-0.5779136	0.4676421	-5.285708	23.70438
0.026	-88.02532	0.04463156	-11.17358	NaN	-0.3283043	-0.8436861	-6.220864	25.3954
0.027	-88.14133	0.05517844	-9.405226	NaN	-0.07166364	-1.982749	-6.372036	25.05087
0.028	-78.55071	0.06572531	-6.663038	NaN	0.2552895	-2.682358	-5.623208	22.50204
0.029	-61.99211	0.06924094	-3.790773	-108.1672	0.4591957	-2.791342	-4.23102	18.30438
0.03	-45.59875	0.06572531	-1.83257	-81.01949	0.4838051	-2.481967	-2.838833	13.95204
0.031	-27.69367	0.06572531	0.02719588	-51.73434	0.5716957	-1.940561	-1.298989	9.399306
0.032	-9.746408	0.06220969	1.384227	-23.41598	0.5400551	-1.195249	0.3709328	4.923915
0.033	-0.9643764	0.04814719	0.9904771	-10.82653	0.2834145	-0.4253267	1.502964	2.290712
0.034	0.5860142	0.04111594	-0.1345229	-9.944103	0.100602	0.2285796	2.18148	1.429384
0.035	0.1817173	0.03760031	-1.182179	-11.24137	0.002164489	0.8192046	2.603355	1.478603
0.036	-2.592111	0.03760031	-2.447804	-15.57613	-0.1173668	1.374673	2.508433	2.519228
0.037	-8.449142	0.03408469	-3.941945	-25.06832	-0.2298668	1.838736	1.851011	4.67079
0.038	-16.27492	0.03408469	-5.344679	-38.30817	-0.3072105	2.151626	0.8982765	7.525478
0.039	-28.17531	0.02353781	-7.158742	-58.00973	-0.4759605	2.257095	-0.4235985	11.20634
0.04	-48.41828	0.01650656	-9.862257	-90.39918	-0.715023	1.933658	-2.497817	16.36727
0.041	-70.53157	0.02002219	-11.85913	NaN	-0.7220543	1.026626	-4.754848	21.61962
0.042	-84.88586	0.04111594	-11.95054	NaN	-0.5005699	-0.2776704	-6.28063	24.85751
0.043	-90.49329	0.05517844	-10.76226	NaN	-0.2509605	-1.617124	-6.941567	25.84188
0.044	-87.54016	0.06572531	-8.649366	NaN	0.03028949	-2.678842	-6.793911	24.75555
0.045	-75.07024	0.07275656	-5.727882	NaN	0.3326332	-3.199155	-5.770864	21.51415
0.046	-58.5679	0.07275656	-3.203663	-101.3047	0.4486489	-3.160483	-4.36813	17.20048
0.047	-42.70891	0.06572531	-1.428273	-74.92692	0.4838051	-2.787827	-3.014614	12.92899
0.048	-23.82649	0.06572531	0.5158678	-44.29176	0.5892739	-2.169077	-1.36227	8.228603
0.049	-7.64758	0.05869406	1.408837	-19.00035	0.4732582	-1.381577	0.1986671	4.118837
0.05	-1.540939	0.04463156	0.607274	-10.81246	0.2166176	-0.6503267	1.116245	2.132509
0.051	-0.6831264	0.04111594	-0.5106947	-10.92848	0.07599261	-0.03157668	1.689292	1.622743
0.052	-1.678048	0.04463156	-1.614601	-12.93238	-0.02947614	0.5485014	1.93187	1.991884
0.053	-5.699923	0.04463156	-3.01382	-19.19723	-0.1595543	1.079361	1.597886	3.461415
0.054	-12.4675	0.04111594	-4.497413	-30.3277	-0.2579918	1.504751	0.8033546	5.922353
0.055	-21.08078	0.04111594	-5.903663	-44.9527	-0.349398	1.768423	-0.212661	8.959853
0.056	-35.73391	0.03056906	-8.065772	-68.83434	-0.5673668	1.74733	-1.766567	13.12235
0.057	-58.05461	0.02353781	-10.78335	-104.2754	-0.7642418	1.212955	-4.020083	18.61376
0.058	-78.49446	0.03056906	-12.17905	NaN	-0.6798668	0.1231108	-6.094302	23.38095
0.059	-89.96243	0.04814719	-11.74312	NaN	-0.4443199	-1.244467	-7.307192	25.83134
0.06	-93.0386	0.05869406	-10.24546	NaN	-0.1982261	-2.531186	-7.704458	26.12665
0.061	-86.90735	0.06572531	-7.795069	NaN	0.1076332	-3.42767	-7.240395	24.29149
0.062	-72.33508	0.06924094	-4.866554	NaN	0.3713051	-3.740561	-6.009927	20.5122
0.063	-56.43039	0.06572531	-2.704445	-95.16285	0.4416176	-3.568295	-4.64938	16.22313
0.064	-39.99836	0.06220969	-0.8938979	-67.99762	0.5259926	-3.118295	-3.239614	11.86727
0.065	-20.54641	0.05517844	0.9553209	-36.70153	0.5822426	-2.432749	-1.502895	7.096571
0.066	-7.352267	0.03760031	1.197899	-16.31793	0.3677895	-1.62767	-0.1669579	3.637196
0.067	-3.548361	0.02705344	0.1221178	-11.84606	0.1357582	-0.9210298	0.4939796	2.297743
0.068	-3.070236	0.02002219	-0.9571791	-12.44371	0.02677386	-0.3093111	0.8912453	2.079775
0.069	-4.86672	0.01650656	-2.141945	-15.55153	-0.08221051	0.2637358	0.8982765	2.786415
0.07	-10.00305	0.01650656	-3.604445	-23.68668	-0.2017418	0.7594389	0.3639015	4.642665
0.071	-17.38586	0.02353781	-5.021242	-35.9984	-0.2790855	1.12858	-0.5009422	7.321571
0.072	-27.39485	0.02705344	-6.568117	-52.77848	-0.3915855	1.300845	-1.629458	10.63329
0.073	-45.17688	0.02002219	-9.074757	-81.34645	-0.6376793	1.107486	-3.447036	15.3372
0.074	-68.3343	0.01650656	-11.54976	NaN	-0.7536949	0.3410796	-5.753286	20.86376
0.075	-86.11282	0.03056906	-12.2564	NaN	-0.5919761	-0.8999361	-7.556802	24.89266
0.076	-94.71555	0.04463156	-11.38452	NaN	-0.3458824	-2.267514	-8.460317	26.53446
0.077	-95.07063	0.05517844	-9.581007	NaN	-0.08924176	-3.448764	-8.56227	26.12313
0.078	-85.81399	0.06572531	-6.852882	NaN	0.2236489	-4.155405	-7.781802	23.54618
0.079	-70.05344	0.06572531	-4.075538	-113.975	0.4205239	-4.267905	-6.410708	19.42235
0.08	-54.46516	0.05517844	-2.166554	-87.99449	0.4556801	-3.972592	-5.046645	15.17899
0.081	-36.67258	0.05869406	-0.2329604	-58.86754	0.5611489	-3.42767	-3.475161	10.63329
0.082	-17.94133	0.05517844	1.254149	-29.01637	0.5400551	-2.647202	-1.745473	6.034853
0.083	-8.136251	0.03760031	0.8779771	-14.43004	0.2834145	-1.845639	-0.6837547	3.327821
0.084	-5.833517	0.02705344	-0.292726	-12.65113	0.100602	-1.174155	-0.1739891	2.491103
0.085	-5.728048	0.03056906	-1.347413	-13.79723	-0.001351136	-0.5835298	0.124839	2.550868
0.086	-8.530001	0.02705344	-2.630617	-18.39567	-0.124398	-0.02806106	-0.03687973	3.616103
0.087	-14.71399	0.02705344	-4.131788	-28.29918	-0.2333824	0.4289702	-0.718911	5.802821
0.088	-22.68391	0.03056906	-5.513429	-41.70426	-0.3107261	0.7383452	-1.650552	8.643446
