Interval=	0.001 s
ExcelDateTime=	4.5345668104721073e+004	2/23/2024 16:02:04.247901
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.1299994	0.02522296	0.8970457	0.1547107	0.2511578	0.2179541	0.1081746	0.259387
0.001	0.1299994	0.02522296	0.8970457	0.1547107	0.2511578	0.2179541	0.1081746	0.259387
0.002	0.1159369	0.04280108	-0.3439699	0.2144763	0.2546735	0.200376	0.1362996	-0.1941286
0.003	0.1018744	0.06389483	-0.586548	0.2883044	0.2511578	0.1757666	0.1433308	-0.8410036
0.004	0.09132755	0.08498858	0.4857176	0.3445544	0.2476422	0.1476416	0.1468464	-1.477332
0.005	0.07374943	0.109598	2.746264	0.4113513	0.2511578	0.1230322	0.1714558	-2.191004
0.006	0.0561713	0.1412386	6.110718	0.4781482	0.2476422	0.09842287	0.1995808	-2.873035
0.007	0.0421088	0.1623323	9.847827	0.5062732	0.2511578	0.08436037	0.2101277	-3.291394
0.008	0.03507755	0.1693636	13.57439	0.5273669	0.2511578	0.07381349	0.2136433	-3.516394
0.009	0.03507755	0.1728792	17.05837	0.5238513	0.2511578	0.08084474	0.2136433	-3.569129
0.01	0.04562443	0.1693636	19.41033	0.46057	0.2546735	0.1089697	0.2030964	-3.185926
0.011	0.06321901	0.141211	20.0642	0.3761375	0.2546728	0.1406336	0.1925293	-2.478622
0.012	0.07728151	0.1095703	19.32944	0.3163719	0.2476416	0.1687586	0.16792	-1.786044
0.013	0.09485963	0.08144535	17.32905	0.2530907	0.2511572	0.2003993	0.11167	-1.05831
0.014	0.1124378	0.05332035	14.05249	0.1862938	0.2617041	0.2250086	0.0589356	-0.2813565
0.015	0.1229846	0.03574222	10.12202	0.1511375	0.2687353	0.2285243	0.06596685	0.2459872
0.016	0.1300159	0.02167973	6.325142	0.137075	0.2652197	0.2320399	0.1081543	0.4428622
0.017	0.1370471	0.01464848	2.950142	0.1265282	0.244126	0.2250086	0.139795	0.4428622
0.018	0.1335315	0.02519534	0.4540486	0.1581688	0.2370947	0.2074305	0.1468262	0.1721591
0.019	0.119469	0.04980473	-0.6217326	0.2179344	0.2511572	0.1793055	0.139795	-0.407919
0.02	0.1018909	0.0744141	-0.365092	0.2671532	0.2581885	0.1582118	0.1433106	-1.061825
0.021	0.09134401	0.09902347	1.048189	0.33395	0.2476416	0.137118	0.1608887	-1.701669
0.022	0.07376588	0.1236329	3.716549	0.4148094	0.2370947	0.1160243	0.1784668	-2.411825
0.023	0.05970338	0.1482422	7.260299	0.4534813	0.2406103	0.09844614	0.2030762	-3.023544
0.024	0.05267213	0.1658203	10.97631	0.4675438	0.2511572	0.08086802	0.22417	-3.361044
0.025	0.04564088	0.1763672	14.64311	0.4816063	0.2546728	0.07032114	0.2347168	-3.554403
0.026	0.04564088	0.1728516	17.83881	0.4640282	0.2511572	0.08438364	0.22417	-3.491122
0.027	0.05970338	0.1552735	19.58608	0.3902	0.2511572	0.108993	0.2030762	-2.960263
0.028	0.07376588	0.1236329	19.67045	0.3269188	0.2476416	0.1300868	0.1890137	-2.23956
0.029	0.08431276	0.09902348	18.48569	0.2847313	0.2511572	0.1582118	0.1784668	-1.550497
0.03	0.1018909	0.07089847	16.03178	0.2249657	0.2546728	0.2003993	0.1503419	-0.7840909
0.031	0.119469	0.03925785	12.45639	0.1687157	0.2546728	0.2285243	0.1151856	-0.06338779
0.032	0.1265003	0.02167973	8.547017	0.1476219	0.2511572	0.2355555	0.09760747	0.3338778
0.033	0.1300159	0.01816409	4.897799	0.1300438	0.2476416	0.2320399	0.09409185	0.4604403
0.034	0.1335315	0.0181641	1.761861	0.1230125	0.2511572	0.221493	0.09760747	0.3936435
0.035	0.1265003	0.03574223	-0.2982951	0.1581688	0.2476416	0.2003993	0.1046387	0.006924713
0.036	0.1089221	0.06035159	-0.8924357	0.2284813	0.2511572	0.1687586	0.1257325	-0.6223722
0.037	0.09485963	0.08144535	-0.2385295	0.2882469	0.2581885	0.137118	0.1538575	-1.265732
0.038	0.08431276	0.113086	1.614205	0.3515282	0.2581885	0.1125086	0.1854981	-1.947763
0.039	0.06673463	0.141211	4.67983	0.4253563	0.2511572	0.08086802	0.2065919	-2.66495
0.04	0.05267213	0.1552735	8.353658	0.474575	0.2406103	0.06328989	0.2136231	-3.174716
0.041	0.04564088	0.1623047	12.031	0.4956688	0.2370947	0.05625864	0.2171387	-3.438388
0.042	0.04212526	0.169336	15.60639	0.4956688	0.2476416	0.05274302	0.22417	-3.575497
0.043	0.05267213	0.1623047	18.43295	0.4675438	0.2581885	0.07032114	0.2206543	-3.368075
0.044	0.06321901	0.1376954	19.62827	0.4148094	0.2617041	0.1054774	0.2030762	-2.724716
0.045	0.07728151	0.1166016	19.28022	0.362075	0.2546728	0.137118	0.1890137	-1.996981
0.046	0.09485963	0.09199223	17.68413	0.2847313	0.2476416	0.1617274	0.16792	-1.28331
0.047	0.1124378	0.06386723	14.79428	0.1792625	0.244126	0.193368	0.1362793	-0.5098722
0.048	0.1265003	0.03574222	10.99038	0.10895	0.2546728	0.2144618	0.1187012	0.1018466
0.049	0.1335315	0.02167973	7.119674	0.1019188	0.2617041	0.2285243	0.1187012	0.3760653
0.05	0.1370471	0.0181641	3.600533	0.10895	0.2617041	0.2285243	0.1187012	0.435831
0.051	0.1370471	0.01816409	0.7563924	0.1265282	0.2511572	0.2039149	0.1151856	0.2776278
