Interval=	0.001 s
ExcelDateTime=	4.5345506444177256e+004	2/23/2024 12:09:16.776915
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.742408	-2.951405	0.2667137	-0.158475	0.9605237	0.2146924	3.108559	0.4610353
0.001	-0.7459236	-2.958436	0.2667137	-0.158475	0.9605237	0.2146924	3.105044	0.4645509
0.002	-0.1377205	4.329454	0.4319481	-0.1127719	0.2363049	0.01078613	2.166372	-0.6815429
0.003	2.903295	17.89977	1.026089	-0.3694125	-0.5511951	-0.1403857	2.106606	-3.59248
0.004	8.176733	34.20875	1.985854	-0.9600375	-1.025804	-0.1544482	3.382778	-7.786621
0.005	14.48376	49.88141	3.121401	-1.726444	-1.110179	-0.05952637	5.530825	-12.42373
0.006	21.06853	63.57828	4.306167	-2.556131	-0.8394763	0.1268018	8.265981	-17.01162
0.007	27.25251	73.91773	5.42062	-3.378787	-0.2418201	0.3939893	11.28239	-21.11436
0.008	31.88259	78.05914	6.250307	-4.060819	0.6687268	0.6857861	14.04567	-23.91982
0.009	34.36111	76.39625	6.682729	-4.507303	1.642555	0.9529736	16.15856	-25.07998
0.01	34.65994	70.86265	6.71437	-4.707694	2.423024	1.167427	17.51911	-24.67568
0.011	32.54009	60.01958	6.308814	-4.611874	3.150547	1.332486	17.86781	-22.55082
0.012	28.17368	44.05161	5.479126	-4.172421	3.860703	1.437955	16.95023	-18.84535
0.013	22.42915	27.83755	4.364673	-3.490389	4.166562	1.444986	15.03422	-14.3348
0.014	16.0061	13.12114	3.148267	-2.667733	4.068125	1.332486	12.46078	-9.58168
0.015	9.382664	-0.002684784	1.942408	-1.736093	3.744687	1.089908	9.36703	-4.965664
0.016	3.842039	-7.621044	0.9510012	-0.8782801	3.055625	0.7594389	6.227577	-1.488711
0.017	0.477586	-8.109716	0.353345	-0.2771082	2.102891	0.4113921	3.626014	0.1460546
0.018	-0.619289	-3.395263	0.1986577	0.03578238	1.178281	0.09147019	1.811952	0.07222652
0.019	0.6920391	6.452003	0.5010012	0.01820426	0.3310157	-0.1370454	1.006874	-1.664492
0.02	4.566258	21.3231	1.22522	-0.3649989	-0.3826562	-0.2425142	1.456874	-5.053555
0.021	10.2686	37.94146	2.251783	-1.029452	-0.7693749	-0.2179048	3.049452	-9.46918
0.022	16.71977	53.15357	3.397876	-1.831014	-0.7342187	-0.08079543	5.426014	-14.11684
0.023	23.27641	66.18247	4.56858	-2.671249	-0.3826562	0.1336577	8.294764	-18.61332
0.024	29.08071	74.84497	5.626783	-3.448202	0.2958595	0.3938139	11.28305	-22.36098
0.025	33.00766	77.03872	6.34397	-4.031796	1.2275	0.6610014	13.86	-24.60746
0.026	34.77251	74.00825	6.639283	-4.386874	2.152109	0.9211577	15.73734	-25.23324
0.027	34.32251	66.31958	6.51272	-4.485311	2.974766	1.153189	16.74633	-24.2559
0.028	31.41509	53.50513	5.939673	-4.260311	3.7025	1.325455	16.63734	-21.55238
0.029	26.45454	37.85708	4.990455	-3.722421	4.163047	1.399283	15.39633	-17.49184
0.03	20.4147	22.5606	3.830298	-2.966561	4.233359	1.364126	13.30805	-12.85473
0.031	13.83345	8.143018	2.603345	-2.077108	4.07164	1.223501	10.56586	-8.080508
0.032	7.375242	-3.588622	1.453736	-1.145468	3.64625	0.9738921	7.419374	-3.714102
0.033	2.477977	-8.696825	0.6064702	-0.3755457	2.820078	0.6328764	4.455702	-0.8066797
0.034	-0.1341328	-7.265966	0.1740481	0.1201574	1.814609	0.2918608	2.149452	0.2480078
0.035	-0.4927265	-0.9483879	0.1635012	0.3135168	0.8900001	0.01412644	0.6834363	-0.3566797
0.036	1.665867	10.74107	0.5924077	0.1658605	0.05679696	-0.1546236	0.3037488	-2.66293
0.037	6.288914	26.66333	1.418579	-0.326327	-0.5865624	-0.2003267	1.168593	-6.498477
0.038	12.38501	43.00747	2.483814	-1.039999	-0.843203	-0.1405611	3.056483	-11.07934
0.039	18.96626	57.58325	3.636939	-1.855624	-0.7166405	0.01061082	5.636952	-15.71293
0.04	25.44907	69.54692	4.79358	-2.67828	-0.2631249	0.2496733	8.621718	-20.04066
0.041	30.76118	76.11411	5.739283	-3.398983	0.5314063	0.5238921	11.5432	-23.3348
0.042	33.99555	76.30396	6.305298	-3.926327	1.501719	0.7945952	13.90922	-25.0223
0.043	35.0854	71.7688	6.470533	-4.214608	2.40875	1.058267	15.5264	-25.15238
0.044	33.87251	62.34341	6.220923	-4.211093	3.231406	1.293814	16.19789	-23.6266
0.045	30.20923	48.14028	5.521314	-3.884139	3.913437	1.444986	15.71273	-20.38168
0.046	24.79868	32.30591	4.48772	-3.279452	4.254453	1.494205	14.16937	-16.02582
0.047	18.55845	17.26255	3.309986	-2.502499	4.24039	1.437955	11.86664	-11.28676
0.048	11.92095	3.266846	2.100611	-1.606014	4.011875	1.251626	8.952186	-6.51957
0.049	5.845945	-6.671825	1.035376	-0.7165614	3.442344	0.9492827	5.777577	-2.504727
0.05	1.708055	-9.42456	0.3287356	-0.04156137	2.514219	0.6047514	2.972108	-0.1984766
0.051	-0.1481953	-6.316747	0.05451708	0.3346105	1.543906	0.2848296	0.901405	0.3148046
0.052	0.2947735	1.6813	0.2056887	0.4119543	0.6720313	0.01412644	-0.2622668	-0.7996485
0.053	3.325242	15.03716	0.7963137	0.1623449	-0.09437492	-0.1511079	-0.2482043	-3.622695
0.054	8.560008	31.47974	1.745533	-0.3931239	-0.6146874	-0.1827486	0.9963269	-7.760586
0.055	14.88462	47.27192	2.884595	-1.148983	-0.730703	-0.09485793	3.147889	-12.35902
0.056	21.49048	61.127	4.06233	-1.989218	-0.4986718	0.08795457	5.87953	-16.90824
0.057	27.72016	71.6106	5.169751	-2.815389	0.06382821	0.3410796	8.895936	-20.99691
0.058	32.39946	75.91372	5.999439	-3.497421	0.9603126	0.6188139	11.68734	-23.80238
0.059	34.89907	74.79224	6.428345	-3.957968	1.867344	0.8824858	13.85297	-24.96254
0.06	35.23305	69.43442	6.45647	-4.179452	2.626719	1.111001	15.2557	-24.55824
0.061	33.19751	57.79419	6.066236	-4.063436	3.484531	1.311392	15.56156	-22.4348
0.062	28.86977	41.7981	5.257642	-3.606405	4.205234	1.430923	14.6264	-18.72934
0.063	23.12524	26.05864	4.171314	-2.931405	4.430234	1.448501	12.735	-14.20473
0.064	16.71274	11.32114	2.965454	-2.112264	4.32125	1.357095	10.16859	-9.44457
0.065	10.08227	-1.883544	1.766626	-1.187655	3.997812	1.146158	7.113514	-4.835586
0.066	4.49243	-9.579247	0.8033452	-0.3509364	3.301719	0.8332671	4.019764	-1.326992
