Interval=	0.001 s
ExcelDateTime=	4.5340515053088980e+004	2/18/2024 12:21:40.586888
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-0.1714348	-36.62901	-0.5335678	0.561772	3.924399	-0.3093029	-0.4397657	2.234924
0.001	-0.1749504	-36.6501	-0.5335678	0.561772	3.93143	-0.3093029	-0.4397657	2.234924
0.002	5.889503	14.23505	1.818385	0.9379439	-7.803726	-0.3936779	-0.3975782	-3.660779
0.003	13.13872	105.4198	4.866432	1.33521	-21.96466	-0.4077404	-0.3589063	-10.8432
0.004	20.09966	NaN	7.970729	1.67271	-35.80216	-0.4710217	-0.2710157	-17.73383
0.005	25.45044	NaN	10.7551	1.866069	-47.76584	-0.6151623	-0.2182813	-23.41508
0.006	27.89028	NaN	12.43557	1.869585	-54.11857	-0.7909435	-0.2639844	-26.49828
0.007	28.7481	NaN	13.23362	1.795756	-56.46701	-0.9385998	-0.32375	-27.63383
0.008	28.39302	NaN	13.40237	1.676225	-56.17521	-0.9526623	-0.3870313	-27.09945
0.009	26.477	NaN	12.82581	1.493413	-52.62443	-0.7698498	-0.4608594	-24.57875
0.01	23.37974	NaN	11.5637	1.289506	-46.22248	-0.4042248	-0.5171094	-20.43031
0.011	19.37449	109.921	9.83171	1.06792	-38.06722	0.1196704	-0.54172	-15.23696
0.012	13.09559	23.58781	7.346164	0.7339353	-26.38128	0.770061	-0.5663294	-8.392041
0.013	4.689729	-35.29188	3.939523	0.3472166	-10.1637	1.332561	-0.6014856	-0.214696
0.014	-2.439959	-45.3782	0.6278039	0.1292478	4.883171	1.483733	-0.6120325	6.377101
0.015	-6.409099	-41.45125	-1.541336	0.0835447	13.55973	1.15678	-0.6050013	9.548194
0.016	-7.407537	-41.86258	-2.409696	0.1714353	15.93278	0.5767017	-0.59797	9.579835
0.017	-4.781365	-44.33406	-1.861259	0.4562009	11.76676	0.02123288	-0.5452356	6.479054
0.018	1.103791	-28.10594	0.114523	0.8851072	1.114419	-0.2951734	-0.4643763	0.7099125
0.019	7.663947	37.47101	2.754757	1.257763	-11.73167	-0.354939	-0.4362513	-5.846727
0.02	14.48074	NaN	5.644601	1.612842	-24.88011	-0.3725171	-0.3870325	-12.69868
0.021	21.61746	NaN	8.854367	1.950341	-39.25199	-0.4850171	-0.2675013	-19.72993
0.022	26.26512	NaN	11.45944	2.073388	-50.15042	-0.664314	-0.2253138	-24.77134
