Interval=	0.001 s
ExcelDateTime=	4.5345579749860124e+004	2/23/2024 13:54:50.387915
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.5376143	-2.187827	0.3415834	0.1288866	-1.081947	-0.006272399	-0.5238455	0.8496367
0.001	0.5340986	-2.187827	0.3415834	0.1288866	-1.081947	-0.006272399	-0.5238455	0.8531523
0.002	5.582536	-5.55228	1.463068	-0.02580089	1.34735	0.2327901	-0.8156423	-2.300363
0.003	12.35363	-9.953843	2.981818	-0.2086134	4.405944	0.6546651	-1.198846	-6.255441
0.004	19.00168	-14.13744	4.486505	-0.3492384	7.267662	1.153884	-1.557439	-9.918723
0.005	25.0591	-17.8183	5.868146	-0.4547072	9.739146	1.691774	-1.866814	-13.07927
0.006	29.29543	-20.30033	6.863068	-0.5109572	11.24735	2.194509	-2.077752	-15.03396
0.007	31.38723	-21.42533	7.358771	-0.521504	11.72547	2.581227	-2.169158	-15.67029
0.008	31.29933	-21.18275	7.344709	-0.4863478	11.21922	2.813259	-2.141033	-15.01286
0.009	28.7505	-19.38275	6.761115	-0.409004	9.605553	2.873024	-2.003924	-12.91755
0.01	24.06066	-16.28548	5.650177	-0.3000196	7.088366	2.739431	-1.750799	-9.662082
0.011	18.16738	-12.49638	4.239366	-0.1768916	4.193381	2.425987	-1.402519	-5.894767
0.012	11.58261	-8.253019	2.699522	-0.01165718	1.191038	1.954893	-1.005253	-1.964298
0.013	4.902926	-3.96044	1.191319	0.1746709	-1.614431	1.367784	-0.6115034	1.695468
0.014	-0.4267613	-0.6416904	0.01006858	0.3152959	-3.569119	0.7630962	-0.305644	4.205624
0.015	-3.527543	1.154794	-0.6473533	0.3715459	-4.391775	0.2498149	-0.1439252	5.204061
0.016	-4.360746	1.4712	-0.7879783	0.3574834	-4.1949	-0.1052632	-0.1193159	4.85953
0.017	-2.571293	0.1036221	-0.3555564	0.2695928	-2.897634	-0.2318257	-0.2283002	3.098202
0.018	1.868942	-2.954972	0.653428	0.1043584	-0.5597435	-0.1087788	-0.4919721	0.02906141
0.019	7.940426	-6.983878	2.006944	-0.08196968	2.309006	0.2146587	-0.8329877	-3.676407
0.02	14.58144	-11.26591	3.487022	-0.2401728	5.262131	0.6716899	-1.18455	-7.476798
0.021	21.17676	-15.39677	4.988194	-0.3632197	8.088694	1.202549	-1.507988	-11.08734
0.022	26.6998	-18.74013	6.285459	-0.4370478	10.29651	1.736924	-1.782206	-13.89281
0.023	30.20488	-20.76161	7.129209	-0.4616572	11.46018	2.211534	-1.954472	-15.38344
0.024	31.58652	-21.44013	7.473741	-0.454626	11.61487	2.549034	-2.003691	-15.58031
0.025	30.69004	-20.6913	7.276866	-0.4159541	10.74299	2.724815	-1.94041	-14.43773
0.026	27.3291	-18.40614	6.489366	-0.3280634	8.770726	2.728331	-1.74705	-11.89945
0.027	22.15058	-15.02411	5.251866	-0.2120478	6.06721	2.542002	-1.444706	-8.422501
