Interval=	0.001 s
ExcelDateTime=	4.5345644846259871e+004	2/23/2024 15:28:34.716853
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	2.009878	-2.459048	0.7957003	0.1651782	1.106461	0.2984356	-5.938879	0.8766858
0.001	2.006363	-2.462564	0.7957003	0.1651782	1.109976	0.2984356	-5.931848	0.8802014
0.002	1.858706	4.023764	0.5777315	0.6011157	-0.9466644	-0.5945331	4.031433	-2.217064
0.003	3.943472	13.1433	0.2507784	0.42885	-5.84393	-1.600002	8.612292	-6.717064
0.004	8.468081	21.72494	-0.05859661	-0.5590406	-12.83651	-2.313674	3.025964	-11.29441
0.005	14.29699	28.03548	-0.2660185	-2.049666	-20.44081	-2.714455	-10.10841	-15.31277
0.006	20.65324	31.99408	-0.3750029	-3.839119	-27.79198	-2.844533	-29.02599	-18.38542
0.007	26.89699	33.50579	-0.3996122	-5.75865	-34.29588	-2.791799	-51.7088	-20.30847
0.008	31.83293	31.08704	-0.2976591	-7.516463	-38.52518	-2.531642	-74.80646	-20.50183
0.009	34.70871	25.60267	-0.08672161	-8.831307	-39.81541	-2.071096	-94.44122	-18.97253
0.01	35.55597	18.83509	0.1558565	-9.657479	-38.60956	-1.476955	-107.8182	-16.23035
0.011	34.12903	10.61859	0.4372347	-9.940282	-34.78735	-0.7700063	-113.1697	-12.39504
0.012	30.38489	1.773273	0.725516	-9.479735	-28.49438	0.02100937	-110.5506	-7.807151
0.013	25.12903	-5.286102	0.9434847	-8.266845	-21.10102	0.7803844	-100.8123	-3.409104
0.014	19.1595	-10.09899	1.094657	-6.516063	-13.65141	1.399134	-84.67561	0.2541773
0.015	12.88059	-13.01696	1.207157	-4.417235	-6.504148	1.747181	-63.35334	3.006912
0.016	7.287235	-12.24001	1.189578	-2.30786	-1.083055	1.613588	-39.89358	4.051052
0.017	3.518485	-7.434149	1.017313	-0.6414539	1.223195	0.9596813	-18.63459	2.88738
0.018	1.771219	-0.8353206	0.7677035	0.3956554	0.7063986	-8.43823e-005	-2.434591	0.1311304
0.019	2.214188	7.060773	0.4653597	0.7155773	-2.355711	-1.026647	7.004862	-3.683323
0.02	5.23411	16.16976	0.1173128	0.2339367	-8.089695	-1.926647	7.771268	-8.253635
0.021	10.33177	24.20648	-0.1779997	-0.9437977	-15.49009	-2.53485	-0.4799034	-12.77121
0.022	16.39973	29.61351	-0.3397184	-2.560985	-23.08032	-2.812584	-15.85022	-16.46965
0.023	22.80169	32.86194	-0.3959684	-4.431298	-30.28032	-2.875866	-36.30764	-19.19426
0.024	28.76419	33.12913	-0.3572965	-6.340282	-36.17954	-2.749303	-59.54943	-20.60051
0.025	33.06028	29.42366	-0.2166715	-7.946923	-39.37876	-2.394225	-81.84904	-20.18567
0.026	35.23645	23.42249	-0.01276528	-9.071923	-39.76899	-1.866881	-99.65568	-18.22395
0.027	35.34192	16.22601	0.2298128	-9.711766	-37.7018	-1.227037	-110.4838	-15.11614
0.028	33.08138	7.556476	0.5321566	-9.760985	-32.90649	-0.481725	-113.0854	-10.93606
0.029	28.67981	-0.9196956	0.8274691	-9.033251	-26.01587	0.3233531	-107.928	-6.298948
0.03	23.11106	-7.10368	1.031375	-7.609423	-18.54516	1.06515	-95.92209	-2.143479
0.031	16.9763	-11.3611	1.179032	-5.718016	-11.10962	1.638197	-77.82365	1.249099
0.032	10.7677	-13.30524	1.25286	-3.56997	-4.303367	1.863197	-55.29201	3.523709
0.033	5.705204	-10.99899	1.175516	-1.590673	0.1368673	1.553822	-32.08186	3.804959
