Interval=	0.001 s
ExcelDateTime=	4.5345485263702772e+004	2/23/2024 11:38:46.78392
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-1.765835	0.3546438	-1.263023	3.070528	1.03202	6.457139	6.496985	2.903662
0.001	-1.769351	0.3546438	-1.266538	3.05295	1.035536	6.478233	6.518079	2.903662
0.002	9.023618	-1.157075	-0.9993507	6.181856	0.9968641	1.211826	-0.7662964	1.810303
0.003	22.76268	-3.094184	1.897524	23.23967	0.9019422	-20.69052	-25.97684	0.8329591
0.004	31.07713	-4.120747	6.967056	57.58732	0.7402235	-54.53895	-62.62372	0.4392091
0.005	33.41151	-4.440669	12.56041	95.03225	0.5644422	-89.39638	-98.53231	0.3161622
0.006	38.01698	-5.224653	18.77956	NaN	0.4062391	NaN	NaN	0.4145997
0.007	38.03455	-5.091059	25.4944	NaN	0.1179579	NaN	NaN	0.6009278
0.008	27.12205	-3.523091	30.08932	NaN	-0.1562609	NaN	NaN	0.8224122
0.009	17.29237	-2.345356	31.73815	NaN	-0.2441515	NaN	NaN	1.195069
0.01	11.56893	-1.624653	31.76979	NaN	-0.258214	NaN	NaN	1.68374
0.011	5.286307	-0.7628074	30.58563	NaN	-0.282586	NaN	NaN	2.197267
0.012	-0.7711149	0.01766138	28.07899	NaN	-0.2861016	NaN	NaN	2.735157
0.013	-4.852756	0.5590676	24.6161	NaN	-0.2439141	NaN	NaN	3.28711
0.014	-11.59221	1.634849	20.06336	101.8015	-0.141961	-114.0605	-111.2952	3.758204
0.015	-21.22502	2.998911	13.43641	53.38781	0.1463203	-68.21325	-63.41591	4.081641
0.016	-21.5344	2.896958	5.902424	13.48546	0.6244453	-23.55425	-18.43701	4.162501
0.017	-11.03674	1.490708	0.4953924	1.926089	0.983039	0.9601982	3.370413	3.698438
0.018	1.053494	-0.05616674	-1.519061	3.462424	1.049836	6.321519	5.817288	2.594532
0.019	13.76248	-1.856167	-0.4503107	9.484682	0.9724922	-3.908942	-6.958493	1.385157
0.02	26.98123	-3.680776	3.441486	33.98859	0.8564765	-31.91793	-38.50771	0.646876
0.021	33.30935	-4.404995	9.066486	72.69211	0.6701484	-68.46989	-77.42216	0.3726573
0.022	35.14802	-4.724917	14.99383	111.4062	0.4873359	-105.0957	-114.8108	0.337501
0.023	38.71287	-5.273354	21.48367	NaN	0.2693672	NaN	NaN	0.4605479
0.024	34.03006	-4.457729	27.52703	NaN	-0.04703908	NaN	NaN	0.6433604
0.025	22.63943	-2.94601	30.88094	NaN	-0.2474297	NaN	NaN	0.9105479
0.026	15.15115	-2.074135	31.85125	NaN	-0.2896172	NaN	NaN	1.325392
0.027	9.614041	-1.328823	31.50672	NaN	-0.3142266	NaN	NaN	1.817579
0.028	3.120682	-0.4428855	29.88953	NaN	-0.3423516	NaN	NaN	2.344923
0.029	-2.233615	0.2215676	27.03485	NaN	-0.3212578	NaN	NaN	2.903907
0.03	-6.420724	0.8262551	23.30828	NaN	-0.2579766	NaN	NaN	3.459376
0.031	-14.93205	2.151646	18.1368	86.46632	-0.1173516	-100.1105	-96.91279	3.895313
0.032	-22.83869	3.195786	10.92625	37.20187	0.2482734	-51.91832	-46.93466	4.144923
0.033	-18.78166	2.527818	3.80008	6.542111	0.729914	-12.72614	-8.473727	4.085157
0.034	-6.919943	1.005552	-0.5030451	1.957729	1.000617	4.588323	5.817288	3.427735
0.035	5.142166	-0.5870261	-1.448748	4.404604	1.011164	4.785198	3.384476	2.235939
0.036	18.25545	-2.450307	0.5727362	14.72297	0.9373359	-11.11246	-15.49091	1.153126
0.037	29.28396	-3.891714	5.065705	44.41945	0.814289	-42.31715	-50.08818	0.5941416
0.038	32.74685	-4.278432	10.58875	81.89249	0.6490547	-77.12535	-86.45029	0.4007823
0.039	36.0867	-4.900698	16.47039	NaN	0.5189765	-114.6828	NaN	0.4289073
0.04	39.42654	-5.340151	23.21336	NaN	0.2869453	NaN	NaN	0.6082041
0.041	31.41443	-4.092104	28.82078	NaN	-0.01188283	NaN	NaN	0.8226573
0.042	19.90779	-2.643667	31.38368	NaN	-0.1489922	NaN	NaN	1.142579
0.043	13.4074	-1.866714	31.87586	NaN	-0.1736016	NaN	NaN	1.606642
0.044	7.574979	-1.054604	31.16219	NaN	-0.198211	NaN	NaN	2.137501
0.045	1.032401	-0.1827292	29.11258	NaN	-0.2017266	NaN	NaN	2.66836
0.046	-3.551974	0.386802	25.93094	NaN	-0.1560235	NaN	NaN	3.223829
0.047	-8.533615	1.174302	21.87391	114.6687	-0.08219533	NaN	NaN	3.744141
0.048	-18.2508	2.636802	16.02039	70.36125	0.1041328	-84.8527	-80.94482	4.123829
0.049	-22.97229	3.167661	8.475861	23.89874	0.5260078	-37.01558	-31.84912	4.306641
0.05	-15.17815	2.049693	2.049299	3.086245	0.9513984	-4.798396	-1.375681	4.088673
0.051	-2.915646	0.5063333	-1.114764	2.660861	1.099055	6.201988	6.537991	3.202735
0.052	9.385526	-1.174135	-1.019842	6.345229	1.053352	1.22387	-0.9256805	1.965235
0.053	21.99607	-2.928432	1.862971	22.00382	0.954914	-19.84175	-25.0956	1.030079
0.054	29.40349	-3.835464	6.566877	53.38781	0.8213203	-50.94801	-58.84912	0.6046886
0.055	31.93474	-4.225698	11.77352	88.5546	0.701789	-83.58355	-92.53232	0.4851573
0.056	38.23123	-5.259292	17.9118	NaN	0.5646797	NaN	NaN	0.5765635
0.057	39.81677	-5.326089	24.99578	NaN	0.251789	NaN	NaN	0.7734386
0.058	28.61951	-3.691323	30.05477	NaN	-0.0646172	NaN	NaN	1.00547
0.059	17.62967	-2.365932	31.89344	NaN	-0.1736016	NaN	NaN	1.371095
0.06	11.64607	-1.624135	31.96024	NaN	-0.198211	NaN	NaN	1.866798
0.061	5.405838	-0.7592917	30.81414	NaN	-0.2298516	NaN	NaN	2.401173
0.062	-0.7640837	0.03523951	28.31805	NaN	-0.2298516	NaN	NaN	2.967189
0.063	-4.807052	0.5590676	24.85516	NaN	-0.1806328	NaN	NaN	3.543751
0.064	-11.3883	1.606724	20.33758	102.4448	-0.08922658	-114.5457	-111.8366	4.025391
0.065	-21.02463	2.974302	13.75281	54.25617	0.1744453	-68.93746	-64.24209	4.338282
0.066	-21.51682	2.907505	6.225861	14.02688	0.6420234	-24.20465	-19.11552	4.422657
0.067	-11.12463	1.525865	0.7766424	1.982339	1.01468	0.6684013	3.180569	3.983204
0.068	1.137869	-0.04210424	-1.287029	3.613589	1.081477	6.107073	5.655569	2.900392
0.069	13.64295	-1.78937	-0.2428888	9.748361	0.9935859	-4.183168	-7.172946	1.698048
0.07	24.53084	-3.248354	3.272736	30.47296	0.8740547	-28.76441	-34.80927	0.9246104
0.071	28.87263	-3.740542	7.927424	61.86749	0.7404609	-58.45386	-66.37256	0.5941416
0.072	32.32146	-4.355776	12.97235	96.62649	0.6560859	-91.04371	-99.88349	0.5273448
0.073	40.23865	-5.551089	19.50086	NaN	0.4978828	NaN	NaN	0.6644541
0.074	38.86404	-5.143276	26.59539	NaN	0.139289	NaN	NaN	0.8753916
0.075	25.74724	-3.329214	30.93368	NaN	-0.1595391	NaN	NaN	1.139064
0.076	15.63631	-2.140932	32.13602	NaN	-0.2439141	NaN	NaN	1.553907
0.077	9.765213	-1.37101	31.76336	NaN	-0.2650078	NaN	NaN	2.067189
0.078	3.215604	-0.4604636	30.13914	NaN	-0.2790703	NaN	NaN	2.601564
0.079	-2.310959	0.2321145	27.22469	NaN	-0.2509453	NaN	NaN	3.157032
0.08	-6.308224	0.8016458	23.47352	NaN	-0.1736016	NaN	NaN	3.70547
0.081	-14.5594	2.095396	18.36883	88.84289	-0.0364922	-101.4781	-97.81982	4.127345
0.082	-22.61721	3.16063	11.20399	39.47999	0.3150703	-53.58121	-48.0667	4.376954
0.083	-18.8133	2.517271	4.028596	7.593276	0.7967109	-14.08316	-9.166306	4.32422
0.084	-6.912912	0.9879739	-0.3413263	2.277658	1.077961	3.786754	5.521976	3.673829
0.085	4.829276	-0.5307761	-1.360858	4.928432	1.081477	4.451214	3.496976	2.485548
0.086	15.51326	-2.003823	0.2282049	12.01593	0.9971015	-8.074958	-11.21591	1.321876
0.087	23.92967	-3.118276	3.620783	33.07805	0.9197578	-31.35192	-37.11904	0.5976573
0.088	27.99724	-3.606948	7.96258	63.64289	0.8459297	-59.42769	-66.79091	0.2496104
0.089	30.70076	-4.067495	12.72274	95.78273	0.7896797	-89.84136	-97.89013	0.140626
0.09	37.68631	-5.188979	18.65008	NaN	0.6877265	NaN	NaN	0.2566417
0.091	40.2492	-5.424526	25.69891	NaN	0.3818672	NaN	NaN	0.5132823
0.092	29.03084	-3.772182	30.77899	NaN	0.01624217	NaN	NaN	0.8226573
0.093	15.59412	-2.098745	32.22391	NaN	-0.1454766	NaN	NaN	1.241017
0.094	7.662869	-1.124917	31.46453	NaN	-0.1736016	NaN	NaN	1.764845
0.095	1.204666	-0.2495261	29.36571	NaN	-0.1841485	NaN	NaN	2.323829
0.096	-3.485177	0.3481301	26.13485	NaN	-0.1525078	NaN	NaN	2.889845
0.097	-8.315646	1.107505	22.04617	NaN	-0.08922658	NaN	NaN	3.410157
0.098	-17.93791	2.570005	16.22078	75.14249	0.0900703	-87.27144	-82.35459	3.79336
0.099	-22.8633	3.139536	8.690314	27.56555	0.5013984	-39.48707	-33.22021	4.000782
0.1	-15.30471	2.049693	2.221564	4.566323	0.9338203	-6.608942	-2.061227	3.796876
0.101	-3.021115	0.4957864	-1.047967	3.131948	1.106086	5.340667	6.443069	2.925001
0.102	9.336307	-1.177651	-1.058514	7.32258	1.063898	0.4469101	-0.9362274	1.708595
0.103	21.42654	-2.826479	1.690705	23.20265	0.9478828	-20.21793	-24.20615	0.7769541
0.104	28.14139	-3.628042	6.116877	53.05031	0.8002265	-49.39058	-55.77295	0.3058604
0.105	30.85193	-4.049917	11.01766	86.50149	0.6842109	-80.34567	-87.81435	0.1406261
