Interval=	0.001 s
ExcelDateTime=	4.5345492753621977e+004	2/23/2024 11:49:33.912939
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.16463	5.190817	-1.209045	-0.06175287	-0.2565084	1.243079	2.405539	-0.05558653
0.001	0.16463	5.197848	-1.20553	-0.06175287	-0.2600241	1.239563	2.391476	-0.05558653
0.002	0.1716613	-5.61973	-4.946155	0.1913721	-3.448696	4.81847	16.83015	-0.6567584
0.003	0.1751769	-20.89864	-10.21608	0.4480128	-5.614321	10.18683	37.56179	-2.136837
0.004	0.16463	-37.52754	-17.26842	1.017544	-5.231118	17.68566	66.05241	-4.822774
0.005	0.1575988	-56.29746	-27.2317	1.449966	-1.747133	28.59464	106.8091	-9.284102
0.006	0.16463	-72.07207	-36.35826	1.063247	4.851695	39.12042	NaN	-14.49074
0.007	0.1716613	-79.62012	-41.10436	0.3460596	13.01146	45.1462	NaN	-18.77277
0.008	0.1822081	-79.02949	-41.50514	-0.3465185	21.33998	46.36613	NaN	-21.48684
0.009	0.1892394	-71.8541	-37.97194	-1.183237	28.48724	43.27589	NaN	-22.31301
0.01	0.192755	-59.08184	-31.11998	-1.809018	32.86771	36.58917	NaN	-21.02629
0.011	0.1857199	-43.51162	-23.77263	-1.815772	34.0391	29.09307	96.24144	-18.47309
0.012	0.1822043	-27.58233	-16.93825	-1.97046	32.87894	21.92471	67.5012	-15.43559
0.013	0.1822043	-10.55616	-8.493719	-2.286866	29.32816	12.8544	32.04612	-11.32231
0.014	0.1716574	4.332517	-1.132	-1.770069	23.19691	4.388777	1.811749	-6.801215
0.015	0.1681418	12.24267	1.810578	-1.042335	16.13754	0.2825272	-9.128876	-3.507075
0.016	0.1681418	14.0708	2.088312	-0.7083506	9.475428	-0.9409103	-9.490986	-1.446918
0.017	0.1681418	10.99111	0.8472965	-0.3497568	3.502381	-0.4276291	-4.962861	-0.2937933
0.018	0.1646261	2.212595	-2.362469	0.05805566	-1.278869	2.346199	7.067608	-0.2410589
0.019	0.1681418	-11.13272	-6.971453	0.2900869	-4.330431	6.888387	25.04651	-1.221918
0.02	0.1681418	-26.56983	-12.48044	0.588915	-5.497619	12.62589	46.89964	-3.046528
0.021	0.1575949	-44.08116	-20.49958	1.225243	-4.200353	21.23214	79.43675	-6.26684
0.022	0.1540793	-62.53467	-30.67028	1.425634	0.4332407	32.563	NaN	-11.14653
0.023	0.1611105	-75.93975	-38.5488	0.8525869	7.787928	41.89698	NaN	-16.21606
0.024	0.1716574	-80.46085	-41.6988	0.1283682	16.17973	46.19307	NaN	-20.00942
0.025	0.1822043	-77.346	-40.78825	-0.5431162	24.27269	45.94698	NaN	-22.10825
0.026	0.1892355	-68.64835	-36.94919	-1.137257	30.84691	42.4419	NaN	-22.53364
0.027	0.1822043	-55.84795	-31.44723	-1.502882	34.99183	37.08057	NaN	-21.54575
0.028	0.1786886	-40.92412	-25.48825	-1.611866	36.6266	31.07589	104.0989	-19.60864
0.029	0.175173	-25.50459	-19.43083	-1.766554	36.12035	24.78292	78.55433	-17.06332
0.03	0.1786886	-9.427639	-11.78786	-2.202491	33.42035	16.67589	46.2844	-13.502
0.031	0.1857199	5.33447	-3.019891	-2.170851	27.9184	7.018465	10.42855	-8.808637
0.032	0.175173	13.72978	2.239484	-1.313038	20.40902	0.5637772	-9.441767	-4.625043
0.033	0.1646261	14.41884	2.63675	-0.5958506	13.05082	-0.860051	-10.1027	-2.213325
0.034	0.1681418	9.219236	0.5871403	-0.2091318	6.884413	0.4934647	-2.508955	-1.218403
0.035	0.1646261	-1.274905	-3.076141	0.1424307	2.159413	3.794637	11.36019	-1.337934
0.036	0.1681418	-15.49209	-7.899578	0.3709463	-0.7937124	8.611043	30.2637	-2.438325
0.037	0.1681418	-31.63584	-14.12927	0.8174307	-1.756994	15.13956	55.20355	-4.554731
0.038	0.1575949	-50.0542	-23.35075	1.408056	0.1062876	25.11339	92.85589	-8.390278
0.039	0.1540793	-67.63585	-33.32106	1.288524	5.397303	36.38448	NaN	-13.53012
0.04	0.1575949	-78.19327	-39.64919	0.5959463	13.00512	44.07667	NaN	-18.21645
0.041	0.1681418	-79.96163	-41.35427	-0.09311621	21.25277	46.69581	NaN	-21.41567
0.042	0.175173	-74.86046	-39.39255	-0.7575693	28.82191	45.20518	NaN	-22.94497
0.043	0.1786886	-64.66514	-34.86794	-1.309522	34.48558	40.888	NaN	-22.85707
0.044	0.175173	-50.91201	-29.10583	-1.580226	37.5934	35.15753	NaN	-21.47895
0.045	0.1716574	-35.79834	-23.24528	-1.661085	38.33168	29.17745	96.01995	-19.33442
0.046	0.1716574	-19.98858	-16.45661	-2.079444	36.99925	22.11456	67.39573	-16.38832
0.047	0.1786886	-3.134671	-7.041766	-2.490772	32.90707	12.03878	28.16487	-11.89184
0.048	0.175173	9.925876	0.917609	-1.826319	25.87933	2.908699	-3.500361	-6.931293
0.049	0.1646261	14.74931	3.283625	-0.9122568	18.04652	-0.6385666	-11.56169	-3.580903
0.05	0.1611105	13.12158	2.320343	-0.4974131	11.14887	-0.5436447	-7.525751	-1.875825
0.051	0.1646261	6.143064	-0.2952816	-0.1212412	5.457069	1.481355	2.015655	-1.288715
0.052	0.1646261	-5.996389	-4.58786	0.1916494	1.333241	5.517293	18.44417	-1.851215
0.053	0.1681418	-20.89209	-9.741766	0.4131338	-0.9448843	10.76964	38.7012	-3.303168
