Interval=	0.001 s
ExcelDateTime=	4.5345555302603025e+004	2/23/2024 13:19:38.144901
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	1.115946	1.018925	-0.1063204	0.02557304	-1.17577	-0.3103828	-1.313498	-0.55733
0.001	1.119461	1.018925	-0.1063204	0.02557304	-1.17577	-0.3103828	-1.317014	-0.5608456
0.002	-2.466476	-1.617794	-0.4156954	0.3806512	0.4976678	0.1396172	2.72244	2.430951
0.003	-7.957882	-4.697481	-0.9641329	1.140026	2.687902	0.6001641	10.43572	6.343842
0.004	-13.94148	-7.263887	-1.59343	2.131432	4.800793	0.8814141	20.45877	10.04228
0.005	-20.30124	-9.464668	-2.254367	3.270495	6.864465	0.9341485	32.20447	13.48759
0.006	-25.85944	-10.54045	-2.866086	4.370886	8.309387	0.6423516	43.66541	15.80087
0.007	-29.46296	-10.15725	-3.309055	5.168933	8.773449	0.06227349	52.55291	16.40205
0.008	-30.95358	-8.807247	-3.516477	5.601355	8.446496	-0.6443671	58.03377	15.56533
0.009	-30.1696	-6.701387	-3.484836	5.657605	7.43048	-1.322883	59.55955	13.49814
0.01	-26.79812	-3.857247	-3.207102	5.288464	5.725402	-1.857258	56.40603	10.29189
0.011	-21.45951	-0.8153139	-2.721344	4.566743	3.632292	-2.15931	49.08221	6.52455
0.012	-15.2931	1.84953	-2.127204	3.663228	1.540495	-2.254231	39.11542	2.882362
0.013	-8.915761	4.064374	-1.483844	2.675337	-0.4388019	-2.19095	27.57714	-0.4188096
0.014	-3.122011	5.477655	-0.8404848	1.70854	-2.010286	-1.983528	15.88065	-2.957091
0.015	0.9631456	5.583124	-0.3342348	0.9210401	-2.76263	-1.638997	6.31112	-4.148888
0.016	2.970567	4.619842	-0.04243791	0.3831495	-2.738021	-1.217122	0.2677608	-3.990685
