Interval=	0.001 s
ExcelDateTime=	4.5345668945681806e+004	2/23/2024 16:03:16.906908
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.1474744	0.1420559	0.2937092	0.2021532	0.3216008	0.2293486	0.1978589	0.3505967
0.001	0.1474744	0.1420559	0.2937092	0.2021532	0.3216008	0.2293486	0.1978589	0.3505967
0.002	0.1404432	0.1526028	3.626522	0.2056688	0.3180852	0.2152861	0.1978589	0.03770607
0.003	0.1334119	0.1666653	7.542928	0.2021532	0.3251164	0.2117704	0.2119214	-0.1837783
0.004	0.1298963	0.1666653	10.83004	0.2021532	0.3321477	0.2328642	0.2224683	-0.1626846
0.005	0.1404432	0.1490871	12.84097	0.1740282	0.3321477	0.2680204	0.215437	0.3154404
0.006	0.1580213	0.1174465	13.02379	0.1212938	0.328632	0.2891142	0.2048902	1.078331
0.007	0.1720838	0.09283714	11.80738	0.05449694	0.3251164	0.2961454	0.187312	1.809581
0.008	0.1931775	0.06119652	9.32535	-0.02284681	0.3180852	0.3207548	0.159187	2.59005
0.009	0.2177869	0.02955589	5.648006	-0.07909681	0.3216008	0.3488798	0.0994214	3.363487
0.01	0.2318494	0.008462141	1.499569	-0.1001906	0.3356633	0.3594267	0.03262452	3.848644
0.011	0.2353487	-0.002059286	-2.396065	-0.1458259	0.3532407	0.3558902	0.02912768	4.016712
0.012	0.2283174	-0.002059286	-5.785127	-0.1985603	0.3532407	0.3523746	0.0748308	3.999134
0.013	0.2212862	0.004971964	-8.144112	-0.1739509	0.3391782	0.3383121	0.1275652	3.66515
0.014	0.2142549	0.02606571	-8.977315	-0.08957594	0.3180845	0.3137027	0.1697527	3.035853
0.015	0.2037081	0.05419071	-8.495674	-0.01574781	0.3180845	0.2961246	0.1838152	2.364369
0.016	0.1790987	0.08583134	-6.815206	0.06159594	0.3251157	0.2785464	0.1943621	1.661244
0.017	0.1580049	0.117472	-3.83044	0.1459709	0.3286314	0.2609683	0.2154558	0.887806
0.018	0.1404268	0.1420813	-0.05114302	0.1987053	0.3180845	0.2504214	0.2260027	0.2796029
0.019	0.1333956	0.1561438	3.770341	0.2127678	0.3110532	0.2398746	0.2295183	-0.02977209
0.02	0.1298799	0.1666907	7.458232	0.2127678	0.3180845	0.2293277	0.2260027	-0.1879752
0.021	0.1333956	0.1631751	10.49222	0.1776116	0.3356626	0.2363589	0.2084246	-0.04031897
0.022	0.1544893	0.1385657	11.89144	0.1108147	0.3426939	0.2609683	0.1943621	0.5749154
0.023	0.1720674	0.1104407	11.59261	0.03347094	0.332147	0.2715152	0.1908464	1.337806
0.024	0.1826143	0.07880009	9.996513	-0.05090406	0.3216001	0.2820621	0.1556902	2.069056
0.025	0.2072237	0.04715946	7.103154	-0.1387947	0.3180845	0.3066714	0.09240893	2.881165
0.026	0.2283174	0.02255009	3.176201	-0.1880134	0.3286314	0.3312808	0.07131518	3.605384
0.027	0.2388643	0.008487589	-0.9230181	-0.1915291	0.3356626	0.3453433	0.09240893	3.971009
0.028	0.2458956	0.001456339	-4.667159	-0.1880134	0.3356626	0.3488589	0.09944018	4.069447
0.029	0.2458956	-0.002059286	-7.792549	-0.1704353	0.3286314	0.3418277	0.09240893	3.960462
0.03	0.2353487	0.01200321	-9.673409	-0.1212166	0.3251157	0.3277652	0.1064714	3.492884
0.031	0.2142549	0.03661259	-10.01794	-0.06848219	0.3216001	0.3101871	0.1310808	2.807337
0.032	0.1931612	0.06473759	-9.11794	-0.008716562	0.3216001	0.2961246	0.1416277	2.132337
0.033	0.1650362	0.09637821	-6.973409	0.08972094	0.3286314	0.2750308	0.1592058	1.411634
0.034	0.1474581	0.1315345	-3.637081	0.1635491	0.332147	0.2504214	0.1873308	0.6768685
0.035	0.1439424	0.1561438	0.1984663	0.1740959	0.332147	0.2222964	0.2049089	0.184681
0.036	0.1369112	0.1702063	3.991826	0.1600334	0.3286314	0.2047183	0.2154558	-0.07195959
0.037	0.1333956	0.1772376	7.58831	0.1530022	0.3286314	0.2047183	0.2260027	-0.1703971
0.038	0.1333956	0.1631751	10.18636	0.1389397	0.3356626	0.2328433	0.2189714	0.1460092
0.039	0.1439424	0.1350501	11.02308	0.1213616	0.3286314	0.2679996	0.1978777	0.8491342
0.04	0.1615206	0.1034095	10.31995	0.09675219	0.3110532	0.2996402	0.1732683	1.590931
0.041	0.1861299	0.06825321	8.337138	0.03347094	0.3110532	0.3242496	0.1556902	2.343275
0.042	0.2142549	0.03661259	5.046513	-0.06145094	0.3251157	0.3488589	0.1310808	3.155384
