Interval=	0.001 s
ExcelDateTime=	4.5345511904756087e+004	2/23/2024 12:17:08.570926
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	7.645842	-0.957316	-2.620128	NaN	54.24925	-75.25512	-110.5423	19.47489
0.001	7.645842	-0.9608316	-2.623644	NaN	54.2598	-75.26918	-110.5634	19.48193
0.002	5.575139	2.445809	-3.006847	NaN	53.06097	-75.12152	-110.5669	20.37138
0.003	5.198967	8.629793	-3.101769	NaN	52.06956	-74.94223	-110.5704	20.287
0.004	7.63178	16.73331	-2.725597	NaN	51.76019	-74.76645	-110.5669	18.64872
0.005	12.57123	25.89503	-1.924034	NaN	52.12933	-74.55902	-110.5704	15.65341
0.006	19.16655	33.79464	-0.8271594	NaN	53.21566	-74.3516	-110.5704	11.90224
0.007	26.12748	39.66573	0.3927625	NaN	54.77308	-74.16879	-110.5704	8.01044
0.008	32.35014	43.7755	1.697059	NaN	56.55902	-74.01059	-110.5704	4.266299
0.009	36.67084	44.81612	2.959169	NaN	58.38011	-73.87348	-110.5704	1.232315
0.01	38.65365	42.39034	3.961122	NaN	59.91996	-73.74692	-110.5704	-0.5501069
0.011	38.82697	37.93093	4.550705	NaN	60.92447	-73.62389	-110.5704	-1.073939
0.012	37.3926	31.59226	4.628049	NaN	61.36744	-73.48678	-110.5704	-0.3145643
0.013	34.02814	23.28484	4.135862	NaN	61.19869	-73.32155	-110.5704	1.826451
0.014	28.94806	14.8157	3.172581	NaN	60.37955	-73.14576	-110.5704	4.941295
0.015	22.87658	7.545384	1.984299	NaN	59.09283	-72.96295	-110.5704	8.418248
0.016	16.32346	1.19265	0.7432837	NaN	57.58814	-72.75553	-110.5704	12.00419
0.017	10.2133	-2.572584	-0.4028101	NaN	55.94283	-72.53405	-110.5704	15.21747
0.018	6.00158	-1.479225	-1.204373	NaN	54.31509	-72.3442	-110.5704	17.28817
0.019	4.212127	3.368822	-1.559451	NaN	53.02838	-72.17897	-110.5704	18.00536
0.02	4.806268	10.41062	-1.499685	NaN	52.24439	-72.01725	-110.5704	17.40067
0.021	8.044159	19.24187	-1.000466	NaN	52.08267	-71.84147	-110.5704	15.31239
0.022	13.67619	28.28054	-0.09343507	NaN	52.67681	-71.65162	-110.5704	11.97606
0.023	20.5176	35.54734	1.042112	NaN	53.94244	-71.46178	-110.5704	8.11942
0.024	27.359	40.94734	2.293674	NaN	55.58424	-71.28248	-110.5704	4.231139
0.025	33.08596	44.28015	3.594456	NaN	57.3983	-71.13131	-110.5704	0.6311388
0.026	36.62971	44.13601	4.77219	NaN	59.16314	-70.99772	-110.5704	-2.037221
0.027	37.9551	40.97195	5.630002	NaN	60.53775	-70.87115	-110.5704	-3.408314
0.028	37.62463	36.04655	6.051877	NaN	61.34283	-70.75162	-110.5704	-3.534877
0.029	35.59611	29.0364	5.946408	NaN	61.56783	-70.611	-110.5704	-2.307924
0.03	31.60236	20.46179	5.281955	NaN	61.14947	-70.46334	-110.5704	0.2233263
0.031	26.11799	12.40046	4.223752	NaN	60.10884	-70.30514	-110.5704	3.503404
0.032	19.8426	5.541478	3.003831	NaN	58.69205	-70.12233	-110.5704	7.043639
0.033	13.28596	0.3137438	1.755784	NaN	57.04674	-69.93951	-110.5704	10.5909
0.034	7.63283	-1.387819	0.6800024	NaN	55.28541	-69.77428	-110.5704	13.50536
0.035	4.191034	0.6758532	0.01906493	NaN	53.80181	-69.60553	-110.5704	15.14012
0.036	3.153924	5.843822	-0.1918726	NaN	52.74009	-69.42623	-110.5704	15.43544
0.037	4.553143	13.73992	0.02258055	NaN	52.14595	-69.25397	-110.5704	14.34559
0.038	8.624237	23.12312	0.6835181	NaN	52.21275	-69.06061	-110.5704	11.77567
0.039	14.78361	31.91218	1.706565	NaN	53.02838	-68.86022	-110.5704	8.179186
0.04	21.7551	38.72898	2.894846	NaN	54.4065	-68.68795	-110.5704	4.280358
0.041	28.3926	43.78796	4.163987	NaN	56.07994	-68.55084	-110.5704	0.4377794
0.042	33.50783	46.3157	5.450705	NaN	57.86588	-68.43483	-110.5704	-2.933705
0.043	36.28166	45.26804	6.551096	NaN	59.48306	-68.33287	-110.5704	-5.173158
