Interval=	0.001 s
ExcelDateTime=	4.5340495141955369e+004	2/18/2024 11:53:00.264944
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.6364804	-0.2891975	1.635929	1.484816	-4.702845	8.217966	-4.713148	-1.142639
0.001	0.6364804	-0.2891975	1.635929	1.467238	-4.692299	8.196872	-4.702602	-1.142639
0.002	-1.181098	0.6037713	0.9820232	20.42349	-7.086439	11.43125	-12.44752	5.593298
0.003	-3.111176	1.521349	1.519914	49.63482	-14.01222	23.55664	-27.27643	12.42767
0.004	-4.461176	2.126037	3.256633	80.10825	-24.28488	44.58008	-45.46276	16.67455
0.005	-5.983441	3.135021	6.157023	NaN	-38.78331	73.98125	-69.29166	19.30072
0.006	-7.790473	4.221349	10.90663	NaN	-59.66965	114.5094	-101.6635	19.75072
0.007	-8.500629	4.010412	16.80937	NaN	-81.98332	NaN	NaN	15.87299
0.008	-7.438911	2.751818	22.25507	NaN	-97.84582	NaN	NaN	7.523376
0.009	-5.283832	1.338537	26.32616	NaN	-105.3517	NaN	NaN	-2.74928
0.01	-2.362348	-0.4825569	28.5164	NaN	-104.5536	NaN	NaN	-13.15553
0.011	1.143353	-2.525111	28.22989	NaN	-94.31402	NaN	NaN	-22.50476
0.012	4.187884	-3.678236	25.57208	89.05848	-77.21402	NaN	-91.63404	-28.67469
0.013	6.016009	-4.008705	21.31114	43.89677	-57.98003	NaN	-61.89537	-30.64344
0.014	6.698041	-3.977065	15.98497	6.42372	-38.32065	94.88866	-33.94966	-28.95594
0.015	5.963275	-3.112221	10.58848	-13.05988	-21.55815	54.1285	-13.37623	-23.64031
0.016	4.194916	-1.913393	6.236139	-14.01612	-11.00776	25.09647	-4.172319	-15.79344
0.017	2.208588	-0.9887833	3.12481	-7.818077	-5.783543	10.99179	-2.474272	-7.373514
0.018	0.1413999	-0.05362699	1.272076	5.840119	-4.960887	8.40428	-6.306303	0.7792203
0.019	-1.929303	0.9764511	0.9416073	30.03466	-8.933543	14.46874	-16.96919	8.218283
0.02	-3.634381	1.739342	1.975201	59.49559	-17.11089	29.76874	-33.07779	14.01555
0.021	-4.973834	2.40731	4.028326	91.98348	-28.4769	53.47811	-52.61763	17.70344
0.022	-6.650787	3.578014	7.543951	NaN	-45.16557	86.52147	-79.61763	19.7425
0.023	-8.250397	4.323326	12.86309	NaN	-67.52495	NaN	-113.2305	18.955
0.024	-8.320709	3.620201	18.77989	NaN	-88.28823	NaN	NaN	13.36164
0.025	-6.798444	2.259654	23.80372	NaN	-101.2292	NaN	NaN	4.055783
0.026	-4.393756	0.7584824	27.29473	NaN	-106.0386	NaN	NaN	-6.368045
0.027	-1.215631	-1.231361	28.69395	NaN	-102.1679	NaN	NaN	-16.60554
0.028	2.303509	-3.091127	27.52325	NaN	-89.10386	NaN	-111.87	-25.15554
0.029	4.982416	-3.89269	24.23262	72.71083	-70.82964	NaN	-81.48443	-29.91922
0.03	6.416791	-4.096596	19.56387	29.87293	-51.27925	NaN	-52.10083	-30.5907
0.031	6.634759	-3.790736	14.08653	-2.650108	-32.13315	80.43593	-25.87427	-27.63054
0.032	5.449994	-2.707924	8.957232	-14.83878	-17.31831	42.82929	-9.150444	-21.24969
0.033	3.526947	-1.579408	5.030279	-12.44113	-8.764793	18.84569	-3.012163	-13.0407
0.034	1.505463	-0.6899551	2.344342	-4.140733	-5.076902	9.167178	-3.205522	-4.673514
0.035	-0.5898499	0.2909043	1.004889	13.06825	-5.860887	9.606631	-9.26646	3.303439
0.036	-2.569147	1.268248	1.177154	39.83621	-11.39096	18.70506	-22.11255	10.30656
0.037	-4.101959	1.929185	2.569342	69.85263	-20.67221	37.03554	-39.39185	15.40422
