Interval=	0.001 s
ExcelDateTime=	4.5338571090380923e+004	2/16/2024 13:42:22.208912
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	1.856238	0.05958694	0.1696677	-0.7586476	0.1285839	0.6299387	0.1913565	0.5222263
0.001	1.852723	0.05958694	0.1696677	-0.7586476	0.1285839	0.6299387	0.1878409	0.5257419
0.002	15.69374	0.06661819	0.9325584	22.68706	0.174287	1.31197	1.464013	-3.28168
0.003	32.68476	0.07013381	1.505605	50.13706	0.1531933	2.296345	3.183153	-7.830898
0.004	41.28749	0.05958694	0.9677146	62.04096	0.04772455	3.150642	4.357372	-10.42543
0.005	43.47772	0.04904006	0.1028709	62.90932	-0.01204108	3.808064	5.064013	-11.31488
0.006	43.76249	0.04552443	-0.5369729	61.67885	-0.04016608	4.363533	5.528075	-11.31137
0.007	41.71288	0.03849318	-1.215489	57.87143	-0.08938483	4.838142	5.58081	-10.37621
0.008	36.66796	0.03146193	-1.978379	49.39526	-0.1315723	5.179158	5.151903	-8.347695
0.009	30.04804	0.02443068	-2.621739	37.74096	-0.1561817	5.369001	4.448778	-5.661758
0.01	20.06718	0.01388381	-3.476035	20.49682	-0.2229786	5.316267	3.358935	-2.244571
0.011	2.423298	-0.0001676749	-4.849813	-8.59395	-0.3213362	4.773976	1.477534	2.575687
0.012	-17.34858	-0.0036833	-5.714657	-40.66348	-0.3072736	3.67007	-0.6845754	7.553812
0.013	-30.27201	0.006863575	-5.415828	-61.04005	-0.2053205	2.302492	-2.210357	10.62998
0.014	-35.27826	0.02092608	-4.494735	-67.79356	-0.1103986	1.029835	-2.934575	11.5335
0.015	-32.78217	0.03147295	-3.200985	-62.1088	0.002101377	0.1474136	-2.909966	10.50694
0.016	-21.90834	0.04905108	-1.576766	-43.1209	0.1110857	-0.1162583	-2.055669	7.465921
0.017	-7.490765	0.0525667	-0.339266	-18.36036	0.1321795	0.1720229	-0.8146535	3.405375
0.018	6.188532	0.05608233	0.3849528	5.408784	0.1356951	0.7591323	0.3982371	-0.6129846
0.019	22.74361	0.06311357	1.242765	33.11894	0.1778826	1.602882	1.952143	-5.070797
0.02	37.40728	0.05959795	1.450187	56.04785	0.1146014	2.573195	3.541206	-9.039938
0.021	43.33463	0.04905108	0.6872965	63.1705	0.002101377	3.367726	4.553706	-10.98759
0.022	44.70572	0.04553545	-0.09317222	62.7873	-0.04008614	3.98296	5.207612	-11.50088
0.023	44.39986	0.04201983	-0.733016	60.97675	-0.07172676	4.527882	5.576753	-11.19853
0.024	41.2358	0.0385042	-1.464266	55.60136	-0.1209455	4.977882	5.45019	-9.845016
0.025	35.65299	0.03498858	-2.177938	46.07402	-0.1525861	5.266163	4.884175	-7.531735
0.026	28.54439	0.02795733	-2.814266	33.46347	-0.1807111	5.382179	4.082612	-4.673532
0.027	16.15181	0.01389483	-3.883016	12.47871	-0.2615705	5.18882	2.75019	-0.8098596
0.028	-3.293109	-0.0036833	-5.225985	-19.35176	-0.3283674	4.436476	0.6970652	4.301859
0.029	-21.37045	-0.0001676749	-5.700594	-48.5209	-0.2721174	3.198976	-1.29981	8.787796
0.03	-31.506	0.0103792	-5.134578	-64.09864	-0.1736799	1.834914	-2.533794	11.10108
0.031	-34.21303	0.02795733	-4.108016	-66.92169	-0.07172676	0.6571792	-3.01895	11.3753
0.032	-28.79897	0.04553545	-2.659578	-56.56114	0.04428886	-0.04594581	-2.713091	9.649125
0.033	-15.79116	0.06311357	-1.063485	-34.20879	0.1286639	-0.1021958	-1.654888	6.084281
0.034	-1.602093	0.0666292	-0.06153159	-9.750591	0.1286639	0.3056167	-0.4279348	2.009671
0.035	12.80845	0.0666292	0.6872965	15.06621	0.1532732	0.9700698	0.8622996	-2.110641
0.036	29.90846	0.07014482	1.460734	43.04707	0.1708514	1.884132	2.528706	-6.631735
0.037	41.75963	0.0666292	1.267375	60.53378	0.07592949	2.808742	3.945503	-9.97861
0.038	45.46861	0.0525667	0.3990153	63.59238	-0.01196114	3.511867	4.803315	-11.31455
0.039	46.3651	0.04553545	-0.2970785	62.6748	-0.04360175	4.081398	5.404487	-11.54658
0.04	45.24361	0.0385042	-0.958016	59.98886	-0.08227364	4.591163	5.647065	-10.91377
0.041	41.06705	0.03147295	-1.724422	53.04199	-0.1279768	4.984913	5.365815	-9.201657
0.042	34.95689	0.02795733	-2.395907	42.43886	-0.1525861	5.22046	4.740034	-6.695016
0.043	26.69517	0.02092608	-3.109578	27.95097	-0.2018049	5.259132	3.836518	-3.601266
0.044	11.53931	0.00334795	-4.371688	2.736909	-0.2967268	4.900538	2.222847	0.7756872
0.045	-8.70014	-0.007198925	-5.542391	-30.1834	-0.3248517	3.958351	0.06073712	5.957718
0.046	-24.3517	-0.0036833	-5.602157	-55.16192	-0.2369612	2.643507	-1.718169	9.775687
0.047	-31.94194	0.006863575	-4.846297	-66.27481	-0.135008	1.318117	-2.70606	11.36123
0.048	-32.28998	0.0244417	-3.696688	-65.13575	-0.03305487	0.2634292	-2.955669	11.00967
0.049	-24.07045	0.04553545	-2.128719	-50.28575	0.08647636	-0.2357896	-2.350982	8.597953
0.05	-10.08881	0.05959795	-0.6802816	-26.22833	0.1427264	-0.1268052	-1.1627	4.706156
0.051	3.509626	0.05959795	0.1247965	-2.561138	0.1392108	0.3583511	0.015034	0.6948279
0.052	18.9608	0.07014482	0.9509684	23.70761	0.1813982	1.117726	1.414253	-3.59775
0.053	35.43502	0.07717607	1.502922	50.22597	0.1603045	2.084523	3.08769	-7.964157
0.054	44.10806	0.0666292	0.9615153	62.34784	0.04077325	2.949367	4.283003	-10.58681
0.055	46.30181	0.05959795	0.1142497	63.16699	-0.02602364	3.599757	5.017768	-11.45166
0.056	46.72017	0.0525667	-0.5185628	61.9998	-0.05766426	4.155226	5.527534	-11.44814
0.057	44.52994	0.04553545	-1.225203	58.01308	-0.1033674	4.643898	5.590815	-10.47431
0.058	39.32681	0.0385042	-1.998641	49.38222	-0.1455549	4.991945	5.144331	-8.428219
0.059	32.72447	0.03498858	-2.627938	37.76308	-0.1701643	5.167726	4.434175	-5.738766
0.06	22.65572	0.02092608	-3.496297	20.39941	-0.2334455	5.097413	3.344331	-2.293453
0.061	4.792829	-0.0001676749	-4.881453	-8.980669	-0.3248518	4.527882	1.470503	2.558109
0.062	-15.03881	-0.0036833	-5.73575	-41.04668	-0.303758	3.406398	-0.6775441	7.529203
0.063	-27.98686	0.006863575	-5.436922	-61.32481	-0.2018049	2.049367	-2.206841	10.59483
0.064	-33.2849	0.02092608	-4.540438	-68.39473	-0.106883	0.7731948	-2.959185	11.52647
0.065	-31.01029	0.04201983	-3.243172	-62.97716	0.009132613	-0.1373521	-2.948638	10.52452
0.066	-20.16108	0.05959795	-1.604891	-43.99629	0.118117	-0.4150864	-2.083794	7.472953
