Interval=	0.001 s
ExcelDateTime=	4.5338565579513313e+004	2/16/2024 13:34:26.06995
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	-3.362009	0.05967497	0.6089517	-1.846791	0.2212667	-0.4115326	0.7205645	-0.3729189
0.001	-3.354977	0.05967497	0.6089517	-1.836245	0.2212667	-0.4115326	0.7205645	-0.3729189
0.002	-8.428024	0.05615935	-0.143392	-10.57257	0.1896261	-0.1408295	0.1791583	1.680206
0.003	-15.74756	0.05615935	-0.9625326	-23.58742	0.1544698	0.02792051	-0.643498	4.60169
0.004	-27.89052	0.04561248	-2.18597	-44.22765	0.05954794	-0.1443451	-1.91967	8.423175
0.005	-47.22998	0.02803435	-3.78558	-75.91749	-0.02131144	-0.8439545	-3.877873	13.54896
0.006	-65.36357	0.02803435	-4.471127	-105.2132	0.03142294	-2.039267	-5.74467	18.07005
0.007	-75.64677	0.04561248	-3.975423	NaN	0.1439229	-3.406845	-6.84506	20.41497
0.008	-78.50498	0.0631906	-2.878548	NaN	0.2599386	-4.605673	-7.18256	20.71732
0.009	-73.32646	0.08076872	-1.264876	-114.287	0.4005636	-5.333407	-6.750139	19.03333
0.01	-60.70888	0.09483122	0.5808267	-92.55694	0.5060323	-5.428329	-5.63217	15.52122
0.011	-46.84876	0.09834278	1.832477	-68.57893	0.513013	-5.054659	-4.38984	11.47149
0.012	-32.85657	0.105374	2.774664	-44.34572	0.541138	-4.421846	-3.134762	7.396876
0.013	-16.11868	0.1124053	3.752008	-16.42463	0.569263	-3.549971	-1.570309	2.925001
0.014	-4.299146	0.1018584	3.692242	2.116777	0.4637943	-2.635909	-0.3187462	-0.432421
0.015	-0.5831303	0.08428028	2.80982	6.121074	0.3548099	-1.904659	0.3421911	-1.814062
0.016	0.2606197	0.07724903	2.032867	5.470683	0.3126224	-1.303487	0.7746132	-2.095312
0.017	-0.9030521	0.0737334	1.269977	2.802324	0.2634036	-0.7726277	0.8906288	-1.497655
0.018	-5.118287	0.07021778	0.3734922	-4.211348	0.2106693	-0.3437214	0.5250036	0.1933602
0.019	-11.25305	0.07021778	-0.4386172	-14.91291	0.175513	-0.07653394	-0.1394493	2.703516
0.02	-19.38118	0.06318653	-1.282367	-29.30236	0.1298099	-0.009737062	-1.032418	5.783204
0.021	-34.27688	0.05263965	-2.744867	-54.23166	0.01379425	-0.3331746	-2.561715	10.13555
0.022	-54.44602	0.04912403	-4.175727	-87.159	-0.02487762	-1.233175	-4.600777	15.33516
0.023	-70.15031	0.0596709	-4.404242	-112.3766	0.07004425	-2.526925	-6.22148	19.1918
0.024	-77.6632	0.0737334	-3.637836	NaN	0.1790286	-3.8488	-7.030075	20.77383
0.025	-77.99719	0.08428028	-2.386273	NaN	0.2950443	-4.907003	-7.12148	20.41875
0.026	-70.00266	0.09131153	-0.6143984	-107.9645	0.4321536	-5.441378	-6.421871	18.04219
0.027	-56.11243	0.09482715	1.12232	-84.10744	0.5059818	-5.360518	-5.166793	14.13984
0.028	-42.61594	0.09482715	2.15943	-60.59494	0.5059818	-4.896456	-3.953902	10.10039
0.029	-27.54797	0.09834278	3.164898	-34.82189	0.5516849	-4.179268	-2.600387	5.850001
0.03	-11.28118	0.09482715	3.910211	-8.173457	0.5341068	-3.247628	-1.03945	1.497657
0.031	-2.565943	0.08076465	3.442633	4.742949	0.4040286	-2.379268	-0.002339959	-1.174218
0.032	-0.4143803	0.07021778	2.52857	6.022636	0.3266849	-1.697237	0.56016	-2.081249
0.033	-0.08391151	0.06670215	1.79732	4.932793	0.288013	-1.12419	0.9257848	-2.095312
0.034	-2.172193	0.06318653	0.9957578	1.111308	0.2282474	-0.6355183	0.8835975	-1.160155
0.035	-7.181958	0.0596709	0.09927342	-7.305098	0.1825443	-0.2698933	0.3843788	0.8402352
0.036	-13.66477	0.06318653	-0.6741641	-18.79416	0.1579349	-0.05192456	-0.3433558	3.491016
0.037	-23.48391	0.0596709	-1.686664	-35.83791	0.08762238	-0.07301831	-1.401559	6.880079
0.038	-40.94602	0.04912403	-3.293305	-64.70471	-0.021362	-0.5792683	-3.180465	11.66836
0.039	-60.60188	0.04912403	-4.397211	-96.65822	-0.01081512	-1.65505	-5.173825	16.64648
0.04	-73.5007	0.0596709	-4.210883	NaN	0.1052005	-3.008565	-6.520308	19.75078
0.041	-78.51047	0.0737334	-3.258148	NaN	0.2212161	-4.288253	-7.082808	20.66836
0.042	-76.09875	0.08428028	-1.827289	NaN	0.3477786	-5.209346	-6.917575	19.65586
0.043	-65.41477	0.09131153	0.02896092	-99.70627	0.4813724	-5.539815	-5.971871	16.64648
0.044	-51.14836	0.09482715	1.54068	-75.19182	0.5200443	-5.290206	-4.706246	12.6
0.045	-37.63782	0.09131153	2.475836	-51.68283	0.5270755	-4.72419	-3.528512	8.588673
0.046	-21.42024	0.09834278	3.512945	-24.38049	0.5727787	-3.912081	-2.058981	4.176563
0.047	-7.002662	0.09834278	3.868023	-1.38127	0.5094974	-2.966378	-0.6070275	0.2285165
0.048	-1.198365	0.08428028	3.11568	6.173808	0.3794193	-2.1613	0.2367223	-1.729687
0.049	0.04616661	0.08076465	2.261383	5.969902	0.3196536	-1.524971	0.7429725	-2.25703
0.05	-0.3194584	0.0737334	1.530133	4.180449	0.2774661	-0.9659871	0.9925819	-1.958202
0.051	-3.529224	0.06670215	0.6723203	-1.26877	0.2247318	-0.5019246	0.7710973	-0.6187491
0.052	-9.312427	0.06318653	-0.1995547	-11.11252	0.1860599	-0.1784871	0.1488319	1.691016
0.053	-16.56165	0.0596709	-0.9800235	-23.96916	0.1579349	-0.009737062	-0.6632775	4.54922
0.054	-28.83821	0.04912403	-2.217523	-44.82736	0.05949738	-0.1468464	-1.949996	8.412891
0.055	-48.16711	0.03857715	-3.810102	-76.5383	-0.02839325	-0.8429402	-3.91523	13.52461
0.056	-66.25149	0.03857715	-4.485102	-105.8024	0.03137238	-2.041768	-5.785543	18.02461
0.057	-76.29211	0.04912403	-3.961273	NaN	0.147388	-3.3988	-6.868356	20.33438
0.058	-78.92531	0.06670215	-2.853852	NaN	0.259888	-4.587081	-7.20234	20.59805
0.059	-73.71516	0.08428028	-1.243695	-114.1942	0.400513	-5.314815	-6.78398	18.9
0.06	-60.46477	0.09834278	0.6828671	-91.52189	0.5165287	-5.395675	-5.620309	15.27539
0.061	-45.34055	0.09834278	2.04693	-65.63635	0.5270755	-4.966768	-4.27734	11.00039
0.062	-30.88782	0.09482715	2.943414	-40.70002	0.5376224	-4.270675	-2.990621	6.820313
0.063	-15.19055	0.09834278	3.723883	-14.40666	0.541138	-3.381221	-1.524606	2.503126
0.064	-4.46438	0.0877959	3.572711	2.334746	0.4391849	-2.491768	-0.3855431	-0.6679679
0.065	-0.8960209	0.08076465	2.739508	6.026152	0.344263	-1.76755	0.2543007	-2.010937
0.066	-0.03469276	0.07724903	1.994195	5.470683	0.2985599	-1.166378	0.6796911	-2.278124
0.067	-1.244068	0.07021778	1.238336	2.767168	0.2493411	-0.6355183	0.7675819	-1.648827
0.068	-5.427662	0.06318653	0.3559141	-4.242989	0.2001224	-0.2136433	0.3949257	0.05976648
0.069	-11.54836	0.0596709	-0.4526797	-14.934	0.1614505	0.05705981	-0.2906214	2.566407
0.07	-19.80657	0.05263965	-1.310492	-29.47463	0.1122318	0.1273723	-1.222262	5.656641
0.071	-34.83938	0.04209278	-2.769477	-54.55158	-0.0002682477	-0.1960652	-2.786715	10.02656
