Interval=	0.001 s
ExcelDateTime=	4.5345590526434047e+004	2/23/2024 14:10:21.483902
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	2.13132	-1.977656	0.5963169	0.5772291	0.5806206	0.1171521	-0.2931903	-0.6519751
0.001	2.134836	-1.981171	0.5963169	0.5772291	0.5841362	0.1206678	-0.2931903	-0.6554907
0.002	-0.6354767	-0.09328079	0.01272311	0.6369948	-1.064692	0.1734021	-0.1420185	1.478494
0.003	-5.901883	3.380157	-1.179074	0.7389479	-3.831489	0.05035526	0.1462628	5.043337
0.004	-12.28977	7.5075	-2.662668	0.8655104	-6.907661	-0.2695666	0.5083722	9.001931
0.005	-19.35266	12.05672	-4.276339	1.037776	-10.0893	-0.7652697	0.9267315	13.10115
0.006	-26.39446	16.58133	-5.861886	1.252229	-13.00727	-1.419176	1.355638	16.85584
0.007	-31.88235	20.01258	-7.116964	1.413948	-14.97602	-2.09066	1.693138	19.3449
0.008	-34.95852	21.81609	-7.82712	1.473714	-15.74594	-2.65316	1.861888	20.23787
0.009	-35.61946	22.04109	-7.974776	1.463167	-15.44711	-3.036364	1.872435	19.73865
0.01	-33.52766	20.4907	-7.528292	1.375276	-13.98813	-3.173473	1.738841	17.78045
0.011	-28.68679	17.18168	-6.486101	1.202846	-11.44706	-3.035721	1.450166	14.49331
0.012	-22.16882	12.85394	-5.065789	0.9919084	-8.381436	-2.66658	1.059932	10.58042
0.013	-15.0532	8.255504	-3.487273	0.8055802	-5.256046	-2.167361	0.6591504	6.604249
0.014	-7.990307	3.808238	-1.891179	0.6649552	-2.299405	-1.594314	0.2759473	2.86714
0.015	-2.147338	0.218785	-0.5306324	0.5665177	-0.05643625	-0.9966581	-0.0439746	0.02299919
0.016	1.47024	-1.918715	0.3482739	0.517299	1.075595	-0.4868925	-0.2513965	-1.414891
0.017	2.781568	-2.597231	0.7068676	0.5137834	1.163485	-0.107205	-0.3252246	-1.506298
0.018	1.635475	-1.72184	0.4924145	0.5383927	0.1650481	0.1213106	-0.2584277	-0.1914539
0.019	-2.150854	0.8269881	-0.3478199	0.5946427	-1.993546	0.1353731	-0.05452148	2.599952
0.02	-7.856713	4.546519	-1.659148	0.6965959	-4.893937	-0.07204875	0.2759473	6.333546
0.021	-14.50828	8.835582	-3.198992	0.8301896	-8.019327	-0.4517362	0.6767285	10.373
0.022	-21.6907	13.47972	-4.833757	1.016518	-11.15878	-1.010721	1.10915	14.45464
0.023	-28.39851	17.77582	-6.356023	1.209877	-13.82011	-1.689236	1.531025	17.88941
0.024	-33.11648	20.67972	-7.431805	1.332924	-15.37401	-2.343143	1.826338	19.82651
