Interval=	0.001 s
ExcelDateTime=	4.5345640114733011e+004	2/23/2024 15:21:45.912933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	5.616522	0.1577826	-0.2118746	0.2686462	2.707102	-0.3224491	1.212788	0.06748953
0.001	5.623553	0.1648138	-0.2118746	0.2686462	2.703586	-0.3259647	1.205756	0.0639739
0.002	7.289959	-3.603936	-0.03257768	-0.1497132	1.452024	0.2048947	-2.889947	-0.02391672
0.003	7.342694	-10.56136	0.2310942	-0.3254944	2.299289	0.8974728	-4.834087	1.41749
0.004	4.772772	-20.09222	0.5475004	0.03661494	6.247336	1.621692	-2.896978	4.750302
0.005	0.1813654	-30.78323	0.8674223	0.8768493	12.55437	2.328332	2.147944	9.408505
0.006	-5.545588	-40.31761	1.120547	2.026459	19.98288	2.87677	9.678413	14.52374
0.007	-11.83856	-48.31214	1.327969	3.372943	27.81921	3.186145	19.05107	19.64952
0.008	-18.11043	-53.93714	1.465079	4.786224	35.35319	3.112316	29.35185	24.19522
0.009	-23.0991	-54.96018	1.422891	5.925287	40.83054	2.53927	38.52412	26.96554
0.01	-26.04168	-51.52893	1.240079	6.572162	43.29851	1.632238	45.02099	27.54562
0.011	-26.87224	-45.28537	0.9796366	6.739694	43.03043	0.6650046	48.43336	26.30976
0.012	-25.24802	-36.44709	0.6632304	6.409226	39.98941	-0.1892923	48.13101	23.3707
0.013	-21.08904	-25.71037	0.329246	5.576022	34.23082	-0.801011	43.73297	18.97265
0.014	-15.30583	-15.47287	0.06557411	4.429929	26.89722	-1.110386	36.21656	13.97695
0.015	-8.858179	-7.102163	-0.1277853	3.178366	19.1523	-1.152574	26.865	9.065622
0.016	-2.364819	-0.9322432	-0.2473165	1.937351	11.61831	-0.9908548	16.55367	4.579684
0.017	3.0844	1.451351	-0.2156759	0.8826631	5.578471	-0.6287454	6.906796	1.324216
0.018	6.522681	-0.5806789	-0.04692589	0.1584445	2.182377	-0.09788604	-0.1842201	-0.07148752
0.019	7.858618	-5.657243	0.1710429	-0.2388213	1.405424	0.5243796	-4.019767	0.2589812
0.02	6.96565	-13.42326	0.441746	-0.2388213	3.328471	1.220473	-4.529533	2.315622
0.021	3.657446	-23.61154	0.7616679	0.2744601	8.130815	1.972817	-1.593986	6.133591
0.022	-1.422632	-34.0424	1.060496	1.23071	14.90894	2.665395	4.364999	11.03086
0.023	-7.3781	-43.04943	1.310105	2.450632	22.4816	3.171645	12.54586	16.19531
0.024	-13.78005	-50.50959	1.517527	3.839304	30.36714	3.36852	22.39664	21.25429
0.025	-19.77771	-54.81974	1.601902	5.192819	37.42652	3.118911	32.59547	25.33594
0.026	-24.12302	-54.19748	1.496433	6.159616	41.93004	2.419301	40.99078	27.375
0.027	-26.38357	-49.73966	1.285496	6.634226	43.46636	1.459536	46.51734	27.32929
0.028	-26.44685	-42.64865	1.021824	6.634226	42.30621	0.4857077	48.8025	25.53633
0.029	-23.9156	-32.94201	0.7089335	6.113913	38.27027	-0.3264017	47.10445	22.04179
0.03	-19.06755	-22.10334	0.4030741	5.154147	31.80855	-0.8537454	41.49703	17.34844
0.031	-12.97849	-12.49513	0.1745585	3.965866	24.27105	-1.07523	33.26344	12.35976
0.032	-6.432397	-4.813493	0.01987098	2.710788	16.54371	-1.064683	23.51461	7.539841
0.033	-0.1183348	0.3193211	-0.03989464	1.51196	9.34019	-0.8642923	13.22437	3.335153
0.034	4.764868	1.201741	0.04799598	0.5627412	4.101909	-0.4599954	4.245467	0.6316375
0.035	7.524634	-1.965837	0.2343241	-0.05249319	1.598784	0.1060202	-1.811954	-0.1945344
0.036	8.171509	-7.896695	0.4733866	-0.3267117	1.665581	0.7634421	-4.57172	0.6914031
0.037	6.473462	-16.62599	0.7546366	-0.1474151	4.55894	1.487661	-3.924845	3.373825
0.038	2.448071	-27.25021	1.067527	0.5486787	10.19449	2.225942	0.1357018	7.662887
0.039	-3.022241	-37.31193	1.33823	1.617429	17.35581	2.851723	6.952499	12.69023
0.04	-9.171069	-45.80568	1.566746	2.907663	25.06558	3.252505	15.76617	17.84062
0.041	-15.58357	-52.48185	1.749558	4.32446	32.85269	3.298208	25.95445	22.70976
0.042	-21.16287	-55.24513	1.781199	5.583054	39.21949	2.876333	35.79117	26.19023
0.043	-24.83318	-53.1217	1.654637	6.384616	42.70699	2.046645	43.29	27.46289
0.044	-26.41169	-47.70412	1.41909	6.704538	43.33277	1.058755	47.79351	26.7914
0.045	-25.68044	-39.70255	1.11323	6.549851	41.22691	0.1341452	48.81656	24.42187
0.046	-22.33005	-29.37717	0.779246	5.885397	36.27339	-0.5865579	45.72984	20.4457
0.047	-16.96521	-18.75998	0.4944804	4.844772	29.30191	-1.008433	39.08883	15.55195
0.048	-10.66873	-9.75646	0.2870585	3.631882	21.61675	-1.142027	30.24	10.57031
0.049	-4.105054	-2.707634	0.1675272	2.376804	13.92105	-1.061167	20.12555	5.873434
0.05	1.850415	1.152522	0.160496	1.234226	7.206206	-0.7869485	10.01109	2.094137
0.051	6.023462	0.4810398	0.2870585	0.3939914	2.881987	-0.3158548	1.907577	0.06562185
0.052	8.069556	-3.692009	0.497996	-0.1157744	1.250737	0.2782858	-3.035392	-0.1593781
0.053	7.981665	-10.48771	0.7546366	-0.2810088	2.203471	0.942739	-4.680704	1.303122
0.054	5.467993	-20.0256	1.071043	0.05297577	6.056596	1.673989	-2.912345	4.590231
0.055	0.830884	-30.72014	1.390965	0.8932099	12.35308	2.387661	2.125546	9.248434
0.056	-4.938257	-40.28967	1.658152	2.046335	19.78511	2.946645	9.65953	14.3707
0.057	-11.25232	-48.31232	1.872605	3.389304	27.6355	3.245473	19.04273	19.51758
0.058	-17.54177	-53.94787	2.009715	4.781491	35.173	3.147036	29.36109	24.07031
0.059	-22.55505	-54.98146	1.974559	5.885397	40.66441	2.566958	38.56851	26.85117
0.06	-25.51873	-51.56076	1.798777	6.504147	43.1605	1.64938	45.10406	27.45234
0.061	-26.36599	-45.32404	1.538621	6.651804	42.92496	0.6544577	48.54234	26.24648
0.062	-24.75232	-36.4717	1.218699	6.310788	39.87691	-0.2349954	48.25055	23.32851
0.063	-20.61091	-25.74904	0.8847147	5.495163	34.10777	-0.8713235	43.88062	18.95859
0.064	-14.83123	-15.55373	0.6210429	4.370163	26.78824	-1.184214	36.40992	13.99101
0.065	-8.387085	-7.207634	0.4347147	3.125632	19.06792	-1.229917	27.11109	9.093747
0.066	-1.900757	-1.013101	0.3327616	1.881101	11.548	-1.089292	16.83492	4.597262
0.067	3.559009	1.409163	0.357371	0.8088349	5.501127	-0.7517923	7.181014	1.303122
0.068	7.007837	-0.5877119	0.5015116	0.07758493	2.08394	-0.2244485	0.06890488	-0.1242219
