Interval=	0.001 s
ExcelDateTime=	4.5345498765299948e+004	2/23/2024 11:58:13.321915
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Range=	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV	112.50 mV
0	0.1701698	1.210559	1.65789	0.2910001	-11.23808	-4.884393	-7.985244	3.787374
0.001	0.1701698	1.210559	1.654375	0.2910001	-11.23105	-4.880877	-7.978213	3.787374
0.002	0.1736855	2.616809	-3.808907	0.2101407	14.54903	7.290217	13.8046	-3.51458
0.003	0.187748	2.775013	-6.21711	0.04490635	33.39981	17.8617	26.6964	-10.62669
0.004	0.2123573	2.138684	-3.907344	-0.1379062	36.02247	22.0242	23.86632	-14.33216
0.005	0.2369667	2.803138	1.193828	-0.3347812	26.35802	20.86404	9.659678	-14.97903
0.006	0.2475136	5.035559	7.743437	-0.4683749	6.473642	14.88397	-12.73837	-12.59895
0.007	0.2475136	7.637122	13.82547	-0.5175937	-16.10722	6.808576	-35.32978	-8.450517
0.008	0.2580605	8.424622	20.14305	-0.6160312	-41.31776	-3.369158	-59.87236	-2.902861
0.009	0.272123	7.383997	27.59969	-0.682828	-72.72988	-16.9008	-89.44228	4.599483
0.01	0.2615761	7.250403	32.52156	-0.5562655	-98.04589	-29.00509	-109.6747	12.10183
0.011	0.2369525	7.435243	33.23982	-0.4014285	-108.4524	-35.94345	-114.415	17.27845
0.012	0.2264056	6.236415	32.08317	-0.3170535	-110.6989	-39.61025	-112.6115	20.38626
0.013	0.22289	4.088368	29.73825	-0.218616	-107.7845	-40.79502	-106.4557	21.86986
0.014	0.2158587	1.525477	25.87107	-0.1166629	-98.04267	-38.78408	-94.32675	21.46556
0.015	0.2158587	-0.8194445	21.11794	-0.04283477	-83.1329	-34.13291	-78.59081	19.34212
0.016	0.2088275	-1.877648	15.72146	0.05208713	-64.50712	-27.2458	-59.97206	15.76673
0.017	0.1842181	-0.6682726	8.271848	0.2102903	-37.21532	-16.07314	-32.733	9.909699
0.018	0.1701556	1.687196	-0.1023703	0.2630246	-3.240321	-1.254784	-0.9517525	1.735871
0.019	0.1771868	2.878993	-5.284402	0.147009	23.44327	11.8374	20.55684	-6.336004
0.02	0.194765	2.450087	-5.734402	-0.02174099	35.70929	19.86006	26.94825	-12.11921
0.021	0.2158587	2.133681	-2.478933	-0.2080691	34.59835	22.44053	20.62012	-14.90007
0.022	0.2369525	3.314931	3.437864	-0.4014285	20.51827	19.29405	2.41622	-14.37272
0.023	0.2439837	5.600087	10.34607	-0.5174441	-2.375478	11.76006	-22.23886	-10.98718
0.024	0.2474993	7.688368	16.62146	-0.5772098	-26.76337	2.513966	-46.09238	-6.054754
0.025	0.2615618	7.902821	23.36443	-0.6721316	-54.45243	-9.070018	-72.62479	0.3331368
0.026	0.2615618	7.38954	29.96677	-0.6545535	-84.23329	-22.36611	-99.16425	8.007746
0.027	0.2439837	7.758681	32.93747	-0.4928348	-102.9856	-32.19931	-112.2529	14.54329
0.028	0.2264056	7.357899	32.73005	-0.3768191	-109.4474	-37.57822	-113.7857	18.76204
0.029	0.2193743	5.610634	31.26755	-0.2924441	-110.147	-40.43642	-110.8748	21.26165
0.03	0.2123431	3.251649	28.41638	-0.1834598	-104.986	-40.52431	-102.6869	22.07025
0.031	0.2053118	0.685243	24.17654	-0.08502224	-93.20517	-37.49033	-89.02518	21.00501
0.032	0.2017962	-1.364366	19.31443	-0.01119412	-77.25126	-32.16064	-72.68456	18.37884
0.033	0.1877337	-1.691319	13.37302	0.118884	-56.22079	-24.029	-51.64003	14.10384
0.034	0.16664	0.1614149	5.237864	0.2700559	-25.47665	-11.18291	-21.39511	7.276496
0.035	0.1631243	2.320009	-2.450808	0.2489621	7.535069	3.674123	8.304892	-1.213738
0.036	0.1736712	2.857899	-5.969948	0.09075898	29.33546	15.16319	24.42403	-8.656317
0.037	0.194765	2.249696	-5.034792	-0.07799099	36.86593	21.36123	26.28028	-13.45514
0.038	0.2193743	2.404384	-0.7773703	-0.2818972	31.28312	22.00811	15.77559	-15.13561
0.039	0.2404681	3.863368	5.863645	-0.4752566	12.90343	16.88584	-6.158393	-13.45163
0.04	0.2439837	6.120399	12.88786	-0.556116	-11.99423	8.184669	-31.86112	-9.225848
0.041	0.2474993	7.846571	19.1949	-0.6088504	-37.24345	-1.813768	-56.08026	-3.730926
0.042	0.2545306	7.734071	26.04685	-0.6791629	-66.14892	-14.21689	-83.22089	3.215949
0.043	0.2474993	7.649696	31.45036	-0.6018191	-92.61454	-26.52158	-105.3201	10.64095
0.044	0.2299212	7.937977	32.98317	-0.4471316	-106.0477	-34.4247	-113.1107	16.24134
0.045	0.2193743	6.921962	32.27653	-0.3522098	-110.154	-38.79463	-112.8963	19.75696
0.046	0.2158587	4.893446	30.41325	-0.2572879	-109.1591	-40.80556	-108.5053	21.70111
0.047	0.2123431	2.407899	27.0488	-0.1483035	-101.6849	-39.81064	-98.3205	21.85579
0.048	0.2088275	-0.1128038	22.53474	-0.06744415	-88.22001	-35.92588	-83.54785	20.19993
0.049	0.2017962	-1.715929	17.47927	0.009899631	-71.09892	-29.88955	-66.34237	17.09564
0.05	0.1842181	-1.220226	10.8031	0.1575559	-46.99579	-20.25674	-42.19706	12.04017
0.051	0.1631243	1.022743	2.31638	0.2665402	-13.82235	-6.078221	-10.25761	4.400714
0.052	0.16664	2.745399	-4.243777	0.1891965	16.60538	8.177638	15.81075	-4.043816
0.053	0.1842181	2.710243	-6.117605	0.01693088	33.42413	17.91944	26.73731	-10.69538
0.054	0.2017962	2.123134	-3.934402	-0.1693973	36.46866	22.27881	24.3502	-14.48874
0.055	0.2264056	2.731337	1.265208	-0.3838504	26.36476	20.93584	9.644345	-15.03718
0.056	0.2439837	4.622743	8.27888	-0.5385379	4.821007	14.2667	-14.62753	-12.35827
0.057	0.2474993	6.985243	14.88825	-0.584241	-19.96415	5.224513	-39.34589	-7.710614
0.058	0.251015	8.036415	21.20232	-0.6545535	-45.74774	-5.332909	-64.01151	-1.853582
0.059	0.2580462	7.554774	28.06482	-0.6897098	-75.55673	-18.35478	-91.45096	5.532746
0.06	0.2439837	7.720009	32.31521	-0.556116	-98.55595	-29.55908	-109.2752	12.61673
0.061	0.2264056	7.712977	32.8531	-0.415491	-108.0974	-36.04892	-113.4271	17.47181
0.062	0.22289	6.285634	31.73864	-0.331116	-110.3966	-39.6208	-111.831	20.44603
0.063	0.2193743	4.081337	29.38669	-0.2291629	-107.3942	-40.69658	-105.6365	21.83118
0.064	0.2158587	1.504384	25.53708	-0.1131472	-97.56806	-38.60478	-93.51815	21.34251
